,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_21_22,Distribution_Score_21_22,Ball_Quality_Score_21_22,Positioning_Score_21_22,Sweeper_Score_21_22,short_version,short_name,long_name,player_positions,overall,club_name,age,dob,height_cm,weight_kg,league_name,club_position,nationality_name,pace,shooting,passing,skill_long_passing,skill_ball_control,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,birth_year
12,Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,17,1456,19,1.17,67.9,5,29.4,1,1,0,0,1983,2,0,0.0,1.0,18.6,0.31,1.6,0.1,272.0,40.1,99.0,62.6,47.9,405.0,51.9,39.9,0.56,11.0,251.0,2.4,80,0.4473684210526315,66.72661870503597,74.44459508429779,43.997555012224936,60.80539040350269,40.12606335886678,C. Bravo,C. Bravo,Claudio Andrés Bravo Muñoz,GK,78,Real Betis Balompié,38,1983-04-13,184,80,es La Liga,SUB,Chile,,,,57,32,63,81,39,69,17,40,16,69,23,64,77,78,84,78,78,56.0,1983
13,Sascha Burchert,de GER,GK,Greuther Fürth,de Bundesliga,31,14,1260,28,2.0,65.3,3,21.4,3,3,0,0,1989,0,0,1.0,4.0,23.0,0.28,-3.0,-0.22,326.0,36.8,115.0,83.5,55.9,441.0,52.2,41.1,1.71,17.2,224.0,3.6,50,0.13550295857988168,58.093525179856115,85.3860237751924,45.75794621026895,45.44685124787525,62.389044997882905,S. Burchert,S. Burchert,Sascha Burchert,GK,72,SpVgg Greuther Fürth,31,1989-10-30,187,78,de Bundesliga,GK,Germany,,,,22,20,51,63,32,65,15,32,14,18,17,36,72,70,68,73,73,46.0,1989
14,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,27,19,1542,30,1.75,67.8,5,29.4,2,2,0,0,1994,1,0,0.0,7.0,27.5,0.3,-2.5,-0.15,276.0,37.3,168.0,88.1,58.5,286.0,44.8,38.9,0.76,12.8,263.0,3.8,45,0.12958579881656807,66.72661870503597,89.26567295046031,38.178484107579465,50.21766176593733,45.30640132414643,M. Caillard,M. Caillard,Marc-Aurèle Caillard,GK,69,FC Metz,27,1994-05-12,191,87,fr Ligue 1,SUB,France,,,,27,24,44,54,33,80,13,25,7,14,18,53,73,64,59,70,72,44.0,1994
15,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,28,2520,40,1.43,68.6,10,35.7,6,3,2,1,1992,1,0,0.0,4.0,42.0,0.32,2.0,0.07,370.0,44.6,204.0,50.5,42.1,873.0,30.6,32.3,1.07,14.8,413.0,7.5,50,0.4842105263157894,73.52517985611512,68.98174920745134,66.88264058679707,74.4600896334295,51.903652950459986,K. Casteels,K. Casteels,Koen Casteels,GK,86,VfL Wolfsburg,29,1992-06-25,197,86,de Bundesliga,GK,Belgium,,,,37,23,60,58,44,72,18,33,15,42,20,40,85,83,80,84,87,45.0,1992
16,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,17,1457,29,1.79,68.8,3,17.6,6,5,1,0,1989,1,0,0.0,4.0,28.6,0.31,1.6,0.1,242.0,43.0,94.0,74.5,54.6,351.0,49.0,39.8,0.86,16.0,195.0,3.1,80,0.4473684210526315,53.992805755395686,85.55312420016573,41.35696821515892,48.93746540325799,52.0664767696986,J. Cillessen,J. Cillessen,Jasper Cillessen,GK,81,Valencia CF,32,1989-04-22,185,83,es La Liga,SUB,Netherlands,,,,35,32,59,71,40,67,15,25,11,60,21,61,81,80,78,81,79,54.0,1989
17,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,37,3322,63,1.71,67.8,3,8.1,9,8,1,0,1987,2,0,0.0,10.0,56.0,0.28,-6.0,-0.16,431.0,43.2,246.0,31.7,28.8,1219.0,29.0,30.9,0.81,13.4,491.0,4.3,60,0.17100591715976332,43.7410071942446,51.53032211305761,83.80195599022005,68.3537497158853,46.87343623696062,A. Consigli,A. Consigli,Andrea Consigli,GK,81,U.S. Sassuolo Calcio,34,1987-01-27,189,82,it Serie A,GK,Italy,,,,27,23,54,80,31,51,19,11,10,46,21,63,81,82,72,80,83,42.0,1987
18,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,25,2250,62,2.48,57.1,0,0.0,5,5,0,0,1987,1,0,1.0,5.0,44.1,0.29,-16.9,-0.68,424.0,42.7,218.0,67.9,47.9,686.0,40.2,35.3,1.56,16.9,355.0,2.5,45,0.30000000000000004,35.0,78.01277454113271,57.738386308068456,56.63100868602528,60.407444474383155,B. Costil,B. Costil,Benoît Costil,GK,79,FC Girondins de Bordeaux,33,1987-07-03,187,82,fr Ligue 1,GK,France,,,,33,12,58,49,28,65,15,22,12,48,15,58,78,77,77,78,80,49.0,1987
19,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,36,3240,29,0.81,77.5,16,44.4,3,2,1,0,1992,1,0,1.0,2.0,33.3,0.25,4.3,0.12,251.0,29.5,199.0,30.7,34.3,936.0,20.3,28.8,0.86,15.5,467.0,4.5,80,0.6960526315789474,82.9136690647482,46.06055806575049,69.96332518337408,75.91405000201192,51.15997536471765,T. Courtois,T. Courtois,Thibaut Courtois,GK,89,Real Madrid CF,29,1992-05-11,199,96,es La Liga,GK,Belgium,,,,35,23,56,68,38,70,17,23,13,44,27,66,84,89,74,86,88,46.0,1992
20,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,35,3150,63,1.8,66.1,2,5.7,8,6,2,0,1994,3,0,4.0,10.0,52.4,0.28,-9.6,-0.27,703.0,45.7,316.0,73.4,48.2,890.0,52.9,39.4,0.94,15.0,484.0,4.5,60,0.21360946745562132,41.15107913669065,82.14885216655306,67.71393643031786,40.36436826485036,51.02024712267601,A. Cragno,A. Cragno,Alessio Cragno,GK,81,Cagliari,27,1994-06-28,184,78,it Serie A,GK,Italy,,,,25,21,55,74,43,55,17,33,15,42,31,59,82,80,73,80,84,39.0,1994
21,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27,15,1304,33,2.28,54.5,3,20.0,3,3,0,0,1994,0,0,0.0,3.0,22.3,0.3,-9.7,-0.67,133.0,24.1,112.0,41.1,33.8,302.0,28.8,30.2,0.28,10.6,159.0,3.1,45,0.21479289940828405,56.58273381294964,45.54450816369455,38.960880195599024,47.22462080883241,36.71715616459448,A. Desmas,A. Desmas,Arthur Desmas,GK,72,Clermont Foot 63,27,1994-04-07,196,87,fr Ligue 1,GK,France,,,,20,19,53,32,24,60,17,20,9,41,18,31,75,74,71,69,71,29.0,1994
22,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,31,2772,37,1.2,76.2,9,30.0,9,7,2,0,1993,0,0,0.0,3.0,37.7,0.23,1.7,0.05,554.0,32.9,230.0,73.0,53.5,711.0,54.3,42.1,1.14,13.9,405.0,8.6,80,0.45657894736842103,67.37410071942446,77.34262429266141,58.96088019559902,76.31802032140578,50.94287693906617,S. Dimitrievski,S. Dimitrievski,Stole Dimitrievski,GK,75,Rayo Vallecano,27,1993-12-25,188,84,es La Liga,GK,North Macedonia,,,,27,19,54,60,40,72,17,17,15,51,21,53,74,76,72,76,76,36.0,1993
23,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,38,3420,43,1.13,71.3,14,36.8,8,4,4,0,1987,1,0,0.0,1.0,43.3,0.27,2.3,0.06,804.0,37.7,283.0,71.0,52.4,1176.0,51.3,40.3,0.97,14.3,452.0,8.0,80,0.5118421052631579,74.71223021582733,79.08904420280123,81.69926650366747,85.18200741036385,50.03868509180492,M. Dituro,M. Dituro,Matías Ezequiel Dituro,GK,75,RC Celta de Vigo,34,1987-05-08,191,86,es La Liga,GK,Argentina,,,,25,19,56,56,42,72,16,20,19,65,20,68,72,72,75,77,77,38.0,1987
24,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,24,2116,36,1.53,65.7,5,21.7,2,2,0,0,1998,1,0,0.0,7.0,28.3,0.27,-5.7,-0.24,302.0,30.5,154.0,57.1,40.6,584.0,36.6,33.7,1.19,14.2,304.0,7.6,45,0.16745562130177516,58.41726618705036,60.50113655657569,52.75061124694376,56.644124181776874,51.9660110088918,O. Djoco,O. Djoco,Ouparine Djoco,GK,60,Clermont Foot 63,23,1998-04-22,188,90,fr Ligue 1,SUB,France,,,,20,16,47,55,29,67,8,21,4,33,29,32,63,60,63,58,61,27.0,1998
25,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,17,1530,17,1.0,73.8,5,29.4,1,1,0,0,1999,3,0,0.0,3.0,17.5,0.27,1.5,0.09,47.0,42.6,96.0,14.6,21.6,373.0,8.8,22.0,2.0,18.4,176.0,6.3,45,0.4381578947368421,66.72661870503597,39.83777777214638,42.432762836185816,50.77800664039943,67.34420108549213,G. Donnarumma,G. Donnarumma,Gianluigi Donnarumma,GK,89,Paris Saint-Germain,22,1999-02-25,196,90,fr Ligue 1,GK,Italy,,,,34,30,59,72,34,72,18,30,14,60,24,68,91,83,79,85,90,52.0,1999
26,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,16,1440,25,1.56,57.9,7,43.8,1,1,0,0,1989,0,0,0.0,1.0,19.3,0.32,-5.7,-0.36,203.0,33.0,133.0,71.4,48.9,282.0,38.3,36.3,0.63,15.4,223.0,2.2,45,0.16745562130177516,82.2661870503597,73.36976987580238,37.98288508557457,57.72703347278971,48.77420224027099,M. Dreyer,M. Dreyer,Matthieu Dreyer,GK,69,FC Lorient,32,1989-03-20,188,81,fr Ligue 1,SUB,France,,,,13,21,50,75,27,68,14,21,10,22,11,54,69,70,67,65,71,49.0,1989
27,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,26,2340,35,1.35,67.9,8,30.8,1,1,0,0,1989,1,0,0.0,7.0,34.0,0.32,0.0,0.0,497.0,41.6,236.0,91.9,60.5,605.0,46.3,37.0,0.54,11.9,360.0,6.1,100,0.0,68.23741007194245,95.0,53.77750611246944,61.76128818963745,41.56607259709766,M. Dúbravka,M. Dúbravka,Martin Dúbravka,GK,81,Newcastle United,32,1989-01-15,190,80,eng Premier League,SUB,Slovakia,,,,45,35,60,74,38,60,17,28,12,55,20,59,79,78,80,79,82,46.0,1989
28,Ederson,br BRA,GK,Manchester City,eng Premier League,27,37,3330,26,0.7,69.9,20,54.1,1,1,0,0,1993,3,0,0.0,1.0,25.7,0.3,-0.3,-0.01,182.0,47.8,138.0,19.6,26.8,988.0,15.7,25.7,1.49,19.0,300.0,7.0,100,0.10355029585798817,93.38129496402877,49.02434790541619,72.50611246943765,68.51782391522562,63.54382385773124,Ederson,Ederson,Ederson Santana de Moraes,GK,89,Manchester City,27,1993-08-17,188,86,eng Premier League,GK,Brazil,,,,66,40,70,66,41,78,18,38,20,70,51,70,87,82,93,88,88,64.0,1993
29,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,37,3330,50,1.35,70.4,8,21.6,6,2,3,1,1985,2,0,2.0,8.0,46.8,0.26,-1.2,-0.03,525.0,36.8,277.0,59.6,44.4,736.0,48.9,38.2,0.32,10.4,595.0,4.7,100,0.11420118343195267,58.309352517985616,68.52142478833692,60.183374083129586,70.13047525728015,36.737942184071755,Ł. Fabiański,Ł. Fabiański,Łukasz Fabiański,GK,82,West Ham United,36,1985-04-18,190,83,eng Premier League,GK,Poland,,,,32,22,53,69,25,65,20,43,15,52,22,63,82,82,71,83,82,49.0,1985
30,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,13,1105,15,1.22,68.9,3,27.3,1,1,0,0,1998,0,0,0.0,1.0,13.0,0.28,-2.0,-0.16,82.0,30.5,82.0,18.3,24.4,221.0,30.3,30.6,1.71,16.6,159.0,9.4,45,0.12366863905325445,64.46043165467626,35.0,35.0,54.88025313124305,61.30124331190577,W. Faríñez,W. Faríñez,Wuilker Fariñez Aray,GK,73,Racing Club de Lens,23,1998-02-15,180,77,fr Ligue 1,SUB,Venezuela,,,,29,25,52,75,41,51,20,23,15,66,23,45,70,69,69,74,76,52.0,1998
31,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,32,2880,39,1.22,73.8,10,31.3,2,2,0,0,1993,0,0,1.0,3.0,39.7,0.27,1.7,0.05,633.0,38.7,244.0,75.0,59.1,1084.0,41.5,37.8,1.09,15.8,462.0,3.0,50,0.45657894736842103,68.77697841726618,86.22160192391027,77.20048899755501,72.45883463491397,53.908349051156705,M. Flekken,M. Flekken,Mark Flekken,GK,75,Sport-Club Freiburg,28,1993-06-13,195,87,de Bundesliga,GK,Netherlands,,,,28,34,56,54,28,72,11,32,14,35,23,24,76,69,75,73,77,31.0,1993
32,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,19,1710,35,1.84,67.3,3,15.8,2,2,0,0,1988,1,0,0.0,5.0,32.4,0.31,-0.6,-0.03,330.0,31.8,140.0,70.7,49.5,461.0,50.1,39.6,1.26,12.4,285.0,6.3,100,0.10710059171597634,52.05035971223022,72.77245047679625,46.7359413202934,58.12692559076826,49.373532468532275,F. Forster,F. Forster,Fraser Forster,GK,75,Southampton,33,1988-03-17,201,93,eng Premier League,SUB,England,,,,19,33,48,69,29,80,12,44,13,48,22,54,75,71,64,74,79,30.0,1988
33,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,26,2340,49,1.88,60.3,4,15.4,4,3,1,0,1983,0,0,0.0,3.0,37.1,0.29,-10.9,-0.42,622.0,31.5,223.0,90.1,60.6,657.0,64.1,44.7,1.42,15.8,455.0,4.4,100,0.2289940828402367,51.618705035971225,87.59983832260974,56.32029339853301,79.32172985341313,57.07128834828131,B. Foster,B. Foster,Ben Foster,GK,78,Watford,38,1983-04-03,193,90,eng Premier League,SUB,England,,,,32,25,55,73,32,57,14,15,14,41,41,63,78,77,73,78,78,46.0,1983
34,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,31,2790,45,1.45,72.6,8,25.8,8,8,0,0,1993,2,0,1.0,7.0,45.3,0.28,2.3,0.07,452.0,40.5,246.0,54.9,40.1,814.0,38.9,34.7,0.81,14.5,411.0,4.6,45,0.5118421052631579,62.84172661870503,66.16993104636694,63.997555012224936,59.50914224005272,48.867739327918706,G. Gallon,G. Gallon,Gauthier Gallon,GK,73,ESTAC Troyes,28,1993-04-23,186,79,fr Ligue 1,GK,France,,,,27,18,54,59,29,64,15,30,15,52,19,56,73,71,72,73,74,40.0,1993
35,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,34,3060,56,1.65,67.3,9,26.5,5,5,0,0,1987,0,0,1.0,2.0,52.3,0.31,-1.7,-0.05,579.0,40.2,287.0,63.1,47.7,951.0,41.9,36.5,1.5,16.7,532.0,4.5,50,0.12011834319526628,63.59712230215827,74.53042601232094,70.69682151589242,82.80621039386727,59.469764040186305,R. Gikiewicz,R. Gikiewicz,Rafał Gikiewicz,GK,79,FC Augsburg,33,1987-10-26,190,81,de Bundesliga,GK,Poland,,,,20,19,48,66,20,68,13,22,12,48,19,31,80,74,64,77,82,28.0,1987
36,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,25,2250,25,1.0,68.7,10,40.0,4,4,0,0,1993,1,0,0.0,4.0,23.9,0.33,-0.1,0.0,304.0,42.8,151.0,68.2,49.5,627.0,32.1,31.4,1.24,16.1,362.0,4.7,45,0.10118343195266273,78.16546762589928,79.3990694680611,54.85330073349633,67.52042635148877,55.889949574656455,A. Gomis,A. Gomis,Alfred Benjamin Gomis,GK,76,Stade Rennais FC,27,1993-09-05,196,80,fr Ligue 1,GK,Senegal,,,,35,24,53,76,33,57,15,16,16,61,23,57,76,76,70,75,76,42.0,1993
37,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,21,1890,28,1.33,69.4,2,9.5,2,2,0,0,1996,3,0,1.0,5.0,23.2,0.25,-3.8,-0.18,267.0,36.3,166.0,56.0,43.5,419.0,41.5,35.2,0.62,11.7,310.0,5.2,45,0.14497041420118345,45.25179856115108,66.274007698682,44.68215158924205,53.33676808519199,41.97024519804457,I. Grbić,I. Grbić,Ivo Grbić,GK,73,LOSC Lille,25,1996-01-18,195,93,fr Ligue 1,GK,Croatia,,,,30,21,53,38,25,59,7,26,9,35,19,30,70,72,70,71,75,28.0,1996
38,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,15,1197,27,2.03,61.2,1,6.7,1,1,0,0,2000,1,1,1.0,1.0,23.9,0.34,-1.1,-0.08,166.0,38.6,110.0,59.1,46.6,290.0,34.8,34.4,1.05,14.1,173.0,3.5,45,0.11301775147928995,42.23021582733813,71.24741202139818,38.37408312958435,46.297498811884,50.44285769275184,E. Green,E. Green,Etienne Green,GK,72,AS Saint-Étienne,20,2000-07-19,190,78,fr Ligue 1,GK,England,,,,17,17,51,37,34,74,10,23,4,32,12,35,73,70,68,72,74,26.0,2000
39,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,33,2967,34,1.03,72.1,9,27.3,3,3,0,0,1990,1,0,0.0,6.0,31.9,0.27,-1.1,-0.03,310.0,37.7,198.0,33.8,33.1,976.0,24.9,29.5,1.85,20.6,349.0,4.0,50,0.11301775147928995,64.46043165467626,51.77489084242029,71.91931540342298,61.55029836121555,69.8951075868971,P. Gulácsi,P. Gulácsi,Péter Gulácsi,GK,85,RB Leipzig,31,1990-05-06,191,86,de Bundesliga,GK,Hungary,,,,31,25,57,67,35,74,12,34,11,44,24,45,85,84,76,82,86,43.0,1990
40,Timo Horn,de GER,GK,Köln,de Bundesliga,28,13,1170,21,1.62,62.5,1,7.7,0,0,0,0,1993,0,0,0.0,3.0,19.7,0.36,-0.3,-0.02,166.0,40.4,81.0,30.9,33.4,438.0,32.2,33.1,1.46,17.4,149.0,2.7,50,0.10355029585798817,43.309352517985616,52.85252893341071,45.61124694376528,45.945435840104054,60.35547942568998,T. Horn,T. Horn,Timo Horn,GK,76,1. FC Köln,28,1993-05-12,192,90,de Bundesliga,GK,Germany,,,,29,22,45,64,31,67,17,41,15,45,21,25,77,77,60,70,78,47.0,1993
