,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_21_22,Distribution_Score_21_22,Ball_Quality_Score_21_22,Positioning_Score_21_22,Sweeper_Score_21_22,short_version,short_name,long_name,player_positions,overall,club_name,age,dob,height_cm,weight_kg,league_name,club_position,nationality_name,pace,shooting,passing,skill_long_passing,skill_ball_control,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,birth_year
0,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,12,1080,13,1.08,66.7,4,33.3,2,1,1,0,2002,1,0,0.0,1.0,12.3,0.29,-0.7,-0.06,147.0,36.7,70.0,84.3,54.9,321.0,27.4,30.3,2.0,19.1,146.0,5.5,45,0.10828402366863905,70.93525179856115,84.82968123199186,39.88997555012225,51.36800819555356,68.61330305246545,D. Alemdar,D. Alemdar,Doğan Alemdar,GK,68,Stade Rennais FC,18,2002-10-29,189,73,fr Ligue 1,RES,Turkey,,,,24,16,49,56,33,65,5,19,8,45,10,59,66,67,65,69,69,38.0,2002
1,Alisson,br BRA,GK,Liverpool,eng Premier League,28,36,3240,24,0.67,75.8,20,55.6,0,0,0,0,1992,0,0,0.0,3.0,24.4,0.25,1.4,0.04,258.0,44.2,172.0,33.1,33.4,1216.0,16.5,26.3,2.47,18.7,340.0,6.5,100,0.42894736842105263,95.0,56.18282975978997,83.65525672371638,68.27688377560975,72.39289426074906,Alisson,Alisson,Alisson Ramsés Becker,GK,89,Liverpool,28,1992-10-02,191,91,eng Premier League,GK,Brazil,,,,44,30,63,52,32,78,14,27,13,66,23,65,86,86,84,90,89,52.0,1992
2,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,29,2560,48,1.69,63.8,5,17.2,2,1,1,0,1997,2,0,1.0,4.0,43.1,0.32,-3.9,-0.14,472.0,43.0,212.0,67.9,47.6,786.0,41.7,36.3,0.88,13.5,418.0,5.3,60,0.14615384615384616,53.56115107913669,77.98859895644594,62.628361858190715,66.9474227398336,47.7256630355287,E. Audero,E. Audero,Emil Audero Mulyadi,GK,78,U.C. Sampdoria,24,1997-01-18,192,83,it Serie A,GK,Italy,,,,19,18,55,65,25,55,19,24,9,30,22,56,80,73,73,76,82,53.0,1997
3,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,12,1080,28,2.33,65.3,0,0.0,3,3,0,0,1994,0,0,1.0,3.0,23.2,0.3,-2.8,-0.23,207.0,34.3,87.0,67.8,47.8,275.0,53.8,40.9,1.0,16.1,187.0,3.7,100,0.13313609467455623,35.0,72.1936808974869,37.640586797066014,43.68268656683954,53.589630085838564,D. Bachmann,D. Bachmann,Daniel Bachmann,GK,70,Watford,26,1994-07-09,191,81,eng Premier League,GK,Austria,,,,39,27,51,57,36,75,15,31,13,36,31,51,69,67,68,65,71,45.0,1994
4,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,33,2970,57,1.73,64.5,8,24.2,4,2,1,1,1990,1,0,0.0,9.0,51.5,0.33,-4.5,-0.14,393.0,35.1,216.0,24.5,28.8,1302.0,26.1,29.0,1.97,16.7,420.0,6.4,50,0.1532544378698225,61.115107913669064,43.57837932353977,87.86063569682152,64.07871798747829,63.97455637245467,O. Baumann,O. Baumann,Oliver Baumann,GK,82,TSG Hoffenheim,31,1990-06-02,187,82,de Bundesliga,GK,Germany,,,,25,17,59,73,39,69,13,32,10,41,22,52,81,80,79,79,82,49.0,1990
5,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,23,1938,49,2.28,65.9,1,4.8,5,3,1,1,1990,1,0,0.0,4.0,40.8,0.28,-6.2,-0.29,339.0,43.4,182.0,73.1,49.9,392.0,52.6,39.5,0.65,12.7,329.0,3.6,60,0.17337278106508877,40.17985611510791,81.77610722403975,43.36185819070904,63.41948488509806,44.0707879441087,V. Belec,V. Belec,Vid Belec,GK,73,US Salernitana 1919,31,1990-06-06,193,84,it Serie A,GK,Slovenia,,,,28,21,49,75,20,59,16,25,11,23,23,70,73,72,65,71,74,49.0,1990
6,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,37,3330,35,0.95,78.0,14,37.8,5,4,1,0,1993,2,0,1.0,1.0,42.6,0.27,7.6,0.21,378.0,38.4,260.0,55.4,43.0,774.0,30.2,30.5,0.89,13.6,503.0,6.2,45,1.0,75.7913669064748,67.11726425637269,62.04156479217604,82.7657220102162,48.0028099618923,W. Benítez,W. Benítez,Walter Daniel Benítez,GK,80,OGC Nice,28,1993-01-19,191,93,fr Ligue 1,GK,Argentina,,,,27,20,54,62,40,80,14,28,17,46,25,62,80,79,72,80,83,48.0,1993
7,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,13,1170,19,1.46,65.2,4,30.8,3,3,0,0,1997,0,0,2.0,6.0,15.9,0.28,-3.1,-0.24,111.0,41.4,98.0,46.9,39.0,241.0,27.0,31.8,1.08,12.5,192.0,10.9,45,0.1366863905325444,68.23741007194245,63.22674367038084,35.97799511002445,35.0,47.82959313291505,P. Bernardoni,P. Bernardoni,Paul Jean François Bernardoni,GK,77,Angers SCO,24,1997-04-18,190,78,fr Ligue 1,GK,France,,,,24,25,55,70,36,68,16,29,15,21,19,55,78,74,73,77,82,29.0,1997
8,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,19,1710,37,1.95,65.6,3,15.8,5,5,0,0,1997,0,0,1.0,5.0,31.4,0.29,-3.6,-0.19,304.0,28.6,136.0,72.1,49.3,443.0,46.5,37.0,2.95,18.8,197.0,9.6,45,0.142603550295858,52.05035971223022,70.92126969968044,45.85574572127139,43.762390935300154,77.17483351938104,P. Bernardoni,P. Bernardoni,Paul Jean François Bernardoni,GK,77,Angers SCO,24,1997-04-18,190,78,fr Ligue 1,GK,France,,,,24,25,55,70,36,68,16,29,15,21,19,55,78,74,73,77,82,29.0,1997
9,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,11,833,20,2.16,68.4,2,22.2,2,2,0,0,1998,0,0,1.0,1.0,16.0,0.25,-4.0,-0.43,129.0,35.7,86.0,48.8,38.5,226.0,38.5,33.8,0.43,11.7,128.0,6.3,45,0.14733727810650887,58.9568345323741,59.61827157240131,35.24449877750611,43.05797136123838,40.14915893606374,D. Bertaud,D. Bertaud,Dimitry Bertaud,GK,72,Montpellier Hérault SC,23,1998-06-06,180,85,fr Ligue 1,SUB,France,,,,25,25,49,65,42,65,19,30,12,25,18,48,73,69,65,69,75,53.0,1998
10,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,38,3420,57,1.5,68.8,7,18.4,4,4,0,0,1991,1,0,0.0,8.0,51.0,0.28,-4.0,-0.1,624.0,46.5,328.0,75.0,53.1,877.0,43.1,37.4,0.89,14.1,541.0,3.0,45,0.14733727810650887,54.856115107913666,86.96146604394686,67.07823960880197,77.15284446392315,48.90931136687324,M. Bizot,M. Bizot,Marco Bizot,GK,77,Stade Brestois 29,30,1991-03-10,193,83,fr Ligue 1,GK,Netherlands,,,,33,32,52,67,32,64,14,39,13,47,36,47,80,74,69,75,77,46.0,1991
11,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,31,2790,24,0.77,78.0,13,41.9,4,2,1,1,1991,2,0,2.0,6.0,26.6,0.24,2.6,0.09,378.0,40.2,241.0,53.1,41.2,829.0,30.2,33.1,0.77,12.8,420.0,6.4,80,0.5394736842105263,80.21582733812949,66.19060953389777,64.73105134474328,56.713486231448265,45.40224796951384,Y. Bounou,Y. Bounou,Yassine Bounou,GK,82,Sevilla FC,30,1991-04-05,192,78,es La Liga,GK,Morocco,,,,44,12,57,48,43,69,19,25,10,60,24,57,82,79,76,81,84,36.0,1991
