,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_21_22,Distribution_Score_21_22,Ball_Quality_Score_21_22,Positioning_Score_21_22,Sweeper_Score_21_22
25,Sascha Burchert,de GER,GK,Greuther Fürth,de Bundesliga,31,14,1260,28,2.0,65.3,3,21.4,3,3,0,0,1989,0,0,1.0,4.0,23.0,0.28,-3.0,-0.22,326.0,36.8,115.0,83.5,55.9,441.0,52.2,41.1,1.71,17.2,224.0,3.6,50,0.13550295857988168,58.093525179856115,85.3860237751924,45.75794621026895,45.44685124787525,62.389044997882905
30,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,27,19,1542,30,1.75,67.8,5,29.4,2,2,0,0,1994,1,0,0.0,7.0,27.5,0.3,-2.5,-0.15,276.0,37.3,168.0,88.1,58.5,286.0,44.8,38.9,0.76,12.8,263.0,3.8,45,0.12958579881656807,66.72661870503597,89.26567295046031,38.178484107579465,50.21766176593733,45.30640132414643
31,Cárdenas,es ESP,GK,Levante,es La Liga,24,24,2160,46,1.92,65.0,5,20.8,4,4,0,0,1997,3,0,1.0,5.0,41.5,0.31,-4.5,-0.19,296.0,31.1,198.0,38.4,35.7,525.0,41.9,36.6,1.08,15.6,332.0,3.0,80,0.1532544378698225,57.44604316546763,50.82900208558765,49.86552567237164,54.465809990614716,53.44990184379691
32,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,14,1260,17,1.21,71.7,3,21.4,0,0,0,0,1986,3,0,0.0,1.0,17.2,0.29,0.2,0.01,218.0,34.4,136.0,51.5,40.8,348.0,42.5,36.4,1.07,15.2,217.0,3.7,80,0.31842105263157894,58.093525179856115,61.400802811868836,41.210268948655255,57.911531304817814,52.628854074444746
33,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,28,2520,40,1.43,68.6,10,35.7,6,3,2,1,1992,1,0,0.0,4.0,42.0,0.32,2.0,0.07,370.0,44.6,204.0,50.5,42.1,873.0,30.6,32.3,1.07,14.8,413.0,7.5,50,0.4842105263157894,73.52517985611512,68.98174920745134,66.88264058679707,74.4600896334295,51.903652950459986
35,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,17,1457,29,1.79,68.8,3,17.6,6,5,1,0,1989,1,0,0.0,4.0,28.6,0.31,1.6,0.1,242.0,43.0,94.0,74.5,54.6,351.0,49.0,39.8,0.86,16.0,195.0,3.1,80,0.4473684210526315,53.992805755395686,85.55312420016573,41.35696821515892,48.93746540325799,52.0664767696986
37,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,37,3322,63,1.71,67.8,3,8.1,9,8,1,0,1987,2,0,0.0,10.0,56.0,0.28,-6.0,-0.16,431.0,43.2,246.0,31.7,28.8,1219.0,29.0,30.9,0.81,13.4,491.0,4.3,60,0.17100591715976332,43.7410071942446,51.53032211305761,83.80195599022005,68.3537497158853,46.87343623696062
38,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,25,2250,62,2.48,57.1,0,0.0,5,5,0,0,1987,1,0,1.0,5.0,44.1,0.29,-16.9,-0.68,424.0,42.7,218.0,67.9,47.9,686.0,40.2,35.3,1.56,16.9,355.0,2.5,45,0.30000000000000004,35.0,78.01277454113271,57.738386308068456,56.63100868602528,60.407444474383155
39,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,36,3240,29,0.81,77.5,16,44.4,3,2,1,0,1992,1,0,1.0,2.0,33.3,0.25,4.3,0.12,251.0,29.5,199.0,30.7,34.3,936.0,20.3,28.8,0.86,15.5,467.0,4.5,80,0.6960526315789474,82.9136690647482,46.06055806575049,69.96332518337408,75.91405000201192,51.15997536471765
40,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,35,3150,63,1.8,66.1,2,5.7,8,6,2,0,1994,3,0,4.0,10.0,52.4,0.28,-9.6,-0.27,703.0,45.7,316.0,73.4,48.2,890.0,52.9,39.4,0.94,15.0,484.0,4.5,60,0.21360946745562132,41.15107913669065,82.14885216655306,67.71393643031786,40.36436826485036,51.02024712267601
43,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27,15,1304,33,2.28,54.5,3,20.0,3,3,0,0,1994,0,0,0.0,3.0,22.3,0.3,-9.7,-0.67,133.0,24.1,112.0,41.1,33.8,302.0,28.8,30.2,0.28,10.6,159.0,3.1,45,0.21479289940828405,56.58273381294964,45.54450816369455,38.960880195599024,47.22462080883241,36.71715616459448
45,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,31,2772,37,1.2,76.2,9,30.0,9,7,2,0,1993,0,0,0.0,3.0,37.7,0.23,1.7,0.05,554.0,32.9,230.0,73.0,53.5,711.0,54.3,42.1,1.14,13.9,405.0,8.6,80,0.45657894736842103,67.37410071942446,77.34262429266141,58.96088019559902,76.31802032140578,50.94287693906617
46,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,38,3420,43,1.13,71.3,14,36.8,8,4,4,0,1987,1,0,0.0,1.0,43.3,0.27,2.3,0.06,804.0,37.7,283.0,71.0,52.4,1176.0,51.3,40.3,0.97,14.3,452.0,8.0,80,0.5118421052631579,74.71223021582733,79.08904420280123,81.69926650366747,85.18200741036385,50.03868509180492
47,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,24,2116,36,1.53,65.7,5,21.7,2,2,0,0,1998,1,0,0.0,7.0,28.3,0.27,-5.7,-0.24,302.0,30.5,154.0,57.1,40.6,584.0,36.6,33.7,1.19,14.2,304.0,7.6,45,0.16745562130177516,58.41726618705036,60.50113655657569,52.75061124694376,56.644124181776874,51.9660110088918
50,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,17,1530,17,1.0,73.8,5,29.4,1,1,0,0,1999,3,0,0.0,3.0,17.5,0.27,1.5,0.09,47.0,42.6,96.0,14.6,21.6,373.0,8.8,22.0,2.0,18.4,176.0,6.3,45,0.4381578947368421,66.72661870503597,39.83777777214638,42.432762836185816,50.77800664039943,67.34420108549213
52,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,16,1440,25,1.56,57.9,7,43.8,1,1,0,0,1989,0,0,0.0,1.0,19.3,0.32,-5.7,-0.36,203.0,33.0,133.0,71.4,48.9,282.0,38.3,36.3,0.63,15.4,223.0,2.2,45,0.16745562130177516,82.2661870503597,73.36976987580238,37.98288508557457,57.72703347278971,48.77420224027099
53,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,26,2340,35,1.35,67.9,8,30.8,1,1,0,0,1989,1,0,0.0,7.0,34.0,0.32,0.0,0.0,497.0,41.6,236.0,91.9,60.5,605.0,46.3,37.0,0.54,11.9,360.0,6.1,100,0.0,68.23741007194245,95.0,53.77750611246944,61.76128818963745,41.56607259709766
54,Ederson,br BRA,GK,Manchester City,eng Premier League,27,37,3330,26,0.7,69.9,20,54.1,1,1,0,0,1993,3,0,0.0,1.0,25.7,0.3,-0.3,-0.01,182.0,47.8,138.0,19.6,26.8,988.0,15.7,25.7,1.49,19.0,300.0,7.0,100,0.10355029585798817,93.38129496402877,49.02434790541619,72.50611246943765,68.51782391522562,63.54382385773124
57,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,37,3330,50,1.35,70.4,8,21.6,6,2,3,1,1985,2,0,2.0,8.0,46.8,0.26,-1.2,-0.03,525.0,36.8,277.0,59.6,44.4,736.0,48.9,38.2,0.32,10.4,595.0,4.7,100,0.11420118343195267,58.309352517985616,68.52142478833692,60.183374083129586,70.13047525728015,36.737942184071755
59,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,13,1105,15,1.22,68.9,3,27.3,1,1,0,0,1998,0,0,0.0,1.0,13.0,0.28,-2.0,-0.16,82.0,30.5,82.0,18.3,24.4,221.0,30.3,30.6,1.71,16.6,159.0,9.4,45,0.12366863905325445,64.46043165467626,35.0,35.0,54.88025313124305,61.30124331190577
60,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,13,1166,29,2.24,65.4,2,15.4,2,1,1,0,1991,1,1,0.0,8.0,23.5,0.27,-5.5,-0.42,154.0,38.3,92.0,38.0,34.9,286.0,41.6,36.2,1.62,18.1,177.0,5.1,80,0.16508875739644974,51.618705035971225,54.97838388497084,38.178484107579465,39.70572242347391,63.158127718541905
61,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,12,1080,24,2.0,66.7,1,8.3,1,1,0,0,1998,0,0,0.0,5.0,19.9,0.28,-2.1,-0.17,216.0,29.6,83.0,49.4,36.9,433.0,40.4,33.9,1.5,16.8,194.0,4.6,100,0.12485207100591716,43.9568345323741,54.45990121967599,45.36674816625917,47.547777488980714,59.65106432118249
63,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,32,2880,39,1.22,73.8,10,31.3,2,2,0,0,1993,0,0,1.0,3.0,39.7,0.27,1.7,0.05,633.0,38.7,244.0,75.0,59.1,1084.0,41.5,37.8,1.09,15.8,462.0,3.0,50,0.45657894736842103,68.77697841726618,86.22160192391027,77.20048899755501,72.45883463491397,53.908349051156705
64,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,19,1710,35,1.84,67.3,3,15.8,2,2,0,0,1988,1,0,0.0,5.0,32.4,0.31,-0.6,-0.03,330.0,31.8,140.0,70.7,49.5,461.0,50.1,39.6,1.26,12.4,285.0,6.3,100,0.10710059171597634,52.05035971223022,72.77245047679625,46.7359413202934,58.12692559076826,49.373532468532275
65,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,26,2340,49,1.88,60.3,4,15.4,4,3,1,0,1983,0,0,0.0,3.0,37.1,0.29,-10.9,-0.42,622.0,31.5,223.0,90.1,60.6,657.0,64.1,44.7,1.42,15.8,455.0,4.4,100,0.2289940828402367,51.618705035971225,87.59983832260974,56.32029339853301,79.32172985341313,57.07128834828131
68,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,31,2790,45,1.45,72.6,8,25.8,8,8,0,0,1993,2,0,1.0,7.0,45.3,0.28,2.3,0.07,452.0,40.5,246.0,54.9,40.1,814.0,38.9,34.7,0.81,14.5,411.0,4.6,45,0.5118421052631579,62.84172661870503,66.16993104636694,63.997555012224936,59.50914224005272,48.867739327918706
70,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,30,38,3420,57,1.5,70.0,8,21.1,5,3,2,0,1990,0,0,0.0,4.0,55.1,0.29,1.1,0.03,315.0,32.7,299.0,42.8,35.9,623.0,30.0,30.9,0.66,14.0,525.0,1.5,100,0.4013157894736842,57.76978417266187,53.563732061538765,54.65770171149144,83.05302314352117,46.523538242426575
72,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,34,3060,56,1.65,67.3,9,26.5,5,5,0,0,1987,0,0,1.0,2.0,52.3,0.31,-1.7,-0.05,579.0,40.2,287.0,63.1,47.7,951.0,41.9,36.5,1.5,16.7,532.0,4.5,50,0.12011834319526628,63.59712230215827,74.53042601232094,70.69682151589242,82.80621039386727,59.469764040186305
73,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,25,2250,25,1.0,68.7,10,40.0,4,4,0,0,1993,1,0,0.0,4.0,23.9,0.33,-0.1,0.0,304.0,42.8,151.0,68.2,49.5,627.0,32.1,31.4,1.24,16.1,362.0,4.7,45,0.10118343195266273,78.16546762589928,79.3990694680611,54.85330073349633,67.52042635148877,55.889949574656455
75,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,21,1890,28,1.33,69.4,2,9.5,2,2,0,0,1996,3,0,1.0,5.0,23.2,0.25,-3.8,-0.18,267.0,36.3,166.0,56.0,43.5,419.0,41.5,35.2,0.62,11.7,310.0,5.2,45,0.14497041420118345,45.25179856115108,66.274007698682,44.68215158924205,53.33676808519199,41.97024519804457
76,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,15,1197,27,2.03,61.2,1,6.7,1,1,0,0,2000,1,1,1.0,1.0,23.9,0.34,-1.1,-0.08,166.0,38.6,110.0,59.1,46.6,290.0,34.8,34.4,1.05,14.1,173.0,3.5,45,0.11301775147928995,42.23021582733813,71.24741202139818,38.37408312958435,46.297498811884,50.44285769275184
79,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,34,30,2655,33,1.12,74.1,11,36.7,3,3,0,0,1987,2,0,1.0,10.0,28.8,0.23,-4.2,-0.14,282.0,37.2,201.0,37.3,31.5,778.0,26.6,28.3,1.22,16.3,386.0,4.4,100,0.14970414201183432,74.60431654676259,51.40807576030187,62.23716381418093,50.435829228850174,56.060856845914
80,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,33,2967,34,1.03,72.1,9,27.3,3,3,0,0,1990,1,0,0.0,6.0,31.9,0.27,-1.1,-0.03,310.0,37.7,198.0,33.8,33.1,976.0,24.9,29.5,1.85,20.6,349.0,4.0,50,0.11301775147928995,64.46043165467626,51.77489084242029,71.91931540342298,61.55029836121555,69.8951075868971
82,Samir Handanović,si SVN,GK,Inter,it Serie A,37,37,3330,30,0.81,79.0,15,40.5,4,4,0,0,1984,1,0,0.0,3.0,33.2,0.24,4.2,0.11,301.0,46.2,142.0,20.4,26.5,1118.0,24.3,28.1,0.27,11.2,393.0,3.8,60,0.6868421052631579,78.70503597122303,47.98069247591944,78.86308068459658,72.4193902708252,37.7091112052042
84,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,28,36,3240,48,1.33,70.1,12,33.3,7,4,3,0,1993,3,0,0.0,10.0,48.1,0.29,1.1,0.03,850.0,45.6,306.0,85.6,58.5,852.0,69.0,46.5,1.78,18.1,529.0,4.3,80,0.4013157894736842,70.93525179856115,94.05722822106722,65.85574572127139,72.38301271420075,64.6916740444205
86,Timo Horn,de GER,GK,Köln,de Bundesliga,28,13,1170,21,1.62,62.5,1,7.7,0,0,0,0,1993,0,0,0.0,3.0,19.7,0.36,-0.3,-0.02,166.0,40.4,81.0,30.9,33.4,438.0,32.2,33.1,1.46,17.4,149.0,2.7,50,0.10355029585798817,43.309352517985616,52.85252893341071,45.61124694376528,45.945435840104054,60.35547942568998
87,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,31,32,2880,44,1.37,72.7,8,25.0,4,2,1,1,1989,1,0,2.0,6.0,41.9,0.26,-2.1,-0.07,381.0,34.1,209.0,42.6,37.4,1050.0,27.8,30.6,1.41,17.5,385.0,4.4,50,0.12485207100591716,61.97841726618705,55.587639028617915,75.53789731051344,51.90805993977311,60.05754647984911
92,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,29,2565,39,1.37,67.3,7,24.1,3,3,0,0,1997,0,0,2.0,5.0,37.4,0.32,0.4,0.02,240.0,32.1,185.0,37.3,35.4,836.0,20.5,27.5,1.72,16.1,343.0,5.0,50,0.3368421052631579,61.00719424460432,50.906774485381874,65.07334963325184,49.88729482568681,60.49058855229224
93,Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,29,2610,62,2.14,66.7,5,17.2,8,7,0,1,1988,1,0,1.0,7.0,48.3,0.27,-11.7,-0.4,399.0,33.6,224.0,47.8,40.1,847.0,34.5,34.3,0.66,12.6,442.0,3.2,100,0.23846153846153847,53.56115107913669,59.06755479419076,65.61124694376528,62.030188478156624,43.98533430847993
94,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,38,3420,48,1.26,71.6,8,21.1,7,4,3,0,1999,3,0,0.0,6.0,52.2,0.3,5.2,0.14,607.0,33.9,288.0,78.5,55.5,824.0,46.2,39.2,1.47,14.9,491.0,5.5,45,0.7789473684210526,57.76978417266187,81.41180092901146,64.48655256723717,77.42771523931432,55.91881904615266
95,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35,27,2313,33,1.28,70.0,5,18.5,4,3,1,0,1985,3,1,1.0,2.0,31.8,0.29,-1.2,-0.05,259.0,41.7,199.0,35.2,33.1,535.0,35.3,31.3,0.93,14.2,293.0,6.1,45,0.11420118343195267,54.96402877697842,54.969261022824895,50.354523227383865,58.33967720220159,49.47399822933908
96,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,28,38,3420,51,1.34,76.5,13,34.2,13,11,2,0,1993,4,0,0.0,10.0,52.8,0.24,1.8,0.05,792.0,34.3,313.0,83.1,60.2,840.0,63.3,46.0,0.74,12.1,586.0,7.2,80,0.46578947368421053,71.9064748201439,86.81998565683341,65.26894865525672,80.01358856711579,43.84560606643828
100,Andreas Linde,se SWE,GK,Greuther Fürth,de Bundesliga,28,12,1080,24,2.0,62.9,3,25.0,1,1,0,0,1993,0,0,0.0,5.0,19.7,0.31,-3.3,-0.27,211.0,29.9,87.0,59.8,44.8,408.0,39.0,35.1,0.83,13.8,227.0,5.7,50,0.13905325443786984,61.97841726618705,64.20387823006338,44.14425427872861,51.64871895537142,47.7903306516802
101,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,38,3420,40,1.05,72.3,16,42.1,2,2,0,0,1986,2,0,1.0,5.0,37.6,0.26,-1.4,-0.04,279.0,41.2,278.0,28.4,26.5,676.0,29.6,31.0,1.18,14.2,567.0,5.8,100,0.11656804733727812,80.43165467625899,47.30103924604612,57.24938875305624,80.91558884334597,51.87016436352438
102,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30,34,2982,45,1.36,71.6,8,23.5,4,3,1,0,1990,1,1,1.0,8.0,42.7,0.26,0.7,0.02,263.0,43.0,219.0,24.7,31.4,910.0,23.0,29.3,0.85,14.6,412.0,4.1,45,0.3644736842105263,60.35971223021582,50.99222529414895,68.6919315403423,57.23725779561796,49.43242619038454
103,Diego López,es ESP,GK,Espanyol,es La Liga,39,36,3177,49,1.39,70.7,9,25.0,4,3,0,1,1981,4,0,0.0,4.0,50.3,0.31,3.3,0.09,429.0,36.8,298.0,46.6,38.7,859.0,33.8,33.8,1.22,13.7,616.0,5.7,80,0.6039473684210526,61.97841726618705,59.770319274833824,66.19804400977995,95.0,51.34704954001309
104,Pau López,es ESP,GK,Marseille,fr Ligue 1,26,29,2610,31,1.07,68.6,10,34.5,4,4,0,0,1994,4,0,0.0,5.0,30.2,0.32,-0.8,-0.03,248.0,31.9,167.0,31.1,33.4,1166.0,16.8,25.8,1.59,17.8,271.0,7.0,45,0.10946745562130178,72.23021582733813,47.143441802474825,81.21026894865525,57.025452326912976,62.32668693945109
109,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,27,2430,39,1.44,64.4,6,22.2,2,2,0,0,1987,3,0,0.0,5.0,30.5,0.29,-5.5,-0.2,472.0,34.5,217.0,59.9,44.2,784.0,43.6,36.0,0.89,12.9,399.0,7.3,50,0.16508875739644974,58.9568345323741,66.90812264167678,62.530562347188265,70.76184608759108,46.73370799491897
110,Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,17,1485,27,1.64,73.8,1,6.3,6,5,0,1,1985,1,0,0.0,4.0,28.2,0.28,1.2,0.07,221.0,31.7,143.0,39.2,35.4,379.0,43.5,36.0,0.61,10.8,275.0,2.2,60,0.4105263157894737,41.798561151079134,51.28058376181221,42.72616136919316,56.92770599539108,40.24269602371146
111,Mike Maignan,fr FRA,GK,Milan,it Serie A,26,32,2880,21,0.66,81.2,17,53.1,2,2,0,0,1995,1,0,0.0,4.0,24.3,0.22,4.3,0.13,374.0,42.0,149.0,38.9,36.5,1005.0,31.4,33.0,1.41,16.8,347.0,7.2,60,0.6960526315789474,92.3021582733813,59.01532640840519,73.33740831295843,67.29775655421344,58.788444512875785
112,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,18,1620,20,1.11,76.0,8,44.4,2,2,0,0,2000,2,0,0.0,2.0,21.1,0.26,1.1,0.06,314.0,36.6,149.0,76.5,53.7,346.0,57.8,41.4,1.61,16.3,273.0,4.8,80,0.4013157894736842,82.9136690647482,81.19878209790352,41.11246943765281,62.346885287263085,59.79887601524308
116,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,28,36,3240,48,1.33,68.6,11,30.6,6,4,1,1,1992,4,0,2.0,5.0,42.1,0.27,-3.9,-0.11,406.0,36.0,275.0,38.5,34.1,824.0,36.4,33.6,0.92,15.4,474.0,7.2,100,0.14615384615384616,68.02158273381295,52.976903954000505,64.48655256723717,64.9813381503236,51.55375495592594
118,Luís Maximiano,pt POR,GK,Granada,es La Liga,22,35,3136,55,1.58,71.8,7,20.0,7,5,2,0,1999,2,0,0.0,7.0,56.0,0.28,3.0,0.09,730.0,31.8,335.0,75.8,52.5,839.0,56.7,42.6,1.55,17.6,574.0,5.1,80,0.5763157894736841,56.58273381294964,76.78628174946085,65.2200488997555,83.90526936248469,61.58069979598907
