,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_21_22,Distribution_Score_21_22,Ball_Quality_Score_21_22,Positioning_Score_21_22,Sweeper_Score_21_22
1,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,12,1080,13,1.08,66.7,4,33.3,2,1,1,0,2002,1,0,0.0,1.0,12.3,0.29,-0.7,-0.06,147.0,36.7,70.0,84.3,54.9,321.0,27.4,30.3,2.0,19.1,146.0,5.5,45,0.10828402366863905,70.93525179856115,84.82968123199186,39.88997555012225,51.36800819555356,68.61330305246545
2,Alisson,br BRA,GK,Liverpool,eng Premier League,28,36,3240,24,0.67,75.8,20,55.6,0,0,0,0,1992,0,0,0.0,3.0,24.4,0.25,1.4,0.04,258.0,44.2,172.0,33.1,33.4,1216.0,16.5,26.3,2.47,18.7,340.0,6.5,100,0.42894736842105263,95.0,56.18282975978997,83.65525672371638,68.27688377560975,72.39289426074906
6,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,29,2560,48,1.69,63.8,5,17.2,2,1,1,0,1997,2,0,1.0,4.0,43.1,0.32,-3.9,-0.14,472.0,43.0,212.0,67.9,47.6,786.0,41.7,36.3,0.88,13.5,418.0,5.3,60,0.14615384615384616,53.56115107913669,77.98859895644594,62.628361858190715,66.9474227398336,47.7256630355287
7,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,12,1080,28,2.33,65.3,0,0.0,3,3,0,0,1994,0,0,1.0,3.0,23.2,0.3,-2.8,-0.23,207.0,34.3,87.0,67.8,47.8,275.0,53.8,40.9,1.0,16.1,187.0,3.7,100,0.13313609467455623,35.0,72.1936808974869,37.640586797066014,43.68268656683954,53.589630085838564
8,Édgar Badía,es ESP,GK,Elche,es La Liga,29,24,2160,35,1.46,75.4,5,20.8,9,7,1,1,1992,2,0,0.0,5.0,37.3,0.26,2.3,0.1,408.0,44.6,210.0,71.0,49.2,618.0,41.9,36.1,1.71,16.2,399.0,4.3,80,0.5118421052631579,57.44604316546763,81.34588825000696,54.41320293398533,69.12045158196153,60.57604218792101
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,33,2970,57,1.73,64.5,8,24.2,4,2,1,1,1990,1,0,0.0,9.0,51.5,0.33,-4.5,-0.14,393.0,35.1,216.0,24.5,28.8,1302.0,26.1,29.0,1.97,16.7,420.0,6.4,50,0.1532544378698225,61.115107913669064,43.57837932353977,87.86063569682152,64.07871798747829,63.97455637245467
14,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,23,1938,49,2.28,65.9,1,4.8,5,3,1,1,1990,1,0,0.0,4.0,40.8,0.28,-6.2,-0.29,339.0,43.4,182.0,73.1,49.9,392.0,52.6,39.5,0.65,12.7,329.0,3.6,60,0.17337278106508877,40.17985611510791,81.77610722403975,43.36185819070904,63.41948488509806,44.0707879441087
15,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,37,3330,35,0.95,78.0,14,37.8,5,4,1,0,1993,2,0,1.0,1.0,42.6,0.27,7.6,0.21,378.0,38.4,260.0,55.4,43.0,774.0,30.2,30.5,0.89,13.6,503.0,6.2,45,1.0,75.7913669064748,67.11726425637269,62.04156479217604,82.7657220102162,48.0028099618923
18,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,13,1170,19,1.46,65.2,4,30.8,3,3,0,0,1997,0,0,2.0,6.0,15.9,0.28,-3.1,-0.24,111.0,41.4,98.0,46.9,39.0,241.0,27.0,31.8,1.08,12.5,192.0,10.9,45,0.1366863905325444,68.23741007194245,63.22674367038084,35.97799511002445,35.0,47.82959313291505
19,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,19,1710,37,1.95,65.6,3,15.8,5,5,0,0,1997,0,0,1.0,5.0,31.4,0.29,-3.6,-0.19,304.0,28.6,136.0,72.1,49.3,443.0,46.5,37.0,2.95,18.8,197.0,9.6,45,0.142603550295858,52.05035971223022,70.92126969968044,45.85574572127139,43.762390935300154,77.17483351938104
20,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,11,833,20,2.16,68.4,2,22.2,2,2,0,0,1998,0,0,1.0,1.0,16.0,0.25,-4.0,-0.43,129.0,35.7,86.0,48.8,38.5,226.0,38.5,33.8,0.43,11.7,128.0,6.3,45,0.14733727810650887,58.9568345323741,59.61827157240131,35.24449877750611,43.05797136123838,40.14915893606374
21,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,38,3420,57,1.5,68.8,7,18.4,4,4,0,0,1991,1,0,0.0,8.0,51.0,0.28,-4.0,-0.1,624.0,46.5,328.0,75.0,53.1,877.0,43.1,37.4,0.89,14.1,541.0,3.0,45,0.14733727810650887,54.856115107913666,86.96146604394686,67.07823960880197,77.15284446392315,48.90931136687324
22,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,31,2790,24,0.77,78.0,13,41.9,4,2,1,1,1991,2,0,2.0,6.0,26.6,0.24,2.6,0.09,378.0,40.2,241.0,53.1,41.2,829.0,30.2,33.1,0.77,12.8,420.0,6.4,80,0.5394736842105263,80.21582733812949,66.19060953389777,64.73105134474328,56.713486231448265,45.40224796951384
23,Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,17,1456,19,1.17,67.9,5,29.4,1,1,0,0,1983,2,0,0.0,1.0,18.6,0.31,1.6,0.1,272.0,40.1,99.0,62.6,47.9,405.0,51.9,39.9,0.56,11.0,251.0,2.4,80,0.4473684210526315,66.72661870503597,74.44459508429779,43.997555012224936,60.80539040350269,40.12606335886678
