,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_20_21,Distribution_Score_20_21,Ball_Quality_Score_20_21,Positioning_Score_20_21,Sweeper_Score_20_21
19,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,29,33,2970,28.0,0.85,77.4,15.0,45.5,6.0,4.0,2.0,0.0,1991,3,0,0.0,4.0,27.8,0.21,1.8,0.05,381,43.6,200,54.0,40.7,895,30.5,32.0,1.03,15.0,450,5.8,80,0.4135135135135135,83.16901408450707,66.00549108808843,62.17983651226158,73.60069423256805,53.95685579196217
20,Claudio Bravo,cl CHI,GK,Betis,es La Liga,37,20,1800,25.0,1.25,72.0,7.0,35.0,5.0,4.0,1.0,0.0,1983,3,0,0.0,0.0,24.0,0.26,0.0,0.0,328,35.7,129,64.3,48.5,518,47.3,38.1,0.8,13.0,287,3.8,80,0.0,70.49295774647888,69.73978639845042,46.771117166212534,65.56736644331576,47.28427895981088
23,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,29,19,1665,30.0,1.62,71.7,4.0,22.2,4.0,4.0,0.0,0.0,1990,0,0,0.0,6.0,28.4,0.27,-1.6,-0.09,166,37.3,110,34.5,34.9,519,24.7,29.5,0.7,16.3,187,2.1,50,0.11893491124260355,55.04024144869216,51.318305404012584,46.81198910081744,40.5968061223698,53.192966903073284
32,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,32,2880,33.0,1.03,72.2,14.0,43.8,5.0,3.0,2.0,0.0,1992,0,0,1.0,2.0,32.7,0.26,0.7,0.02,462,41.3,203,63.1,48.4,1048,31.9,32.6,1.78,17.3,450,5.6,50,0.3441441441441441,81.11670020120725,72.95980310273134,68.43324250681198,69.59447532577053,66.79521276595744
37,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,33,37,3330,56.0,1.51,71.9,7.0,18.9,5.0,4.0,1.0,0.0,1987,1,0,0.0,4.0,53.6,0.27,-1.4,-0.04,319,37.0,240,21.7,24.1,1114,24.0,27.7,0.92,15.1,513,5.1,60,0.11656804733727812,51.056338028169016,39.23137206120165,71.1307901907357,79.56729309710171,52.99793144208037
38,Alex Cordaz,it ITA,GK,Crotone,it Serie A,37,36,3240,91.0,2.53,58.5,2.0,5.6,5.0,5.0,0.0,0.0,1983,1,0,2.0,9.0,72.1,0.33,-16.9,-0.47,502,38.8,306,39.9,33.2,1134,33.5,31.8,1.0,15.1,555,3.2,60,0.30000000000000004,35.0,52.874433564942336,71.94822888283379,53.92304932167687,53.84899527186761
40,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,38,3420,56.0,1.47,68.6,14.0,36.8,8.0,7.0,1.0,0.0,1987,0,0,2.0,6.0,48.2,0.26,-6.8,-0.18,610,43.3,292,67.1,47.6,1034,40.0,35.3,0.79,13.2,560,2.9,45,0.1804733727810651,72.66599597585514,75.02402573170082,67.86103542234332,61.29636161692186,47.60047281323877
41,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,28,38,3420,28.0,0.74,81.9,17.0,44.7,8.0,7.0,1.0,0.0,1992,0,0,0.0,3.0,32.7,0.22,5.7,0.15,300,29.7,235,32.3,36.6,1086,20.6,29.6,1.16,15.7,472,5.5,80,0.6594594594594594,82.20321931589538,46.800188367423104,69.98637602179836,77.99755020601611,56.818853427895974
42,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,26,34,3060,53.0,1.56,73.6,6.0,17.6,5.0,5.0,0.0,0.0,1994,1,0,1.0,7.0,54.2,0.27,1.2,0.03,429,40.8,274,58.4,42.0,688,39.1,33.5,0.65,14.2,530,3.6,60,0.37567567567567567,49.486921529175056,66.53462584187798,53.71934604904632,64.88911787177894,48.22399527186761
45,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,29,25,2250,43.0,1.72,68.3,4.0,16.0,4.0,3.0,1.0,0.0,1990,3,0,1.0,4.0,37.2,0.27,-3.8,-0.15,505,34.7,216,81.5,55.3,504,65.3,44.9,0.4,9.2,401,4.5,100,0.14497041420118345,47.55533199195172,79.5758356583086,46.19891008174387,59.422728013521265,35.0
47,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,28,35,3120,49.0,1.41,64.3,9.0,25.7,5.0,3.0,1.0,1.0,1992,0,0,0.0,5.0,45.3,0.32,-3.7,-0.11,778,39.3,233,91.0,68.3,836,67.7,49.0,1.38,17.5,387,3.6,80,0.1437869822485207,59.26559356136822,94.97085636095466,59.76839237057221,63.79805489492394,62.96247044917257
48,Jaume Doménech,es ESP,GK,Valencia,es La Liga,29,28,2520,42.0,1.5,70.8,4.0,14.3,6.0,4.0,2.0,0.0,1990,1,0,2.0,5.0,36.9,0.25,-3.1,-0.11,477,47.0,243,71.2,49.7,646,47.1,36.6,0.71,13.4,485,1.6,80,0.1366863905325444,45.503018108651915,80.3015122705383,52.00272479564033,55.43603867749776,47.17198581560284
49,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,21,37,3330,38.0,1.03,71.4,14.0,37.8,4.0,2.0,1.0,1.0,1999,1,0,2.0,6.0,35.7,0.27,-1.3,-0.04,365,41.6,207,41.5,33.7,1021,27.3,29.0,1.16,14.8,556,5.2,60,0.11538461538461539,73.87323943661971,55.59943489773072,67.32970027247957,62.07963527149436,54.91725768321513
50,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,22,36,3148,55.0,1.57,66.7,7.0,19.4,10.0,8.0,2.0,0.0,1997,0,1,1.0,10.0,56.2,0.33,2.2,0.06,496,36.3,260,54.6,43.6,789,44.9,37.9,0.77,13.3,486,4.9,60,0.4387387387387387,51.65995975855131,63.45933218417359,57.847411444141684,54.11415425195764,47.598995271867615
51,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,31,15,1350,25.0,1.67,66.1,2.0,13.3,6.0,6.0,0.0,0.0,1989,1,0,1.0,3.0,20.6,0.28,-3.4,-0.22,188,37.8,108,69.4,46.1,249,45.4,37.1,0.4,12.1,204,0.5,45,0.14023668639053255,44.29577464788733,71.09453912178131,35.776566757493185,39.91853929036474,41.127364066193856
52,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,31,13,1170,19.0,1.46,71.0,3.0,23.1,1.0,1.0,0.0,0.0,1989,0,0,0.0,0.0,16.6,0.25,-1.4,-0.11,166,42.2,122,50.8,40.5,316,32.9,32.5,0.85,12.6,244,3.7,100,0.11656804733727812,56.12676056338029,63.88866774474438,38.514986376021795,61.197243795359185,46.9710401891253
53,Ederson,br BRA,GK,Manchester City,eng Premier League,26,36,3240,28.0,0.78,77.4,19.0,52.8,8.0,7.0,1.0,0.0,1993,3,0,0.0,2.0,28.6,0.23,1.6,0.05,266,40.6,153,43.8,39.3,967,20.6,28.4,1.22,16.6,309,6.1,100,0.4009009009009009,91.98189134808855,59.67876246157128,65.12261580381471,64.27807695356957,59.35874704491726
56,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,35,35,3150,44.0,1.26,70.3,10.0,28.6,5.0,3.0,1.0,1.0,1985,2,0,0.0,4.0,40.8,0.27,0.8,0.02,609,39.1,272,75.0,51.9,738,54.9,40.4,0.43,10.8,516,5.0,100,0.3504504504504504,62.766599597585525,77.91599879160523,55.76294277929155,79.8170689118115,38.69976359338062
57,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,31,22,1876,50.0,2.4,67.1,3.0,13.6,4.0,3.0,1.0,0.0,1988,2,0,1.0,8.0,41.5,0.28,-6.5,-0.31,350,26.0,183,66.1,46.5,638,35.9,33.5,0.96,12.6,374,3.2,50,0.17692307692307693,44.65794768611671,62.52581166811793,51.67574931880109,46.673643433619326,48.14125295508274
59,Aitor Fernández,es ESP,GK,Levante,es La Liga,29,29,2610,44.0,1.52,65.8,3.0,10.3,3.0,3.0,0.0,0.0,1991,0,0,1.0,6.0,36.6,0.29,-5.4,-0.19,281,35.6,206,25.2,28.1,721,31.8,32.8,1.86,17.7,396,1.5,80,0.163905325443787,40.674044265593565,42.30503083183765,55.06811989100818,52.691097702178766,68.49143026004728
60,Álvaro Fernández,es ESP,GK,Huesca,es La Liga,22,22,1980,32.0,1.45,68.4,5.0,22.7,2.0,2.0,0.0,0.0,1998,0,0,0.0,7.0,30.1,0.3,-0.9,-0.04,276,39.1,173,37.0,37.2,635,33.4,34.1,1.05,15.4,281,4.3,80,0.1106508875739645,55.64386317907445,54.96076271035844,51.55313351498637,48.82904519207199,55.01477541371158
61,Andrés Fernández,es ESP,GK,Huesca,es La Liga,33,16,1440,21.0,1.31,66.7,4.0,25.0,3.0,3.0,0.0,0.0,1986,0,0,1.0,3.0,18.2,0.28,-1.8,-0.12,232,34.5,120,49.2,40.5,447,38.7,34.2,0.69,13.4,258,1.6,80,0.121301775147929,58.420523138833005,58.29379986849822,43.869209809264305,45.90863937751282,46.959219858156025
68,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,29,26,2295,32.0,1.25,68.9,9.0,34.6,4.0,4.0,0.0,0.0,1990,0,0,1.0,5.0,28.1,0.27,-1.9,-0.08,174,38.5,172,33.1,29.1,417,28.1,29.7,1.1,16.8,310,0.6,100,0.12248520710059173,70.01006036217305,47.52465658486308,42.643051771117165,45.93210407919077,58.504728132387704
69,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,32,34,3060,54.0,1.59,73.0,7.0,20.6,9.0,6.0,1.0,2.0,1987,3,0,0.0,2.0,53.2,0.26,2.2,0.07,565,34.2,297,56.2,44.7,1087,36.6,34.1,1.06,16.0,619,5.3,50,0.4387387387387387,53.10865191146882,63.385549019956294,70.02724795640327,95.0,56.388888888888886
71,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,25,25,2156,26.0,1.09,66.2,9.0,36.0,6.0,4.0,2.0,0.0,1995,0,1,0.0,3.0,24.9,0.29,-0.1,0.0,232,39.7,116,63.8,49.7,550,28.7,32.6,1.63,17.4,234,2.6,60,0.10118343195266273,71.70020120724348,73.06109501892561,48.079019073569484,52.600461868109825,65.41075650118202
73,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,26,22,1980,25.0,1.14,71.1,5.0,22.7,4.0,3.0,0.0,1.0,1993,1,0,0.0,0.0,21.8,0.25,-2.2,-0.1,204,39.7,130,51.5,41.2,532,25.8,28.6,1.59,18.7,222,3.2,45,0.1260355029585799,55.64386317907445,62.971069607093995,47.3433242506812,58.730117583720066,67.73197399527186
76,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,33,37,3330,64.0,1.73,63.9,8.0,21.6,4.0,3.0,1.0,0.0,1987,2,0,1.0,9.0,50.2,0.28,-13.8,-0.37,651,34.3,315,84.4,56.0,762,50.5,38.5,0.65,13.3,604,3.1,100,0.26331360946745563,54.31589537223341,80.76454072112737,56.74386920980926,67.37970878509606,46.32239952718676
77,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,30,33,2970,30.0,0.91,66.3,15.0,45.5,3.0,3.0,0.0,0.0,1990,0,0,0.0,1.0,26.8,0.3,-3.2,-0.1,222,43.2,168,17.9,25.7,1003,19.1,27.7,1.97,19.7,315,4.8,50,0.13786982248520713,83.16901408450707,43.19902973006593,66.59400544959128,66.55279261144933,73.88741134751771
78,Samir Handanović,si SVN,GK,Inter,it Serie A,36,37,3240,33.0,0.92,73.6,14.0,37.8,6.0,4.0,2.0,0.0,1984,1,0,1.0,3.0,31.6,0.24,-0.4,-0.01,200,45.5,167,26.9,30.8,911,17.0,26.7,0.61,14.9,441,2.9,60,0.10473372781065089,73.87323943661971,51.30010840012085,62.833787465940055,64.95758549741439,49.277482269503544
79,Dean Henderson,eng ENG,GK,Manchester Utd,eng Premier League,23,13,1125,12.0,0.96,76.5,4.0,33.3,0.0,0.0,0.0,0.0,1997,3,0,0.0,4.0,11.2,0.23,-0.8,-0.06,92,20.7,94,28.7,30.0,230,28.3,30.9,1.52,17.4,169,5.3,100,0.10946745562130178,68.44064386317908,35.0,35.0,45.12153102461161,64.24054373522458
80,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,27,33,2958,40.0,1.22,71.4,10.0,31.3,7.0,4.0,2.0,1.0,1993,2,0,0.0,5.0,39.5,0.28,1.5,0.05,891,43.7,259,94.2,61.1,892,72.5,48.0,2.1,17.5,533,5.4,80,0.39459459459459456,66.0261569416499,93.80226751728185,62.05722070844686,79.38860528521862,70.62204491725768
81,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,32,16,1395,16.0,1.03,68.2,7.0,43.8,2.0,2.0,0.0,0.0,1987,1,0,0.0,1.0,15.1,0.3,0.1,0.0,155,48.4,123,43.1,39.5,426,23.9,29.1,0.52,12.1,176,4.5,50,0.3063063063063063,81.11670020120725,64.72466369306773,43.01089918256131,52.438098914826035,42.4039598108747
82,Timo Horn,de GER,GK,Köln,de Bundesliga,27,34,3009,59.0,1.76,66.5,5.0,14.7,8.0,7.0,1.0,0.0,1993,0,0,1.0,5.0,53.7,0.3,-5.3,-0.16,530,44.2,221,42.1,37.1,1110,39.4,35.5,0.9,15.2,469,3.0,50,0.16272189349112426,45.985915492957744,59.92506175252787,70.96730245231608,63.13740941476263,52.99645390070922
83,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,30,29,2565,29.0,1.02,66.3,8.0,27.6,2.0,1.0,1.0,0.0,1989,1,0,1.0,0.0,26.6,0.31,-0.4,-0.01,419,35.6,180,33.3,32.8,1208,29.7,31.5,2.04,18.2,322,6.2,50,0.10473372781065089,61.55935613682094,48.311677003180925,74.97275204359673,61.732047258700476,71.4627659574468
85,Sam Johnstone,eng ENG,GK,West Brom,eng Premier League,27,37,3330,74.0,2.0,71.4,6.0,16.2,11.0,7.0,1.0,3.0,1993,1,0,2.0,7.0,67.2,0.26,-3.8,-0.1,889,33.0,296,86.1,56.8,994,63.8,45.0,1.03,14.0,645,3.1,100,0.14497041420118345,47.79678068410463,81.03699820517834,66.22615803814713,67.59426928682066,51.84397163120567
88,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,37,24,2160,31.0,1.29,69.2,8.0,33.3,5.0,3.0,1.0,1.0,1983,1,0,1.0,3.0,31.0,0.31,0.0,0.0,404,48.3,192,74.5,53.5,520,50.2,38.9,0.46,11.9,349,3.2,45,0.0,68.44064386317908,84.94437829865122,46.85286103542234,55.87235430543036,41.34308510638298
90,Gregor Kobel,ch SUI,GK,Stuttgart,de Bundesliga,22,33,2970,54.0,1.64,68.8,5.0,15.2,7.0,5.0,2.0,0.0,1997,0,0,1.0,3.0,52.5,0.29,-0.5,-0.02,315,40.0,280,20.0,25.2,940,27.6,28.2,1.27,15.9,459,3.7,50,0.10591715976331362,46.589537223340045,41.428447034990135,64.01907356948229,67.17754714130086,58.411643026004725
91,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,21,38,3420,55.0,1.45,73.2,5.0,13.2,12.0,10.0,1.0,1.0,1999,2,0,2.0,7.0,51.2,0.24,-2.8,-0.07,641,31.0,257,80.5,54.8,864,50.2,39.9,0.95,14.9,507,4.5,45,0.13313609467455623,44.17505030181087,76.45590247543228,60.91280653950953,54.45588065444912,52.89450354609929
93,Gautier Larsonneur,fr FRA,GK,Brest,fr Ligue 1,23,35,3150,62.0,1.77,68.0,6.0,17.1,10.0,8.0,1.0,1.0,1997,2,0,1.0,5.0,53.6,0.27,-6.4,-0.18,398,45.5,282,32.3,34.4,967,31.7,33.7,0.69,12.9,548,4.7,45,0.17573964497041422,48.88329979879276,55.63625539779291,65.12261580381471,71.94745535049218,45.90277777777778
94,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,34,37,3313,51.0,1.39,69.9,8.0,21.6,10.0,10.0,0.0,0.0,1985,2,0,0.0,5.0,42.6,0.25,-5.4,-0.15,494,37.7,257,47.5,39.0,764,48.7,37.5,0.79,14.3,480,3.5,45,0.163905325443787,54.31589537223341,58.77438558456099,56.82561307901907,73.08676248441583,49.92464539007092
95,Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29,28,2520,27.0,0.96,64.7,13.0,46.4,3.0,3.0,0.0,0.0,1991,1,0,1.0,0.0,21.7,0.28,-4.3,-0.15,322,33.9,169,42.6,38.4,837,29.9,32.1,2.21,18.7,312,2.9,45,0.15088757396449706,84.25553319919518,54.23401986743198,59.80926430517711,59.0274984391104,74.32771867612291
96,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,27,32,2880,45.0,1.41,70.9,9.0,28.1,9.0,8.0,1.0,0.0,1993,0,0,2.0,3.0,44.7,0.29,0.7,0.02,834,41.0,297,94.6,65.1,708,78.1,50.4,0.66,11.5,512,6.1,80,0.3441441441441441,62.16297786720323,95.0,54.536784741144416,65.15001431164195,42.62559101654846
97,Bernd Leno,de GER,GK,Arsenal,eng Premier League,28,35,3131,37.0,1.06,69.2,11.0,31.4,2.0,1.0,1.0,0.0,1992,0,1,0.0,3.0,32.3,0.26,-0.7,-0.02,293,26.6,227,56.8,43.0,953,17.2,25.4,0.95,16.1,487,3.7,100,0.10828402366863905,66.14688128772637,57.37215005420006,64.55040871934605,78.57664443505382,55.42996453900709
99,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,33,38,3420,45.0,1.18,77.4,12.0,31.6,10.0,10.0,0.0,0.0,1986,0,0,0.0,3.0,45.6,0.24,3.6,0.1,408,39.0,264,35.6,28.1,814,38.6,32.4,0.63,13.1,590,3.9,100,0.527027027027027,66.38832997987929,47.965720683098475,58.869209809264305,89.02424351064803,45.68705673758865
101,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,29,38,3420,43.0,1.13,71.6,11.0,28.9,7.0,5.0,1.0,1.0,1990,2,0,2.0,4.0,36.3,0.23,-4.7,-0.12,338,44.4,249,38.6,35.6,934,25.9,30.3,1.58,18.3,499,2.0,45,0.15562130177514794,63.1287726358149,57.83859044301886,63.77384196185286,59.39008742655677,66.78043735224585
102,Pau López,es ESP,GK,Roma,it Serie A,25,21,1817,29.0,1.44,69.4,4.0,20.0,3.0,3.0,0.0,0.0,1994,0,0,1.0,4.0,25.4,0.27,-0.6,-0.03,166,35.5,101,38.6,35.6,562,22.6,29.2,1.49,19.2,174,4.0,60,0.10710059171597634,52.38430583501007,51.98043466671406,48.56948228882834,36.36692387043406,67.72458628841608
103,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,33,31,2768,42.0,1.37,71.2,5.0,16.1,5.0,4.0,1.0,0.0,1987,1,0,0.0,5.0,39.8,0.27,-1.2,-0.04,475,37.9,215,60.9,42.8,927,37.1,34.2,0.65,13.1,376,4.8,50,0.11420118343195267,47.676056338028175,66.01721962575303,63.48773841961852,63.31155950029011,45.89982269503546
104,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,25,38,3420,23.0,0.61,79.4,21.0,55.3,2.0,1.0,1.0,0.0,1995,1,0,0.0,7.0,28.8,0.25,7.8,0.21,393,31.3,240,59.6,48.7,826,30.3,31.6,1.16,17.2,490,5.5,45,0.7918918918918919,95.0,65.43896717786507,59.35967302452316,70.43771635801656,59.98817966903073
106,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,35,37,3330,45.0,1.22,66.9,8.0,21.6,3.0,3.0,0.0,0.0,1985,1,0,1.0,7.0,39.0,0.29,-5.0,-0.14,491,29.1,291,54.6,42.7,1029,32.3,31.9,0.95,15.2,564,3.9,45,0.1591715976331361,54.31589537223341,58.08041156504897,67.6566757493188,68.45839116448984,53.528368794326234
110,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,27,38,3420,46.0,1.21,78.0,15.0,39.5,6.0,5.0,1.0,0.0,1992,1,0,2.0,4.0,49.2,0.24,4.2,0.11,639,38.7,253,64.0,47.0,1058,45.1,37.1,0.89,14.2,613,6.9,100,0.5648648648648649,75.92555331991953,70.5494819895865,68.84196185286103,73.36397465264403,50.777186761229316
112,Jordi Masip,es ESP,GK,Valladolid,es La Liga,31,25,2250,40.0,1.6,68.7,2.0,8.0,4.0,4.0,0.0,0.0,1989,3,0,1.0,3.0,38.4,0.3,-1.6,-0.06,522,31.6,217,82.0,58.0,579,59.4,43.2,0.72,14.9,377,1.6,80,0.11893491124260355,37.89738430583501,79.61912462459796,49.264305177111716,57.86011583528023,50.447695035460995
113,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,30,30,2700,57.0,1.9,65.3,7.0,23.3,6.0,6.0,0.0,0.0,1989,2,0,1.0,2.0,46.5,0.28,-9.5,-0.32,435,25.1,171,59.1,41.1,900,37.1,32.0,1.03,15.6,365,6.3,100,0.2124260355029586,56.36820925553321,55.79121425905853,62.3841961852861,61.41835980517906,55.22458628841608
114,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,28,31,2745,25.0,0.82,71.6,16.0,51.6,3.0,2.0,1.0,0.0,1992,2,0,1.0,4.0,21.9,0.24,-2.1,-0.07,197,36.0,179,26.8,25.7,846,17.6,25.4,0.89,15.2,335,5.1,100,0.12485207100591716,90.53319919517104,41.38892541716276,60.177111716621255,53.10330951204527,52.89007092198581
116,Alex Meret,it ITA,GK,Napoli,it Serie A,23,22,1980,29.0,1.32,66.7,6.0,27.3,2.0,2.0,0.0,0.0,1997,0,0,1.0,3.0,26.2,0.31,-1.8,-0.08,77,45.5,93,16.1,23.3,510,12.2,24.9,0.59,13.1,241,3.3,60,0.121301775147929,61.19718309859156,42.414568265420364,46.444141689373296,45.07715808680814,45.26152482269504
117,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,20,35,3150,52.0,1.49,76.6,11.0,31.4,9.0,8.0,1.0,0.0,2000,0,0,1.0,11.0,46.6,0.21,-3.4,-0.1,305,32.8,267,33.3,29.4,1099,19.7,27.4,0.54,11.9,447,5.4,100,0.14023668639053255,66.14688128772637,44.051872123398425,70.51771117166213,48.11298832106104,42.194148936170215
119,Antonio Mirante,it ITA,GK,Roma,it Serie A,37,13,1153,19.0,1.48,69.6,6.0,46.2,3.0,2.0,1.0,0.0,1983,2,0,1.0,0.0,15.9,0.23,-3.1,-0.24,117,41.0,88,27.3,28.4,339,27.4,30.7,1.8,17.9,169,0.6,60,0.1366863905325444,84.01408450704227,46.76379435963961,39.45504087193461,43.4806362190605,68.27570921985816
