,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_20_21,Distribution_Score_20_21,Ball_Quality_Score_20_21,Positioning_Score_20_21,Sweeper_Score_20_21
2,Alisson,br BRA,GK,Liverpool,eng Premier League,27,33,2970,32.0,0.97,75.7,10.0,30.3,8.0,4.0,1.0,3.0,1992,1,0,1.0,4.0,35.0,0.27,3.0,0.09,194,38.1,173,27.7,30.4,980,14.9,25.7,2.64,18.6,341,5.9,100,0.4891891891891892,64.81891348088533,46.40824196328612,65.65395095367847,54.11808025262749,78.69089834515367
3,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,12,1080,30.0,2.5,56.1,3.0,25.0,3.0,1.0,1.0,1.0,1993,2,0,1.0,2.0,20.2,0.28,-8.8,-0.73,187,35.3,105,62.9,45.2,297,40.7,35.2,1.42,16.2,166,3.0,45,0.20414201183431957,58.420523138833005,66.67003714036929,37.73841961852861,39.732054258546626,60.641252955082734
6,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,36,3240,48.0,1.33,73.9,9.0,25.0,6.0,6.0,0.0,0.0,1993,2,0,0.0,2.0,50.5,0.28,3.5,0.1,389,37.0,251,55.8,39.8,760,32.8,30.0,0.86,13.0,501,5.2,100,0.5207207207207207,58.420523138833005,61.61390009418371,56.66212534059946,83.09743420639168,47.9225768321513
8,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,36,3240,40.0,1.11,72.0,10.0,27.8,9.0,7.0,1.0,1.0,1989,2,0,0.0,3.0,36.0,0.24,-2.0,-0.06,406,38.7,283,48.4,40.4,1022,26.3,30.2,0.89,13.9,564,4.8,80,0.12366863905325445,61.80080482897385,60.72395287260321,67.37057220708446,86.87669375353511,50.14332151300236
9,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,37,3330,54.0,1.46,72.8,6.0,16.2,9.0,7.0,2.0,0.0,1997,0,0,1.0,6.0,51.9,0.25,-1.1,-0.03,543,39.2,259,64.1,45.3,986,38.2,35.0,0.92,14.8,563,2.1,60,0.11301775147928995,47.79678068410463,69.70310806248114,65.89918256130791,69.77246923986081,52.36406619385343
10,Édgar Badía,es ESP,GK,Elche,es La Liga,28,30,2700,46.0,1.53,70.9,5.0,16.7,9.0,5.0,3.0,1.0,1992,0,0,0.0,3.0,52.5,0.33,6.5,0.22,453,45.9,285,58.9,41.4,864,33.0,32.7,1.03,13.9,444,1.8,80,0.7099099099099099,48.400402414486926,69.62960922644963,60.91280653950953,73.27912738700459,51.63268321513002
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,31,2790,51.0,1.65,65.9,6.0,19.4,9.0,6.0,2.0,1.0,1990,1,0,0.0,4.0,49.4,0.32,0.4,0.01,407,32.9,204,35.8,32.0,1143,29.2,29.9,1.71,18.3,417,3.4,50,0.32522522522522523,51.65995975855131,46.7886019938514,72.31607629427793,69.04989338169109,68.16341607565012
13,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,27,38,3420,53.0,1.39,73.9,9.0,23.7,7.0,7.0,0.0,0.0,1993,3,0,1.0,11.0,50.8,0.25,-2.2,-0.06,286,31.8,300,30.7,32.4,919,21.1,27.2,0.53,13.1,572,4.2,45,0.1260355029585799,56.851106639839045,44.670428091624764,63.16076294277929,60.048797297085486,44.623226950354606
15,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,38,3420,58.0,1.53,63.3,9.0,23.7,8.0,7.0,1.0,0.0,1997,1,0,0.0,5.0,53.5,0.33,-3.5,-0.09,456,31.4,269,70.3,50.9,712,37.5,35.2,0.45,11.3,516,3.7,45,0.1414201183431953,56.851106639839045,70.59006983811065,54.700272479564035,76.80537901656118,39.968971631205676
17,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,25,19,1637,27.0,1.48,57.4,4.0,21.1,1.0,1.0,0.0,0.0,1995,0,1,1.0,2.0,22.6,0.36,-4.4,-0.24,269,34.9,143,60.1,43.2,520,35.2,32.7,0.77,15.7,234,1.3,80,0.15207100591715977,53.71227364185112,64.06360066106303,46.85286103542234,45.685596888294484,52.66991725768321
