,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_17_18,Distribution_Score_17_18,Ball_Quality_Score_17_18,Positioning_Score_17_18,Sweeper_Score_17_18
0,Antonio Adán,es ESP,GK,Betis,es La Liga,30,30,2700.0,53.0,1.77,62.1,9.0,30.0,4.0,3.0,1.0,0.0,1987.0,4,0,0.0,5.0,41.8,0.29,-7.2,-0.24,490.0,35.9,253.0,59.7,44.4,1002.0,33.8,32.8,0.73,14.6,468.0,3.6,80,0.2655172413793104,58.97923875432526,54.912226670773016,77.52957233848954,70.77442578383778,57.64043787810198
1,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,14,1260.0,18.0,1.29,67.9,4.0,28.6,2.0,1.0,0.0,1.0,1985.0,0,0,0.0,5.0,14.0,0.25,-4.0,-0.29,216.0,36.1,117.0,76.9,54.9,322.0,39.1,36.3,1.57,15.4,209.0,9.1,50,0.19195402298850578,57.52595155709343,71.92870341854018,40.4049135577798,44.704028820105364,70.04588666200256
2,Adrián,es ESP,GK,West Ham,eng Premier League,30,19,1710.0,29.0,1.53,70.8,6.0,31.6,1.0,1.0,0.0,0.0,1987.0,2,0,1.0,6.0,27.8,0.29,-0.2,-0.01,445.0,34.6,184.0,90.2,59.3,383.0,72.8,47.7,1.63,16.0,316.0,4.1,100,0.10459770114942529,60.640138408304495,80.20788420080072,43.73521383075523,43.33423380253189,72.73488620930902
3,Alisson,br BRA,GK,Roma,it Serie A,24,37,3330.0,28.0,0.76,81.5,17.0,45.9,5.0,3.0,2.0,0.0,1992.0,1,0,0.0,2.0,35.4,0.23,7.4,0.2,416.0,51.2,252.0,42.5,41.0,1069.0,28.9,32.1,2.43,18.9,469.0,3.6,60,0.7143999999999999,75.48442906574394,56.90175546658453,81.18744313011828,77.42962499117033,91.6504794435985
4,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,17,1475.0,29.0,1.77,62.7,3.0,18.8,1.0,1.0,0.0,0.0,1986.0,0,0,0.0,4.0,23.3,0.31,-4.7,-0.29,285.0,38.6,129.0,65.9,50.6,494.0,40.5,36.3,1.1,14.1,214.0,3.7,80,0.2080459770114943,47.35294117647059,65.4342469972282,49.79526842584168,43.92503068913578,60.27387958352196
6,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,36,3240.0,71.0,1.97,72.1,7.0,19.4,8.0,6.0,2.0,0.0,1988.0,2,1,4.0,9.0,64.5,0.25,-4.5,-0.13,878.0,41.3,399.0,81.2,55.0,1038.0,53.4,41.1,0.89,12.7,728.0,6.7,60,0.20344827586206898,47.9757785467128,77.7971974129966,79.49499545040946,61.16020206146992,53.18716819622206
8,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,34,3060.0,25.0,0.74,76.5,17.0,50.0,3.0,1.0,1.0,1.0,1993.0,0,0,2.0,5.0,26.2,0.24,2.2,0.07,102.0,51.0,240.0,15.8,29.3,659.0,9.7,22.8,1.47,16.1,404.0,5.4,45,0.4232,79.74048442906575,35.0,58.80345768880801,48.26908501511071,71.21013210420182
9,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,30,2700.0,43.0,1.43,69.1,7.0,23.3,3.0,1.0,2.0,0.0,1994.0,3,0,3.0,5.0,43.4,0.3,3.4,0.11,644.0,49.4,206.0,81.6,58.1,843.0,56.5,42.2,0.73,13.4,395.0,5.8,80,0.49039999999999995,52.0242214532872,87.29904527255927,68.84895359417652,39.32397036279046,53.65508868677723
10,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,23,2070.0,30.0,1.3,71.0,6.0,26.1,6.0,3.0,3.0,0.0,1989.0,3,0,1.0,2.0,32.0,0.29,2.0,0.09,346.0,35.8,200.0,73.5,52.8,454.0,43.8,37.4,1.13,12.8,399.0,6.5,80,0.412,54.930795847750865,68.33692639359407,47.611464968152866,63.13228687994108,56.304580435408866
11,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,33,13,1125.0,14.0,1.12,72.9,5.0,41.7,1.0,1.0,0.0,0.0,1984.0,0,0,0.0,2.0,13.8,0.28,-0.2,-0.01,152.0,30.3,105.0,78.1,54.1,230.0,30.4,32.4,0.4,10.0,243.0,2.1,80,0.10459770114942529,71.12456747404845,67.07499230058515,35.382165605095544,50.56083321719508,38.533478743981235
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,34,3060.0,48.0,1.41,69.4,10.0,29.4,4.0,3.0,1.0,0.0,1990.0,0,0,1.0,9.0,42.6,0.27,-3.4,-0.1,590.0,37.8,261.0,62.5,47.9,1181.0,36.2,33.4,0.82,12.5,480.0,7.7,50,0.1781609195402299,58.35640138408304,60.87234370187865,87.30209281164696,57.93397683471395,51.71056422074982
13,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,38,3420.0,61.0,1.61,65.3,6.0,15.8,3.0,2.0,1.0,0.0,1987.0,2,0,2.0,7.0,54.8,0.31,-5.2,-0.14,647.0,34.5,328.0,81.4,55.5,832.0,45.7,38.9,0.47,10.2,611.0,5.7,100,0.2195402298850575,44.238754325259514,73.01663073606404,68.2484076433121,67.81616491759276,40.01008271945347
14,Vid Belec,si SVN,GK,Benevento,it Serie A,27,13,1113.0,27.0,2.18,67.6,1.0,7.7,3.0,3.0,0.0,0.0,1990.0,1,1,1.0,1.0,28.9,0.36,3.9,0.32,171.0,31.6,108.0,55.6,43.4,264.0,42.0,37.4,0.73,11.4,209.0,6.2,60,0.5184,35.83044982698962,48.96288882044965,37.23839854413103,43.352294096422135,47.01284003456932
17,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,28,2520.0,36.0,1.29,70.8,7.0,25.0,5.0,3.0,2.0,0.0,1993.0,3,0,1.0,0.0,37.1,0.29,3.1,0.11,262.0,38.9,232.0,54.7,43.9,542.0,24.9,29.2,0.14,11.1,445.0,2.9,45,0.4736,53.78892733564014,54.8236834000616,52.415832575068244,70.40726344546881,39.16930737890448
18,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,31,2790.0,34.0,1.1,66.7,8.0,25.8,2.0,1.0,1.0,0.0,1989.0,0,0,2.0,2.0,33.3,0.32,-0.7,-0.02,412.0,44.4,233.0,81.5,54.0,609.0,36.5,34.5,0.81,14.1,396.0,4.5,60,0.11609195402298851,54.61937716262976,79.38712657838003,56.073703366696996,53.30469968556761,56.9083089839088
20,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,32,2880.0,52.0,1.62,65.0,8.0,25.0,5.0,2.0,2.0,1.0,1977.0,0,1,1.0,9.0,44.5,0.29,-3.5,-0.11,576.0,43.9,300.0,72.0,48.8,791.0,45.5,38.0,0.94,13.1,525.0,4.8,60,0.18045977011494255,53.78892733564014,70.25947028025868,66.01000909918108,61.191817121387714,55.0958887197004
21,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,22,22,1941.0,31.0,1.44,67.4,4.0,18.2,4.0,3.0,0.0,1.0,1995.0,3,1,0.0,4.0,26.2,0.28,-4.8,-0.22,415.0,33.0,151.0,75.5,55.2,660.0,45.6,38.8,0.93,13.8,325.0,1.8,80,0.2103448275862069,46.73010380622837,69.2331382814906,58.85805277525023,55.397059188508614,57.304621589365816
24,Yassine Bounou,ma MAR,GK,Girona,es La Liga,26,30,2655.0,46.0,1.56,69.8,9.0,30.0,5.0,4.0,0.0,1.0,1991.0,2,0,2.0,2.0,44.5,0.3,-0.5,-0.02,635.0,35.6,243.0,89.7,60.8,633.0,65.9,46.0,0.98,14.4,411.0,2.2,80,0.11149425287356322,58.97923875432526,82.24052971974129,57.38398544131029,53.51855952928689,59.87756697806494
26,Alberto Brignoli,it ITA,GK,Benevento,it Serie A,25,13,1126.0,31.0,2.48,58.6,1.0,9.1,4.0,2.0,0.0,2.0,1991.0,2,0,0.0,6.0,26.0,0.35,-5.0,-0.4,263.0,33.1,116.0,69.0,51.1,384.0,47.7,39.4,2.16,16.3,204.0,9.8,60,0.21494252873563222,37.28373702422145,62.81336618417001,43.78980891719745,42.40892056334371,79.88209391332977
27,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,39,21,1862.0,14.0,0.68,80.4,11.0,52.4,4.0,3.0,1.0,0.0,1978.0,1,0,0.0,2.0,17.5,0.25,5.5,0.26,191.0,44.0,150.0,38.7,36.8,474.0,28.1,31.9,0.92,14.0,242.0,1.2,60,0.608,82.23183391003461,45.712965814598086,48.70336669699727,49.85762722866127,57.852792295979256
28,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,26,33,2969.0,43.0,1.3,72.4,12.0,36.4,3.0,3.0,0.0,0.0,1990.0,4,0,2.0,3.0,45.5,0.3,2.5,0.08,481.0,33.9,237.0,62.4,49.7,1050.0,31.7,32.4,1.15,14.0,404.0,9.9,50,0.44,65.62283737024221,59.502617801047116,80.15013648771611,55.57281295759266,60.522037943948305
29,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,34,19,1653.0,22.0,1.2,72.1,4.0,21.1,3.0,3.0,0.0,0.0,1983.0,0,0,1.0,1.0,19.6,0.25,-0.4,-0.02,314.0,28.3,145.0,86.9,54.7,390.0,48.2,38.6,1.36,16.2,255.0,8.6,45,0.10919540229885058,49.740484429065745,69.53726516784724,44.11737943585077,50.19122720269721,70.26564879213137
30,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,24,35,3150.0,61.0,1.74,72.1,6.0,17.1,5.0,5.0,0.0,0.0,1993.0,0,0,0.0,8.0,61.7,0.29,2.7,0.08,969.0,38.9,338.0,90.2,62.4,934.0,71.1,48.4,1.11,13.7,609.0,4.1,100,0.4512,45.58823529411765,86.5683708038189,73.81710646041856,80.71197840401224,59.061484011687725
