,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_18_19,Distribution_Score_18_19,Ball_Quality_Score_18_19,Positioning_Score_18_19,Sweeper_Score_18_19
153,Asier Riesgo,es ESP,GK,Eibar,es La Liga,34,15,1260.0,20,1.43,56.5,4,28.6,0,0,0,0,1983,1,0,0,0,16.6,0.36,-2.4,-0.17,278,45.3,80,95.0,62.1,308,65.6,44.6,1.93,18.1,132,3.8,80,0.1403361344537815,66.03074141048826,93.93836978131213,40.358090185676396,52.598978514495485,87.09564998320458
157,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,31,37,3330.0,40,1.08,77.7,13,35.1,9,7,1,1,1986,1,0,0,7,47.3,0.27,7.3,0.2,570,30.0,320,60.3,44.1,872,43.2,36.4,0.49,12.8,475,2.3,45,0.6573426573426573,73.08318264014468,53.39363817097416,70.27851458885942,66.24896763822152,51.128653006382265
158,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,26,27,2430.0,35,1.3,69.7,7,25.9,3,2,1,0,1992,3,0,1,10,29.7,0.25,-3.3,-0.12,430,36.0,218,68.3,49.3,872,32.2,32.7,1.15,14.4,430,5.3,80,0.15546218487394958,63.10126582278482,65.51292246520875,70.27851458885942,47.010695886999926,65.22169969768223
159,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,26,34,3060.0,55,1.62,69.1,6,17.6,8,8,0,0,1992,2,0,1,5,51.2,0.29,-3.8,-0.11,735,41.1,324,93.2,58.8,702,61.7,42.7,0.32,11.6,506,3.4,100,0.1638655462184874,54.09584086799278,87.13916500994037,61.259946949602124,69.11807565995991,45.22589855559288
162,Brice Samba,cg CGO,GK,Caen,fr Ligue 1,24,38,3420.0,54,1.42,75.1,9,23.7,8,6,2,0,1994,1,0,4,5,65.9,0.31,13.9,0.37,772,46.1,316,80.4,54.6,913,56.7,41.3,0.42,11.7,606,6.1,45,0.9804195804195803,60.71428571428572,82.12922465208749,72.45358090185675,59.480423591080374,46.950369499496134
163,Roberto Santamaría,es ESP,GK,Huesca,es La Liga,33,20,1800.0,30,1.5,75.0,6,30.0,6,6,0,0,1985,1,0,1,0,33.5,0.3,4.5,0.23,483,45.3,165,94.5,63.4,418,78.2,51.2,0.35,11.6,309,1.6,80,0.5202797202797202,67.54972875226039,95.0,46.19363395225464,62.33159902449548,45.656701377225396
164,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,31,38,3420.0,48,1.26,68.8,10,26.3,5,5,0,0,1986,3,0,0,4,40.0,0.26,-8.0,-0.21,639,44.1,310,72.6,52.3,935,44.3,37.7,0.66,12.5,534,2.2,100,0.23445378151260504,63.53526220614829,75.7117296222664,73.62068965517241,81.70664655292855,52.70448438024857
165,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,26,33,2970.0,60,1.82,68.8,5,15.2,7,7,0,0,1992,1,0,0,11,57.2,0.31,-2.8,-0.09,636,40.6,330,79.4,59.4,940,39.8,36.7,0.88,14.8,545,2.4,50,0.14705882352941177,51.491862567811935,82.41550695825052,73.88594164456234,61.38902398262624,62.49832045683574
168,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,26,37,3330.0,48,1.3,72.3,8,21.6,9,7,2,0,1992,2,0,3,4,45.0,0.25,-2.0,-0.05,649,39.4,327,78.0,55.1,815,48.3,39.3,0.81,12.3,566,4.6,45,0.13361344537815126,58.4358047016275,76.95228628230618,67.25464190981432,64.63100250950127,54.28157541148808
170,Luigi Sepe,it ITA,GK,Parma,it Serie A,27,37,3330.0,59,1.59,74.1,10,27.0,8,8,0,0,1991,1,0,1,8,55.7,0.25,0.7,0.02,736,43.3,466,78.1,51.5,752,49.5,39.8,0.35,9.4,831,4.3,60,0.33426573426573425,64.29475587703436,76.34393638170975,63.91246684350133,95.0,39.31054753107155
172,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,31,36,3170.0,35,0.99,75.7,14,38.9,4,2,2,0,1987,1,0,0,4,40.7,0.28,5.7,0.16,635,45.2,300,82.0,51.0,823,47.3,38.0,1.02,13.9,539,4.8,60,0.579020979020979,77.20614828209766,78.62226640159045,67.6790450928382,84.16563946301272,61.9125797783003
174,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,27,38,3420.0,56,1.47,69.9,10,26.3,4,4,0,0,1991,1,0,1,4,50.6,0.27,-4.4,-0.11,543,46.2,353,63.5,46.7,776,41.1,36.4,0.37,11.3,599,5.3,60,0.17394957983193277,63.53526220614829,68.61431411530816,65.18567639257294,83.48600497655855,45.078518642929126
175,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,29,34,3060.0,42,1.24,75.0,13,38.2,3,3,0,0,1988,1,0,0,3,48.2,0.3,6.2,0.18,465,37.4,264,42.8,40.0,1338,26.3,30.5,0.97,13.8,458,5.7,50,0.6034965034965034,76.44665461121159,48.514910536779325,95.0,79.32872167526452,60.9061135371179
176,David Soria,es ESP,GK,Getafe,es La Liga,25,37,3330.0,34,0.92,77.4,13,35.1,6,4,1,1,1993,0,0,1,2,39.5,0.26,7.5,0.2,937,37.2,278,95.0,59.2,805,83.6,51.8,1.03,13.8,467,4.3,80,0.6671328671328671,73.08318264014468,85.37375745526842,66.72413793103448,74.918684377603,61.76771918038294
178,Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,39,31,2790.0,60,1.94,65.3,5,16.1,4,2,2,0,1979,2,0,2,6,49.6,0.28,-8.4,-0.27,462,43.5,296,62.8,41.6,603,45.8,37.0,0.26,9.6,506,1.6,60,0.24117647058823533,52.46835443037975,61.56461232604374,56.0079575596817,57.27545799724466,38.59506214309708
180,Marco Sportiello,it ITA,GK,Frosinone,it Serie A,26,35,3150.0,64,1.83,70.6,8,22.9,5,5,0,0,1992,5,0,2,8,54.7,0.25,-8.3,-0.24,532,33.5,341,61.9,47.5,882,36.4,34.8,0.6,13.8,584,3.4,60,0.23949579831932777,59.84629294755878,59.71570576540756,70.80901856763926,60.70620619646971,55.59287873698354
181,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,23,35,3150.0,39,1.11,74.2,10,28.6,6,5,1,0,1995,4,0,2,4,43.7,0.29,7.7,0.22,452,38.3,243,46.9,41.4,848,39.9,34.8,0.77,15.9,476,2.3,60,0.6769230769230768,66.03074141048826,51.96222664015903,69.0053050397878,60.79226139842356,64.09178703392678
182,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,33,14,1138.0,12,0.95,74.4,4,28.6,3,2,1,0,1984,1,0,0,3,12.9,0.25,0.9,0.07,152,37.5,83,60.2,47.8,230,44.3,38.1,0.48,14.4,139,3.6,45,0.34405594405594403,66.03074141048826,62.25646123260438,36.220159151193634,43.922046295788654,55.60043668122271
184,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,28,28,2520.0,20,0.71,76.5,11,39.3,3,1,1,1,1990,0,0,0,3,25.1,0.29,6.1,0.22,255,54.9,205,40.5,38.9,537,32.0,32.7,0.96,15.7,358,2.5,60,0.5986013986013985,77.64014466546112,59.16699801192843,52.50663129973475,66.3442544093122,66.24328182734295
185,Ciprian Tătărușanu,ro ROU,GK,Nantes,fr Ligue 1,32,27,2391.0,30,1.13,69.5,7,25.9,4,1,3,0,1986,0,0,0,5,31.2,0.29,1.2,0.05,371,45.8,220,70.5,48.8,612,35.3,33.5,1.43,15.2,337,5.3,45,0.35874125874125873,63.10126582278482,72.83697813121273,56.48541114058355,60.011822421394584,71.55021834061134
186,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,26,35,3150.0,32,0.91,73.3,16,45.7,1,1,0,0,1992,0,0,0,2,37.5,0.32,6.5,0.18,223,51.1,200,42.0,38.4,883,15.7,27.3,0.91,16.2,395,2.0,80,0.6181818181818182,84.58408679927669,56.50695825049702,70.86206896551724,72.98992308794219,66.96758481692979
189,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,28,33,2938.0,48,1.47,70.3,8,24.2,1,1,0,0,1990,2,0,1,5,43.4,0.28,-3.6,-0.11,705,46.8,222,82.9,56.6,982,53.1,38.3,1.13,15.4,441,4.3,50,0.16050420168067228,61.256781193490056,85.4333996023857,76.11405835543766,62.88846425242856,67.81911320120926
193,Tomáš Vaclík,cz CZE,GK,Sevilla,es La Liga,29,33,2970.0,44,1.33,72.0,8,24.2,5,4,1,0,1989,1,0,2,4,45.5,0.29,1.5,0.04,534,31.1,256,77.7,55.6,743,45.1,37.9,0.64,13.2,474,6.1,80,0.37342657342657337,61.256781193490056,71.38170974155071,63.43501326259947,63.398534974736975,54.436513268390996
195,Emiliano Viviano,it ITA,GK,SPAL,it Serie A,32,17,1525.0,25,1.48,75.0,3,17.6,4,4,0,0,1985,0,0,0,2,24.0,0.24,-1.0,-0.06,275,43.6,163,54.6,43.6,421,44.2,37.6,0.53,12.3,239,2.1,60,0.11680672268907563,54.09584086799278,60.610337972167,46.352785145888596,56.51093551872751,50.26074907625126
201,Ron-Robert Zieler,de GER,GK,Stuttgart,de Bundesliga,29,34,3060.0,70,2.06,62.0,6,17.6,3,2,0,1,1989,3,0,2,7,56.4,0.31,-9.6,-0.28,714,36.3,305,68.5,52.7,911,55.4,40.3,1.21,14.7,518,4.2,50,0.261344537815126,54.09584086799278,69.0437375745527,72.34748010610079,57.386767376837255,66.94868995633188
