,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_18_19,Distribution_Score_18_19,Ball_Quality_Score_18_19,Positioning_Score_18_19,Sweeper_Score_18_19
25,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,27,32,2880.0,40,1.25,71.9,10,31.3,4,4,0,0,1990,1,0,1,6,39.0,0.28,-1.0,-0.03,428,32.7,222,64.9,48.7,852,33.3,32.9,1.13,15.1,425,4.2,50,0.11680672268907563,68.96021699819168,61.36182902584494,69.21750663129973,58.02608006706149,66.95372858582465
26,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,35,36,3239.0,48,1.33,72.0,11,30.6,5,3,2,0,1983,1,1,0,3,47.2,0.27,1.2,0.03,576,41.7,290,77.2,50.7,707,49.8,38.3,0.92,13.9,524,3.2,45,0.35874125874125873,68.20072332730561,74.11332007952288,61.52519893899204,84.47770894383422,60.47657037285859
30,Marc-Aurèle Caillard,fr FRA,GK,Guingamp,fr Ligue 1,24,21,1890.0,34,1.62,64.5,6,28.6,2,1,1,0,1994,0,0,1,3,30.9,0.31,-3.1,-0.15,380,40.5,173,90.2,59.3,369,60.7,44.2,0.19,9.3,275,5.5,45,0.15210084033613447,66.03074141048826,86.11332007952286,43.59416445623342,52.3451634182272,36.72447094390326
32,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,26,26,2295.0,39,1.53,70.6,8,30.8,5,4,1,0,1992,0,0,3,1,40.0,0.31,1.0,0.04,420,46.2,200,53.5,45.8,981,31.9,33.8,1.02,14.4,398,5.3,50,0.34895104895104895,68.41772151898735,64.17693836978131,76.06100795755968,56.59508074085993,63.354887470608
37,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,31,36,3213.0,56,1.57,66.5,12,33.3,8,4,3,1,1987,2,1,0,10,54.3,0.31,0.3,0.01,436,40.8,286,45.1,37.6,887,34.6,32.7,0.81,13.7,590,2.7,60,0.3146853146853147,71.13019891500905,49.48111332007952,71.07427055702918,69.47693964640615,58.32003694994961
38,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,37,3330.0,42,1.14,76.3,9,24.3,7,6,1,0,1987,0,0,1,11,46.4,0.27,4.4,0.12,578,43.9,325,66.2,48.7,833,43.6,37.6,0.59,13.6,576,2.3,45,0.5153846153846153,61.365280289330926,69.84294234592446,68.20954907161804,57.1871744854992,54.87235471951629
39,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,26,27,2430.0,36,1.33,71.2,8,29.6,8,6,1,1,1992,2,0,0,3,36.3,0.3,0.3,0.01,270,34.4,184,45.7,42.6,655,28.4,32.3,0.74,14.2,288,7.3,80,0.3146853146853147,67.11573236889694,49.886679920477135,58.766578249336874,62.47675749092317,58.757138058448106
40,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,24,38,3420.0,54,1.42,77.6,7,18.4,10,8,2,0,1994,1,0,2,4,61.5,0.26,9.5,0.25,722,46.7,369,79.1,53.6,884,48.6,36.9,0.82,12.8,646,3.9,60,0.765034965034965,54.96383363471971,81.13916500994037,70.91511936339522,80.01769384084562,55.867484044339946
41,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,34,34,3056.0,38,1.12,68.7,9,26.5,2,2,0,0,1984,5,0,2,2,36.9,0.31,-0.1,0.0,764,40.8,274,89.8,60.7,803,64.5,46.4,0.82,13.4,542,5.0,80,0.10168067226890756,63.75226039783003,87.52087475149106,66.61803713527851,75.97904150845963,57.59825327510917
44,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,21,1890.0,35,1.67,69.5,3,14.3,7,6,1,0,1993,3,0,0,5,32.9,0.27,-2.1,-0.1,322,41.0,168,61.9,46.6,472,46.2,37.5,0.81,14.4,319,2.5,80,0.13529411764705884,50.51537070524413,64.22465208747516,49.05835543766578,56.02505787415706,60.339267719180384
45,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,26,24,2160.0,30,1.25,68.6,5,20.8,4,3,1,0,1992,3,0,2,3,27.5,0.28,-2.5,-0.1,577,34.5,155,94.2,68.7,604,71.4,49.9,2.38,18.6,271,5.5,80,0.14201680672268907,57.56781193490055,92.220675944334,56.06100795755968,44.503635151410094,95.0
47,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,19,36,3092.0,31,0.9,77.8,11,30.6,4,3,1,0,1999,4,0,1,5,34.8,0.25,4.8,0.14,305,47.9,300,41.7,36.5,873,20.6,27.5,0.64,12.8,546,2.7,60,0.534965034965035,68.20072332730561,52.29622266401591,70.33156498673739,72.84327908165339,53.28266711454485
49,Bartłomiej Drągowski,pl POL,GK,Empoli,it Serie A,20,14,1260.0,24,1.71,78.1,3,21.4,4,3,1,0,1997,2,0,0,3,25.7,0.23,1.7,0.12,198,28.8,153,51.6,45.2,333,35.7,34.3,1.57,14.7,237,4.2,60,0.3832167832167832,58.21880650994575,50.471172962226646,41.684350132625994,54.76585062189295,72.11832381592207
51,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,38,3420.0,48,1.26,70.0,11,28.9,6,6,0,0,1989,1,0,2,9,42.3,0.27,-4.7,-0.12,708,35.3,323,84.8,57.9,850,51.1,38.9,0.87,12.0,651,6.6,100,0.17899159663865546,66.35623869801086,79.12326043737576,69.11140583554376,67.0985903287818,54.277796439368494
52,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,25,11,939.0,17,1.63,55.9,1,10.0,3,2,1,0,1993,1,0,2,2,13.3,0.3,-3.7,-0.36,188,38.8,91,87.9,58.0,207,52.2,38.7,0.67,13.8,160,4.4,45,0.16218487394957984,45.8499095840868,82.83300198807157,35.0,35.0,56.59808532079275
53,Ederson,br BRA,GK,Manchester City,eng Premier League,24,38,3420.0,23,0.61,76.5,20,52.6,4,4,0,0,1993,2,0,1,5,23.3,0.25,0.3,0.01,239,41.0,189,43.4,42.9,919,17.1,26.8,1.08,16.9,282,6.7,100,0.3146853146853147,92.07052441229658,54.07355864811133,72.77188328912467,47.79707702347329,71.42803157541148
54,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,30,32,2880.0,66,2.06,71.5,5,15.6,6,5,1,0,1987,3,0,1,10,60.8,0.26,-4.2,-0.13,609,49.1,295,58.6,43.3,943,46.2,36.9,1.19,14.6,551,4.4,50,0.17058823529411765,51.925858951175414,65.69184890656064,74.0450928381963,59.18246673893934,66.37302653678199
55,Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,38,3420.0,69,1.82,68.6,10,26.3,7,4,3,0,1990,2,0,1,12,68.2,0.3,-0.8,-0.02,1076,31.3,319,99.4,65.6,876,86.6,53.9,1.21,15.4,536,2.8,100,0.11344537815126052,63.53526220614829,88.83300198807157,70.49071618037135,50.22317583663305,68.96792072556265
56,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,33,38,3420.0,55,1.45,74.2,7,18.4,5,4,1,0,1985,0,0,0,10,62.7,0.31,8.7,0.23,825,37.1,309,91.9,61.3,917,59.0,43.0,0.42,12.1,554,5.2,100,0.7258741258741257,54.96383363471971,86.19681908548709,72.66578249336871,67.51125208019792,48.10421565334229
58,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,29,17,1469.0,26,1.59,71.1,3,18.8,2,2,0,0,1988,0,0,1,4,22.8,0.27,-2.2,-0.14,233,44.2,120,60.8,45.8,394,40.6,36.4,1.29,14.7,198,5.1,50,0.1369747899159664,55.397830018083184,65.35785288270378,44.92042440318302,40.787557188863396,68.09749748068525
59,Aitor Fernández,es ESP,GK,Levante,es La Liga,27,16,1440.0,24,1.5,75.9,2,12.5,4,4,0,0,1991,0,0,0,3,25.8,0.27,2.8,0.17,252,35.3,159,69.8,49.6,293,48.1,39.5,1.0,14.3,224,2.2,80,0.43706293706293703,48.5623869801085,65.83499005964217,39.56233421750663,51.90300308956921,62.779224051058115
63,Ben Foster,eng ENG,GK,Watford,eng Premier League,35,38,3420.0,59,1.55,69.4,7,18.4,5,4,1,0,1983,1,0,2,6,55.5,0.3,-0.5,-0.01,941,36.1,308,91.9,63.2,942,69.9,45.9,1.89,16.9,575,5.4,100,0.10840336134453782,54.96383363471971,87.29423459244535,73.9920424403183,67.41554086914692,83.05970775948941
65,Alberto García,es ESP,GK,Rayo Vallecano,es La Liga,33,17,1530.0,35,2.06,60.9,4,23.5,4,1,3,0,1985,1,0,0,5,32.9,0.34,-1.1,-0.06,259,41.7,138,61.6,46.3,415,41.9,37.2,1.06,15.5,255,2.0,80,0.1184873949579832,60.49728752260398,64.33200795228629,46.03448275862069,48.86316409379414,67.1023681558616
67,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,27,38,3420.0,54,1.42,71.9,7,18.4,6,6,0,0,1990,1,0,2,7,49.9,0.26,-1.1,-0.03,620,42.7,332,78.9,54.6,769,46.6,38.2,0.66,13.4,524,1.7,100,0.1184873949579832,54.96383363471971,79.15904572564615,64.81432360742706,56.16915524068398,55.30063822640243
70,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,23,20,1800.0,21,1.05,74.3,4,20.0,3,3,0,0,1995,1,0,2,1,21.2,0.27,0.2,0.01,257,37.0,137,73.7,53.8,454,34.4,33.2,1.5,17.8,240,1.7,60,0.30979020979020977,56.699819168173605,72.45526838966202,48.10344827586207,44.57663882458425,80.05542492442056
71,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,24,20,1723.0,27,1.41,65.8,6,31.6,1,1,0,0,1993,0,0,0,7,23.0,0.3,-4.0,-0.21,286,39.5,151,53.0,42.9,531,38.8,34.0,0.52,12.1,263,2.7,60,0.16722689075630254,69.28571428571429,56.43538767395627,52.188328912466844,44.05033327379382,49.54022505878401
73,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,31,20,1755.0,23,1.18,74.1,7,35.0,1,1,0,0,1987,2,0,0,2,20.3,0.23,-1.7,-0.09,396,31.1,191,89.5,58.7,398,56.5,41.4,0.51,12.5,317,4.1,100,0.1285714285714286,72.97468354430382,78.56262425447318,45.13262599469496,66.27093240616782,50.55047027208599
75,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,28,33,2925.0,27,0.83,80.3,15,45.5,5,4,0,1,1990,0,0,1,4,37.9,0.3,11.9,0.37,588,40.1,223,83.0,56.2,797,50.6,39.6,1.75,19.5,379,4.2,50,0.8825174825174824,84.36708860759495,80.29224652087476,66.29973474801061,59.325927445525764,88.54929459187102
76,Angus Gunn,eng ENG,GK,Southampton,eng Premier League,22,12,1080.0,18,1.5,64.0,3,25.0,1,0,1,0,1996,0,0,0,2,14.9,0.28,-3.1,-0.26,249,27.7,91,91.2,60.8,215,77.2,48.4,1.0,14.3,166,3.0,100,0.15210084033613447,62.124773960217,78.74155069582505,35.42440318302387,49.43244419056645,62.779224051058115
77,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,31,38,3420.0,52,1.37,72.3,11,28.9,9,6,2,1,1986,4,0,3,7,47.9,0.25,-2.1,-0.06,775,38.2,329,86.9,56.7,826,59.2,42.7,0.47,13.7,571,2.5,45,0.13529411764705884,66.35623869801086,80.80516898608352,67.83819628647214,54.332603532401556,53.43760497144777
79,Samir Handanović,si SVN,GK,Inter,it Serie A,34,38,3420.0,33,0.87,76.4,17,44.7,5,3,0,2,1984,0,0,1,3,33.1,0.24,3.1,0.08,299,46.8,265,41.5,37.1,901,21.0,27.3,0.71,14.5,492,3.3,60,0.45174825174825173,83.499095840868,52.009940357852884,71.81697612732096,73.73927183787808,59.19171985220021
80,Joe Hart,eng ENG,GK,Burnley,eng Premier League,31,19,1710.0,41,2.16,65.5,4,21.1,2,1,1,0,1987,0,0,1,6,36.0,0.3,-4.0,-0.21,500,40.4,181,94.5,65.2,434,75.8,49.2,0.74,13.3,310,1.9,100,0.16722689075630254,57.893309222423156,93.21073558648112,47.04244031830238,44.11750089751365,56.16098421229427
81,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,32,19,1710.0,27,1.42,68.7,4,21.1,1,1,0,0,1986,3,0,1,2,22.0,0.26,-2.0,-0.1,457,39.2,172,89.0,60.7,414,73.4,48.2,1.53,16.4,333,2.4,100,0.13361344537815126,57.893309222423156,86.08946322067595,45.98143236074271,59.29069892881965,76.44776620759154
82,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,31,18,1575.0,26,1.49,66.7,5,29.4,4,3,1,0,1987,0,0,1,4,22.8,0.28,-3.2,-0.18,342,32.5,143,85.3,63.1,373,59.0,43.6,0.86,13.6,300,4.3,100,0.15378151260504203,66.89873417721519,82.26043737574554,43.80636604774536,51.01740911237225,58.74958011420894
83,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,30,31,2790.0,32,1.03,66.7,10,32.3,3,3,0,0,1988,1,0,0,4,29.5,0.31,-2.5,-0.08,723,43.7,209,93.8,64.3,767,68.7,46.9,1.1,17.3,419,4.3,80,0.14201680672268907,70.04520795660036,94.46322067594434,64.70822281167109,71.0615862382417,72.86907961034599
85,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,28,32,2880.0,47,1.47,65.4,9,28.1,4,3,1,0,1989,1,0,2,9,38.2,0.27,-6.8,-0.21,438,45.4,193,52.3,41.6,1160,29.1,31.8,1.59,18.5,401,2.5,50,0.2142857142857143,65.48824593128391,59.16699801192843,85.55702917771883,37.53008660343689,83.36706415854887
89,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,33,31,2745.0,48,1.57,67.8,8,25.8,4,2,1,1,1984,2,0,1,6,45.3,0.3,-0.7,-0.02,755,43.6,279,88.5,57.7,874,58.1,40.8,0.95,14.2,496,6.3,50,0.11176470588235295,62.99276672694394,86.19681908548709,70.38461538461539,67.1174779070158,61.77275780987571
90,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,28,17,1530.0,34,2.0,59.0,4,23.5,4,2,1,1,1990,0,0,1,1,25.1,0.29,-8.9,-0.52,344,43.9,131,90.8,60.4,360,62.5,44.4,0.41,11.8,208,5.3,45,0.2495798319327731,60.49728752260398,89.81113320079524,43.11671087533156,51.26835923890841,47.095230097413506
91,Aleksandar Jovanović,rs SRB,GK,Huesca,es La Liga,25,12,1080.0,19,1.58,63.0,0,0.0,2,2,0,0,1992,1,0,1,1,17.1,0.33,-0.9,-0.08,237,31.2,80,93.8,60.8,252,64.3,44.6,0.33,11.3,140,1.4,80,0.11512605042016807,35.0,82.17693836978131,37.38726790450929,41.16021547401985,44.50411488075244
96,Gregor Kobel,ch SUI,GK,Augsburg,de Bundesliga,20,16,1390.0,42,2.72,55.9,3,18.8,2,1,1,0,1997,0,0,1,5,34.6,0.36,-6.4,-0.42,221,33.5,119,55.5,45.7,407,38.1,33.4,1.04,14.6,216,4.6,50,0.20756302521008405,55.397830018083184,55.70775347912526,45.610079575596814,39.23622913391256,64.21901242861941
97,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,25,33,2925.0,48,1.48,67.4,9,28.1,4,3,1,0,1992,1,0,0,8,39.1,0.27,-7.9,-0.24,445,39.8,254,69.7,50.6,650,41.2,36.1,1.51,17.1,488,3.3,45,0.23277310924369748,65.48824593128391,69.97415506958252,58.50132625994695,65.27965287885246,78.17979509573397
99,Alban Lafont,fr FRA,GK,Fiorentina,it Serie A,19,34,3015.0,40,1.19,72.7,8,23.5,6,5,1,0,1999,2,0,1,5,32.7,0.21,-4.3,-0.13,436,36.2,262,53.1,42.8,750,39.6,36.2,0.87,14.2,522,2.9,60,0.1722689075630252,60.49728752260398,54.01391650099404,63.80636604774536,70.44498108589426,60.62395028552234
100,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,27,37,3330.0,42,1.14,72.7,11,29.7,5,3,1,1,1991,1,0,1,8,41.4,0.27,1.4,0.04,687,45.1,277,63.2,47.8,1003,51.0,39.9,1.05,13.7,495,4.8,45,0.3685314685314685,67.2242314647378,68.76938369781313,77.22811671087533,59.71789774887658,61.76645952300974
101,Bernd Leno,de GER,GK,Arsenal,eng Premier League,26,32,2835.0,42,1.33,75.9,7,22.6,7,7,0,0,1992,0,0,1,3,44.3,0.27,3.3,0.1,385,33.0,227,56.4,45.3,876,29.3,31.5,1.27,15.3,385,2.6,100,0.46153846153846145,59.52079566003617,55.29025844930418,70.49071618037135,61.8663067180003,69.54106483036614
102,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,31,33,2970.0,33,1.0,76.9,12,36.4,5,3,2,0,1986,0,0,1,5,39.2,0.27,9.2,0.28,408,40.2,252,50.0,42.2,956,29.5,32.2,1.09,14.9,454,2.9,100,0.7503496503496503,74.49367088607596,55.194831013916506,74.73474801061008,63.229501760541595,65.8024017467249
103,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,27,34,3060.0,42,1.24,72.4,9,26.5,5,5,0,0,1990,0,0,1,3,35.9,0.24,-3.1,-0.09,306,41.5,250,33.6,37.7,820,27.1,30.4,0.88,15.2,395,3.3,45,0.15210084033613447,63.75226039783003,45.962226640159045,67.51989389920425,63.44660280024263,63.65216661068189
104,Diego López,es ESP,GK,Espanyol,es La Liga,36,38,3420.0,50,1.32,73.7,10,26.3,8,6,2,0,1981,2,0,5,7,51.8,0.27,3.8,0.1,562,40.2,333,64.9,47.6,868,39.9,35.4,0.5,12.3,674,3.6,80,0.48601398601398593,63.53526220614829,65.67992047713719,70.06631299734748,51.24363561122004,49.82994625461875
105,Pau López,es ESP,GK,Betis,es La Liga,23,33,2970.0,47,1.42,67.2,10,30.3,4,3,1,0,1994,3,0,2,7,45.6,0.32,-1.4,-0.04,281,37.7,249,36.9,36.7,995,19.0,26.4,1.39,15.9,406,5.7,80,0.12352941176470589,67.875226039783,43.46918489065607,76.80371352785146,46.61501173399639,72.99504534766542
106,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,29,31,2777.0,54,1.75,64.5,5,16.7,5,4,1,0,1989,1,0,1,6,42.1,0.27,-11.9,-0.39,631,43.6,223,76.7,55.6,880,52.3,40.7,0.94,13.3,345,7.0,100,0.30000000000000004,53.11934900542496,79.97017892644136,70.70291777188329,51.61406558658485,59.0330030231777
108,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,31,15,1310.0,22,1.51,71.8,2,14.3,0,0,0,0,1987,0,0,1,2,20.7,0.27,-0.3,-0.02,209,36.4,128,45.3,38.1,353,42.8,36.9,0.62,13.7,200,1.5,50,0.10504201680672269,50.51537070524413,46.88071570576541,42.745358090185675,44.51053230076521,55.591619079610346
109,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,23,38,3420.0,33,0.87,78.4,15,39.5,10,6,2,2,1995,1,0,1,4,39.0,0.25,6.0,0.16,557,31.8,273,74.7,53.5,840,42.0,36.2,1.16,16.5,497,5.8,45,0.5937062937062936,77.85714285714286,68.80516898608352,68.58090185676393,73.0336404038546,71.42299294591871
110,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,33,31,2736.0,40,1.32,69.9,9,29.0,7,6,1,0,1985,1,1,0,2,35.2,0.26,-4.8,-0.16,417,37.9,192,53.6,43.6,789,39.8,35.7,0.89,14.6,329,5.2,45,0.18067226890756302,66.46473779385173,56.172962226640166,65.87533156498674,68.36013200082765,62.06499832045684
112,Jordi Masip,es ESP,GK,Valladolid,es La Liga,29,35,3150.0,45,1.29,72.0,9,25.7,8,5,3,0,1989,1,0,0,8,47.8,0.29,3.8,0.11,771,31.5,329,89.4,60.3,820,58.2,42.4,0.34,11.2,583,3.1,80,0.48601398601398593,62.884267631103086,80.3399602385686,67.51989389920425,75.21176017020042,44.35925428283507
113,Christian Mathenia,de GER,GK,Nürnberg,de Bundesliga,26,22,1933.0,40,1.86,67.8,2,9.1,2,2,0,0,1992,2,0,1,6,31.5,0.25,-6.5,-0.3,473,35.9,218,71.6,53.5,665,47.7,39.0,0.47,9.6,462,1.9,50,0.2092436974789916,44.87341772151899,70.63021868787277,59.29708222811671,60.24621938947847,41.61068189452469
114,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,28,25,2250.0,44,1.76,64.7,4,16.0,2,2,0,0,1989,1,0,0,4,37.3,0.3,-3.7,-0.15,447,31.1,189,84.1,57.6,478,60.3,42.8,0.68,11.6,375,4.0,100,0.16218487394957984,52.35985533453888,75.58051689860835,49.37665782493369,66.1702340255831,50.39553241518307
115,Edouard Mendy,sn SEN,GK,Reims,fr Ligue 1,26,38,3420.0,42,1.11,76.7,14,36.8,7,7,0,0,1992,3,0,1,3,44.9,0.26,4.9,0.13,654,39.3,291,77.3,53.8,861,49.8,40.7,0.71,13.2,667,4.2,45,0.5398601398601398,74.92766726943943,75.38966202783301,69.6949602122016,92.97605804923859,55.4417198522002
116,Alex Meret,it ITA,GK,Napoli,it Serie A,21,14,1150.0,9,0.7,85.4,5,38.5,2,2,0,0,1997,0,1,0,1,10.0,0.17,1.0,0.07,100,29.0,99,47.5,40.3,252,21.0,28.8,0.63,12.9,190,1.1,60,0.34895104895104895,76.77215189873418,44.47117296222663,37.38726790450929,53.66029063526284,53.42752771246221
118,Antonio Mirante,it ITA,GK,Roma,it Serie A,35,11,990.0,6,0.55,84.2,6,54.5,1,0,1,0,1983,0,0,0,2,10.5,0.26,4.5,0.41,160,45.0,91,76.9,51.3,227,39.6,35.4,0.55,13.3,166,1.2,60,0.5202797202797202,94.13200723327307,76.94035785288273,36.06100795755968,48.097368295396045,53.432566341954995
120,Florian Müller,de GER,GK,Mainz 05,de Bundesliga,20,24,2160.0,43,1.79,67.7,5,20.8,4,3,0,1,1997,0,0,0,6,39.0,0.3,-4.0,-0.17,424,37.0,205,77.1,55.1,629,42.3,37.7,1.04,15.0,356,3.4,50,0.16722689075630254,57.56781193490055,74.91252485089464,57.38726790450929,57.52821199361216,65.37285858246557
121,Juan Musso,ar ARG,GK,Udinese,it Serie A,24,29,2610.0,40,1.38,77.8,7,24.1,8,8,0,0,1994,4,0,0,6,42.4,0.25,3.4,0.12,540,43.9,313,81.5,51.2,559,51.0,38.6,0.34,9.8,593,2.9,60,0.46643356643356637,61.14828209764919,77.7037773359841,53.673740053050395,82.30542522694275,40.320792744373534
124,Neto,br BRA,GK,Valencia,es La Liga,29,34,3060.0,34,1.0,80.6,10,29.4,8,7,1,0,1989,2,0,2,5,39.8,0.24,7.8,0.23,499,32.5,275,82.2,57.4,574,47.6,39.4,0.47,12.5,562,1.8,80,0.6818181818181818,66.89873417721519,75.7117296222664,54.46949602122016,66.45641266882542,49.9760665099093
