,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_17_18,Distribution_Score_17_18,Ball_Quality_Score_17_18,Positioning_Score_17_18,Sweeper_Score_17_18,short_version,short_name,long_name,player_positions,overall,club_name,age,dob,height_cm,weight_kg,league_name,club_position,nationality_name,pace,shooting,passing,skill_long_passing,skill_ball_control,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,birth_year
0,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,14,1260.0,18.0,1.29,67.9,4.0,28.6,2.0,1.0,0.0,1.0,1985.0,0,0,0.0,5.0,14.0,0.25,-4.0,-0.29,216.0,36.1,117.0,76.9,54.9,322.0,39.1,36.3,1.57,15.4,209.0,9.1,50,0.19195402298850578,57.52595155709343,71.92870341854018,40.4049135577798,44.704028820105364,70.04588666200256,R. Adler,R. Adler,René Adler,GK,79,1. FSV Mainz 05,32,1985-01-15,191,87,de Bundesliga,GK,Germany,,,,36,20,23,69,22,66,14,25,7,38,21,49,78,77,70,80,80,41.0,1985
1,Adrián,es ESP,GK,West Ham,eng Premier League,30,19,1710.0,29.0,1.53,70.8,6.0,31.6,1.0,1.0,0.0,0.0,1987.0,2,0,1.0,6.0,27.8,0.29,-0.2,-0.01,445.0,34.6,184.0,90.2,59.3,383.0,72.8,47.7,1.63,16.0,316.0,4.1,100,0.10459770114942529,60.640138408304495,80.20788420080072,43.73521383075523,43.33423380253189,72.73488620930902,Adrián,Adrián,Adrián San Miguel del Castillo,GK,79,West Ham United,30,1987-01-03,190,80,eng Premier League,SUB,Spain,,,,32,23,40,69,38,59,20,38,12,32,44,36,81,76,69,75,84,45.0,1987
2,Alisson,br BRA,GK,Roma,it Serie A,24,37,3330.0,28.0,0.76,81.5,17.0,45.9,5.0,3.0,2.0,0.0,1992.0,1,0,0.0,2.0,35.4,0.23,7.4,0.2,416.0,51.2,252.0,42.5,41.0,1069.0,28.9,32.1,2.43,18.9,469.0,3.6,60,0.7143999999999999,75.48442906574394,56.90175546658453,81.18744313011828,77.42962499117033,91.6504794435985,Alisson,Alisson,Alisson Ramsés Becker,GK,80,Roma,24,1992-10-02,191,91,it Serie A,GK,Brazil,,,,20,21,21,52,32,78,14,27,13,65,23,62,75,76,70,78,86,39.0,1992
3,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,34,3060.0,25.0,0.74,76.5,17.0,50.0,3.0,1.0,1.0,1.0,1993.0,0,0,2.0,5.0,26.2,0.24,2.2,0.07,102.0,51.0,240.0,15.8,29.3,659.0,9.7,22.8,1.47,16.1,404.0,5.4,45,0.4232,79.74048442906575,35.0,58.80345768880801,48.26908501511071,71.21013210420182,A. Areola,A. Areola,Alphonse Areola,GK,79,Paris Saint-Germain,24,1993-02-27,195,94,fr Ligue 1,GK,France,,,,32,22,25,59,28,80,14,26,17,34,25,35,81,77,70,74,83,53.0,1993
4,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,33,13,1125.0,14.0,1.12,72.9,5.0,41.7,1.0,1.0,0.0,0.0,1984.0,0,0,0.0,2.0,13.8,0.28,-0.2,-0.01,152.0,30.3,105.0,78.1,54.1,230.0,30.4,32.4,0.4,10.0,243.0,2.1,80,0.10459770114942529,71.12456747404845,67.07499230058515,35.382165605095544,50.56083321719508,38.533478743981235,M. Barbosa,M. Barbosa,Mariano Damián Barbosa,GK,75,Villarreal CF,32,1984-07-27,188,75,es La Liga,SUB,Argentina,,,,36,17,25,63,31,62,12,37,12,17,24,50,75,70,77,71,78,43.0,1984
5,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,34,3060.0,48.0,1.41,69.4,10.0,29.4,4.0,3.0,1.0,0.0,1990.0,0,0,1.0,9.0,42.6,0.27,-3.4,-0.1,590.0,37.8,261.0,62.5,47.9,1181.0,36.2,33.4,0.82,12.5,480.0,7.7,50,0.1781609195402299,58.35640138408304,60.87234370187865,87.30209281164696,57.93397683471395,51.71056422074982,O. Baumann,O. Baumann,Oliver Baumann,GK,82,TSG Hoffenheim,27,1990-06-02,187,82,de Bundesliga,GK,Germany,,,,25,17,21,73,39,69,13,32,10,41,22,52,82,82,64,81,84,49.0,1990
6,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,38,3420.0,61.0,1.61,65.3,6.0,15.8,3.0,2.0,1.0,0.0,1987.0,2,0,2.0,7.0,54.8,0.31,-5.2,-0.14,647.0,34.5,328.0,81.4,55.5,832.0,45.7,38.9,0.47,10.2,611.0,5.7,100,0.2195402298850575,44.238754325259514,73.01663073606404,68.2484076433121,67.81616491759276,40.01008271945347,A. Begović,A. Begović,Asmir Begović,GK,82,AFC Bournemouth,30,1987-06-20,199,83,eng Premier League,GK,Bosnia and Herzegovina,,,,32,24,28,38,36,80,12,42,11,31,40,62,81,81,73,79,82,55.0,1987
7,Vid Belec,si SVN,GK,Benevento,it Serie A,27,13,1113.0,27.0,2.18,67.6,1.0,7.7,3.0,3.0,0.0,0.0,1990.0,1,1,1.0,1.0,28.9,0.36,3.9,0.32,171.0,31.6,108.0,55.6,43.4,264.0,42.0,37.4,0.73,11.4,209.0,6.2,60,0.5184,35.83044982698962,48.96288882044965,37.23839854413103,43.352294096422135,47.01284003456932,V. Belec,V. Belec,Vid Belec,GK,73,Benevento,27,1990-06-06,192,93,it Serie A,GK,Slovenia,,,,28,21,23,75,20,59,16,25,11,23,23,40,73,74,60,73,74,48.0,1990
8,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,28,2520.0,36.0,1.29,70.8,7.0,25.0,5.0,3.0,2.0,0.0,1993.0,3,0,1.0,0.0,37.1,0.29,3.1,0.11,262.0,38.9,232.0,54.7,43.9,542.0,24.9,29.2,0.14,11.1,445.0,2.9,45,0.4736,53.78892733564014,54.8236834000616,52.415832575068244,70.40726344546881,39.16930737890448,W. Benítez,W. Benítez,Walter Daniel Benítez,GK,71,OGC Nice,24,1993-01-19,191,91,fr Ligue 1,SUB,Argentina,,,,27,14,25,57,42,80,14,19,18,46,25,28,71,69,65,70,74,47.0,1993
9,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,31,2790.0,34.0,1.1,66.7,8.0,25.8,2.0,1.0,1.0,0.0,1989.0,0,0,2.0,2.0,33.3,0.32,-0.7,-0.02,412.0,44.4,233.0,81.5,54.0,609.0,36.5,34.5,0.81,14.1,396.0,4.5,60,0.11609195402298851,54.61937716262976,79.38712657838003,56.073703366696996,53.30469968556761,56.9083089839088,E. Berisha,E. Berisha,Etrit Berisha,GK,78,Atalanta,28,1989-03-10,194,92,it Serie A,GK,Albania,,,,26,17,24,57,39,64,15,30,12,42,22,54,79,76,67,78,81,28.0,1989
