,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_17_18,Distribution_Score_17_18,Ball_Quality_Score_17_18,Positioning_Score_17_18,Sweeper_Score_17_18,short_version,short_name,long_name,player_positions,overall,club_name,age,dob,height_cm,weight_kg,league_name,club_position,nationality_name,pace,shooting,passing,skill_long_passing,skill_ball_control,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,birth_year
10,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,32,2880.0,52.0,1.62,65.0,8.0,25.0,5.0,2.0,2.0,1.0,1977.0,0,1,1.0,9.0,44.5,0.29,-3.5,-0.11,576.0,43.9,300.0,72.0,48.8,791.0,45.5,38.0,0.94,13.1,525.0,4.8,60,0.18045977011494255,53.78892733564014,70.25947028025868,66.01000909918108,61.191817121387714,55.0958887197004,A. Bizzarri,A. Bizzarri,Albano Benjamín Bizzarri,GK,75,Udinese Calcio,39,1977-11-09,193,89,it Serie A,SUB,Argentina,,,,26,23,19,68,31,55,19,40,10,49,20,60,74,76,67,79,72,50.0,1977
11,Yassine Bounou,ma MAR,GK,Girona,es La Liga,26,30,2655.0,46.0,1.56,69.8,9.0,30.0,5.0,4.0,0.0,1.0,1991.0,2,0,2.0,2.0,44.5,0.3,-0.5,-0.02,635.0,35.6,243.0,89.7,60.8,633.0,65.9,46.0,0.98,14.4,411.0,2.2,80,0.11149425287356322,58.97923875432526,82.24052971974129,57.38398544131029,53.51855952928689,59.87756697806494,Y. Bounou,Y. Bounou,Yassine Bounou,GK,71,Girona FC,26,1991-04-05,192,78,es La Liga,SUB,Morocco,,,,44,12,25,48,43,69,19,25,10,37,24,39,68,78,69,71,66,35.0,1991
12,Alberto Brignoli,it ITA,GK,Benevento,it Serie A,25,13,1126.0,31.0,2.48,58.6,1.0,9.1,4.0,2.0,0.0,2.0,1991.0,2,0,0.0,6.0,26.0,0.35,-5.0,-0.4,263.0,33.1,116.0,69.0,51.1,384.0,47.7,39.4,2.16,16.3,204.0,9.8,60,0.21494252873563222,37.28373702422145,62.81336618417001,43.78980891719745,42.40892056334371,79.88209391332977,A. Brignoli,A. Brignoli,Alberto Brignoli,GK,70,Benevento,25,1991-08-19,187,74,it Serie A,SUB,Italy,,,,22,23,45,58,34,42,11,12,11,38,22,21,67,72,75,67,72,32.0,1991
13,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,39,21,1862.0,14.0,0.68,80.4,11.0,52.4,4.0,3.0,1.0,0.0,1978.0,1,0,0.0,2.0,17.5,0.25,5.5,0.26,191.0,44.0,150.0,38.7,36.8,474.0,28.1,31.9,0.92,14.0,242.0,1.2,60,0.608,82.23183391003461,45.712965814598086,48.70336669699727,49.85762722866127,57.852792295979256,G. Buffon,G. Buffon,Gianluigi Buffon,GK,89,Juventus,39,1978-01-28,191,94,it Serie A,GK,Italy,,,,35,28,39,75,39,69,13,38,12,50,22,70,89,88,74,90,84,46.0,1978
14,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,26,33,2969.0,43.0,1.3,72.4,12.0,36.4,3.0,3.0,0.0,0.0,1990.0,4,0,2.0,3.0,45.5,0.3,2.5,0.08,481.0,33.9,237.0,62.4,49.7,1050.0,31.7,32.4,1.15,14.0,404.0,9.9,50,0.44,65.62283737024221,59.502617801047116,80.15013648771611,55.57281295759266,60.522037943948305,R. Bürki,R. Bürki,Roman Bürki,GK,84,Borussia Dortmund,26,1990-11-14,187,85,de Bundesliga,GK,Switzerland,,,,24,23,22,74,36,74,14,35,10,50,20,58,84,82,73,80,85,48.0,1990
15,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,24,35,3150.0,61.0,1.74,72.1,6.0,17.1,5.0,5.0,0.0,0.0,1993.0,0,0,0.0,8.0,61.7,0.29,2.7,0.08,969.0,38.9,338.0,90.2,62.4,934.0,71.1,48.4,1.11,13.7,609.0,4.1,100,0.4512,45.58823529411765,86.5683708038189,73.81710646041856,80.71197840401224,59.061484011687725,J. Butland,J. Butland,Jack Butland,GK,81,Stoke City,24,1993-03-10,196,95,eng Premier League,GK,England,,,,40,26,29,61,35,63,13,32,16,31,42,59,81,83,72,78,85,41.0,1993
16,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,25,34,3060.0,48.0,1.41,72.5,8.0,23.5,9.0,6.0,3.0,0.0,1992.0,1,0,1.0,4.0,50.4,0.28,4.4,0.13,654.0,37.9,288.0,67.0,52.0,1043.0,44.2,38.0,0.88,12.1,522.0,10.9,50,0.5464,52.231833910034595,66.66384354789037,79.76797088262057,75.73905929923771,51.07843944195234,K. Casteels,K. Casteels,Koen Casteels,GK,78,VfL Wolfsburg,25,1992-06-25,197,86,de Bundesliga,GK,Belgium,,,,37,23,21,58,44,72,18,33,15,38,20,50,80,69,74,75,82,45.0,1992
17,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,35,34,3039.0,48.0,1.42,68.1,11.0,32.4,6.0,5.0,1.0,0.0,1982.0,1,0,0.0,6.0,45.9,0.3,-2.1,-0.06,414.0,36.0,225.0,60.4,47.2,809.0,34.4,34.4,1.54,14.4,426.0,7.7,100,0.14827586206896554,61.470588235294116,57.96042500769941,66.99272065514103,66.4648883831837,66.37659986007655,P. Čech,P. Čech,Petr Čech,GK,86,Arsenal,35,1982-05-20,196,90,eng Premier League,GK,Czech Republic,,,,33,22,21,51,32,65,11,17,13,53,23,70,82,87,76,83,81,42.0,1982
18,Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,27,27,2430.0,47.0,1.74,70.5,4.0,14.8,3.0,3.0,0.0,0.0,1990.0,2,0,1.0,4.0,50.8,0.33,4.8,0.18,443.0,35.2,230.0,53.9,47.1,907.0,35.2,34.1,2.11,17.0,376.0,6.1,80,0.5688,43.200692041522494,54.68355404989221,72.34303912647862,55.87563788538016,81.62661014856579,L. Chichizola,L. Chichizola,Leandro Chichizola,GK,73,Unión Deportiva Las Palmas,27,1990-03-27,186,82,es La Liga,GK,Argentina,,,,13,15,17,75,31,52,17,15,14,31,25,43,73,73,62,72,75,52.0,1990
19,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,30,37,3316.0,58.0,1.57,67.4,10.0,27.0,3.0,2.0,1.0,0.0,1987.0,2,0,3.0,7.0,50.5,0.29,-6.5,-0.18,599.0,46.2,296.0,72.3,49.0,813.0,47.4,39.3,0.62,11.9,606.0,3.6,60,0.24942528735632186,55.86505190311419,72.37603942100398,67.21110100090992,57.69407656724597,47.39680645294045,A. Consigli,A. Consigli,Andrea Consigli,GK,82,U.S. Sassuolo Calcio,30,1987-01-27,189,82,it Serie A,GK,Italy,,,,27,23,24,80,31,51,19,11,10,46,21,50,82,83,72,81,84,40.0,1987
20,Alex Cordaz,it ITA,GK,Crotone,it Serie A,34,38,3420.0,66.0,1.74,70.0,5.0,13.2,8.0,6.0,1.0,1.0,1983.0,2,0,3.0,13.0,63.7,0.29,-2.3,-0.06,916.0,34.1,355.0,92.1,58.6,824.0,71.5,47.8,0.84,13.8,691.0,1.2,60,0.15287356321839082,41.53979238754325,79.8875885432707,67.81164695177435,52.77953841248872,56.26013416189967,A. Cordaz,A. Cordaz,Alex Cordaz,GK,72,Crotone,34,1983-01-01,188,83,it Serie A,GK,Italy,,,,17,20,15,32,16,54,15,22,8,34,16,33,68,70,62,72,74,26.0,1983
21,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,30,36,3240.0,45.0,1.25,66.7,10.0,27.8,8.0,4.0,4.0,0.0,1987.0,1,0,4.0,5.0,38.7,0.25,-5.3,-0.15,629.0,37.5,295.0,79.0,54.9,875.0,45.3,38.9,0.94,14.5,475.0,6.3,45,0.22183908045977013,56.695501730103814,73.85278718817369,70.59599636032758,40.63897357966099,59.74546277624594,B. Costil,B. Costil,Benoît Costil,GK,82,FC Girondins de Bordeaux,29,1987-07-03,187,88,fr Ligue 1,GK,France,,,,33,12,22,49,28,65,15,22,12,44,15,53,82,80,78,82,84,51.0,1987
22,Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,25,35,3150.0,34.0,0.97,69.8,15.0,42.9,2.0,2.0,0.0,0.0,1992.0,2,0,0.0,2.0,31.6,0.29,-0.4,-0.01,430.0,35.6,248.0,50.8,45.3,949.0,32.0,33.8,0.69,13.2,446.0,5.8,100,0.10919540229885058,72.37024221453287,52.0480443486295,74.63603275705186,76.23398008022131,52.52664718712704,T. Courtois,T. Courtois,Thibaut Courtois,GK,89,Chelsea,25,1992-05-11,199,94,eng Premier League,GK,Belgium,,,,31,23,36,68,38,70,17,23,13,44,27,52,85,91,69,86,88,49.0,1992
23,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,23,29,2536.0,47.0,1.67,68.5,7.0,24.1,10.0,6.0,2.0,2.0,1994.0,0,0,4.0,1.0,43.7,0.28,-2.3,-0.08,484.0,45.2,255.0,85.5,56.9,548.0,48.5,38.6,0.53,10.6,454.0,5.7,60,0.15287356321839082,52.85467128027682,84.37711733908222,52.74340309372157,46.5619099619894,42.034857401539156,A. Cragno,A. Cragno,Alessio Cragno,GK,72,Cagliari,23,1994-06-28,184,78,it Serie A,GK,Italy,,,,25,21,19,74,43,55,17,33,15,42,31,59,82,62,54,69,80,39.0,1994
24,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,25,36,3240.0,49.0,1.36,63.7,10.0,27.8,4.0,4.0,0.0,0.0,1992.0,1,0,2.0,2.0,44.7,0.34,-1.3,-0.04,888.0,37.6,216.0,95.4,70.1,942.0,72.4,51.4,2.69,19.0,339.0,6.2,80,0.1298850574712644,56.695501730103814,95.0,74.25386715195631,47.88741334972634,95.0,M. Dmitrović,M. Dmitrović,Marko Dmitrović,GK,74,SD Eibar,25,1992-01-24,190,81,es La Liga,GK,Serbia,,,,40,9,40,45,45,79,17,20,9,41,9,40,68,78,77,77,73,37.0,1992
25,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,18,38,3420.0,42.0,1.11,69.7,12.0,31.6,3.0,2.0,0.0,1.0,1999.0,2,0,0.0,4.0,38.9,0.28,-2.1,-0.05,392.0,44.4,267.0,45.3,37.8,968.0,28.0,29.7,1.03,14.1,487.0,3.3,60,0.14827586206896554,60.640138408304495,49.581151832460726,75.67333939945405,74.9348225757492,59.461500473270505,G. Donnarumma,G. Donnarumma,Gianluigi Donnarumma,GK,82,AC Milan,18,1999-02-25,196,90,it Serie A,GK,Italy,,,,24,28,24,72,34,72,18,30,14,50,24,68,88,78,72,78,88,50.0,1999
26,Ederson,br BRA,GK,Manchester City,eng Premier League,23,36,3194.0,26.0,0.73,67.5,16.0,44.4,2.0,0.0,2.0,0.0,1993.0,1,0,1.0,1.0,23.9,0.28,-0.1,0.0,230.0,47.8,160.0,53.1,46.1,935.0,15.5,26.2,2.45,18.8,265.0,7.2,100,0.10229885057471265,73.92733564013841,63.302279026793954,73.87170154686078,50.42100912369394,91.55047532820281,Ederson,Ederson,Ederson Santana de Moraes,GK,83,Manchester City,23,1993-08-17,188,86,eng Premier League,GK,Brazil,,,,30,30,42,58,38,68,18,35,16,60,17,58,81,76,82,78,87,63.0,1993
27,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,16,1440.0,21.0,1.31,68.8,3.0,18.8,2.0,1.0,1.0,0.0,1986.0,0,0,0.0,3.0,18.8,0.27,-1.2,-0.07,371.0,41.5,159.0,82.4,55.8,378.0,63.5,44.1,0.94,13.2,258.0,5.8,100,0.12758620689655173,47.35294117647059,79.19541114875267,43.46223839854413,52.51886689792498,55.428001152310785,R. Elliot,R. Elliot,Rob Elliot,GK,71,Newcastle United,31,1986-04-30,190,98,eng Premier League,GK,Republic of Ireland,,,,31,22,11,52,32,71,12,12,12,35,43,38,70,69,69,70,71,48.0,1986
28,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,38,3420.0,56.0,1.47,72.1,9.0,23.7,6.0,3.0,3.0,0.0,1985.0,0,0,1.0,5.0,59.5,0.28,5.5,0.14,812.0,38.8,358.0,87.7,59.9,914.0,54.5,42.2,0.58,11.4,615.0,6.8,100,0.608,52.43944636678201,83.10209424083769,72.72520473157415,81.53007535304441,45.27202765545907,Ł. Fabiański,Ł. Fabiański,Łukasz Fabiański,GK,80,Swansea City,32,1985-04-18,190,83,eng Premier League,GK,Poland,,,,32,22,14,68,25,65,20,43,15,52,22,63,77,84,70,78,84,48.0,1985
29,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,34,3015.0,37.0,1.1,73.2,12.0,35.3,6.0,3.0,2.0,1.0,1988.0,1,0,1.0,3.0,35.3,0.25,-0.7,-0.02,476.0,39.9,236.0,63.6,47.4,714.0,45.7,38.3,0.54,10.9,456.0,11.6,50,0.11609195402298851,64.48096885813149,62.47228210655989,61.80618744313012,70.81699920389615,43.1472488579777,R. Fährmann,R. Fährmann,Ralf Sebastian Fährmann,GK,84,FC Schalke 04,28,1988-09-27,196,95,de Bundesliga,GK,Germany,,,,26,24,24,72,32,79,9,36,11,42,21,61,83,86,52,85,87,43.0,1988
30,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,20,1800.0,30.0,1.5,69.1,4.0,20.0,1.0,0.0,1.0,0.0,1988.0,0,0,1.0,2.0,25.8,0.26,-4.2,-0.21,343.0,29.4,146.0,87.7,59.1,360.0,59.7,43.4,0.7,14.1,258.0,3.9,100,0.19655172413793107,48.59861591695502,74.94995380351092,42.479526842584164,45.28054547433092,55.63171323922795,F. Forster,F. Forster,Fraser Forster,GK,77,Southampton,29,1988-03-17,201,93,eng Premier League,GK,England,,,,19,33,36,59,29,80,12,43,13,44,22,34,74,78,69,76,80,34.0,1988
31,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,37,3330.0,55.0,1.49,64.2,10.0,27.0,1.0,1.0,0.0,0.0,1983.0,2,0,2.0,7.0,45.7,0.3,-7.3,-0.2,904.0,38.3,338.0,95.6,65.7,811.0,71.6,48.5,0.73,12.8,592.0,6.3,100,0.267816091954023,55.86505190311419,91.39359408684938,67.10191082802547,66.03220497860829,51.66241409111487,B. Foster,B. Foster,Ben Foster,GK,80,West Bromwich Albion,34,1983-04-03,193,90,eng Premier League,GK,England,,,,32,25,27,75,32,57,14,15,14,42,41,67,79,79,73,77,84,49.0,1983
32,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,23,26,2261.0,43.0,1.71,73.6,3.0,12.0,7.0,6.0,1.0,0.0,1993.0,0,0,1.0,5.0,44.8,0.27,3.8,0.15,486.0,33.1,221.0,67.0,48.8,571.0,59.2,44.1,0.8,13.8,415.0,3.1,60,0.5127999999999999,40.294117647058826,59.81444410224822,53.99909008189263,56.20057044564635,55.795917527470266,A. Gomis,A. Gomis,Alfred Benjamin Gomis,GK,73,SPAL,23,1993-09-05,194,80,it Serie A,SUB,Senegal,,,,35,24,26,81,33,57,15,16,16,51,23,57,75,71,66,73,76,42.0,1993
33,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,27,33,2970.0,52.0,1.58,68.0,6.0,18.2,5.0,5.0,0.0,0.0,1990.0,1,0,0.0,8.0,47.1,0.29,-4.9,-0.15,545.0,40.9,206.0,74.3,50.6,895.0,43.8,36.0,1.0,13.9,440.0,8.2,50,0.21264367816091956,46.73010380622837,70.53895903911302,71.68789808917197,64.03514884469485,58.449113132227666,P. Gulácsi,P. Gulácsi,Péter Gulácsi,GK,76,RB Leipzig,27,1990-05-06,190,83,de Bundesliga,GK,Hungary,,,,17,23,19,66,35,68,12,34,11,35,24,43,74,78,75,70,79,40.0,1990
34,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,30,37,3330.0,41.0,1.11,78.4,11.0,29.7,4.0,4.0,0.0,0.0,1986.0,2,0,0.0,3.0,48.9,0.27,7.9,0.21,909.0,36.2,361.0,95.0,58.9,894.0,63.3,43.9,0.68,12.6,634.0,4.9,45,0.7424,58.667820069204154,82.96427471512163,71.63330300272975,95.0,50.41791843285732,R. Gurtner,R. Gurtner,Régis Gurtner,GK,73,Amiens SC,30,1986-12-08,182,82,fr Ligue 1,GK,France,,,,30,28,22,58,38,68,8,35,14,27,24,42,74,75,73,74,74,45.0,1986
35,Joe Hart,eng ENG,GK,West Ham,eng Premier League,30,19,1710.0,39.0,2.05,61.5,4.0,21.1,5.0,4.0,1.0,0.0,1987.0,0,0,0.0,4.0,32.8,0.32,-6.2,-0.33,469.0,37.3,155.0,97.4,67.0,441.0,72.1,49.1,0.58,13.0,284.0,1.4,100,0.24252873563218394,49.740484429065745,92.56621496766246,46.901728844404005,50.43899305270515,50.5858265772254,J. Hart,J. Hart,Charles Joseph John Hart,GK,82,West Ham United,30,1987-04-19,196,91,eng Premier League,GK,England,,,,35,20,65,72,28,61,19,28,14,42,48,68,83,78,75,81,83,60.0,1987
36,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,30,27,2430.0,41.0,1.52,68.5,7.0,25.9,1.0,1.0,0.0,0.0,1987.0,1,0,1.0,7.0,38.2,0.3,-0.8,-0.03,587.0,38.5,227.0,92.1,65.2,554.0,68.2,47.3,0.81,13.4,435.0,7.1,100,0.11839080459770115,54.72318339100346,89.69510317215892,53.070973612374885,56.7473429794903,54.58352195563604,W. Hennessey,W. Hennessey,Wayne Robert Hennessey,GK,74,Crystal Palace,30,1987-01-24,198,90,eng Premier League,GK,Wales,,,,13,12,34,41,29,68,10,21,14,58,17,48,73,76,80,76,71,41.0,1987
37,Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,29,32,2880.0,42.0,1.31,74.2,9.0,28.1,2.0,1.0,1.0,0.0,1987.0,2,0,2.0,11.0,42.0,0.26,0.0,0.0,552.0,47.8,267.0,58.1,44.6,881.0,45.1,37.8,0.53,12.5,440.0,6.6,50,0.0,57.00692041522491,63.821989528795804,70.92356687898089,40.09636293172408,48.34499362113667,M. Hitz,M. Hitz,Marwin Hitz,GK,79,FC Augsburg,29,1987-09-18,192,84,de Bundesliga,GK,Switzerland,,,,25,17,38,67,39,78,12,25,8,15,22,42,82,75,73,79,82,44.0,1987
38,Timo Horn,de GER,GK,Köln,de Bundesliga,24,34,3060.0,70.0,2.06,69.2,5.0,14.7,9.0,8.0,1.0,0.0,1993.0,0,0,0.0,7.0,66.5,0.29,-3.5,-0.1,746.0,40.5,299.0,83.9,57.3,787.0,62.9,44.1,0.91,13.7,592.0,4.2,50,0.18045977011494255,43.09688581314879,80.44271635355713,65.7916287534122,81.010297803937,56.74040083954072,T. Horn,T. Horn,Timo Horn,GK,84,1. FC Köln,24,1993-05-12,192,90,de Bundesliga,GK,Germany,,,,32,22,22,64,31,67,17,41,15,55,21,20,83,81,83,82,86,48.0,1993
39,Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,27,34,3060.0,45.0,1.32,67.7,7.0,20.6,3.0,2.0,0.0,1.0,1989.0,1,0,2.0,7.0,41.3,0.3,-1.7,-0.05,662.0,40.9,241.0,77.2,56.1,1058.0,45.0,37.2,1.74,15.2,483.0,9.5,50,0.13908045977011496,49.221453287197235,76.97105020018478,80.58689717925387,55.63955586186356,71.35458249310672,L. Hrádecký,L. Hrádecký,Lukáš Hrádecký,GK,81,Eintracht Frankfurt,27,1989-11-24,190,80,de Bundesliga,GK,Finland,,,,20,19,14,69,34,55,14,31,9,53,20,48,79,77,73,79,85,41.0,1989
