,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
126,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,32,1986,26,26,2303,25.6,23,0.90,56,34,64.3,19,3,3,10,38.5,3,3,0,0,0.0,Matches,8778c910
127,Will Norris,eng ENG,GK,Wolves,eng Premier League,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,,Matches,c73ada83
128,Alexander Nübel,de GER,GK,Schalke 04,de Bundesliga,21,1996,18,18,1588,17.6,29,1.64,83,53,68.7,4,6,7,4,22.2,4,3,1,0,25.0,Matches,afb0c500
129,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,25,1993,37,37,3330,37.0,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0.0,Matches,ee8508c0
130,Oier Olazábal,es ESP,GK,Levante,es La Liga,28,1989,21,21,1890,21.0,40,1.90,135,95,73.3,7,5,9,5,23.8,5,4,1,0,20.0,Matches,b5bdf144
131,Alexandre Olliero,fr FRA,GK,Nantes,fr Ligue 1,22,1996,1,1,90,1.0,1,1.00,1,0,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,c977ef13
132,Robin Olsen,se SWE,GK,Roma,it Serie A,28,1990,27,27,2430,27.0,42,1.56,126,85,69.8,12,8,7,4,14.8,6,4,0,2,0.0,Matches,e7ee38c3
133,David Ospina,co COL,GK,Napoli,it Serie A,29,1988,17,16,1457,16.2,20,1.24,62,42,69.4,8,4,3,5,31.3,1,1,0,0,0.0,Matches,82b1198a
134,Ramazan Özcan,at AUT,GK,Leverkusen,de Bundesliga,34,1984,2,2,180,2.0,5,2.50,12,7,66.7,0,0,2,0,0.0,2,1,1,0,50.0,Matches,a165a577
135,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,26,1992,35,35,3150,35.0,46,1.31,154,110,74.0,11,11,13,8,22.9,6,6,0,0,0.0,Matches,97852360
136,Rui Patrício,pt POR,GK,Wolves,eng Premier League,30,1988,37,37,3330,37.0,46,1.24,138,96,68.8,14,9,13,7,18.9,4,3,0,1,0.0,Matches,79b0d6a0
137,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,26,1992,34,34,2978,33.1,47,1.42,153,106,71.2,12,11,9,5,14.7,4,3,0,1,0.0,Matches,0a1cb833
138,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,,Matches,f058ed1f
139,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,35,1982,9,7,680,7.6,12,1.59,25,12,68.0,4,2,1,3,42.9,5,4,1,0,20.0,Matches,76806215
140,Mattia Perin,it ITA,GK,Juventus,it Serie A,25,1992,9,9,810,9.0,8,0.89,27,19,74.1,6,1,2,5,55.6,1,1,0,0,0.0,Matches,4c62d0c8
141,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,30,1987,10,8,765,8.5,11,1.29,40,29,72.5,5,1,2,1,12.5,1,0,0,1,,Matches,c89e8aae
142,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,24,1994,38,38,3420,38.0,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60.0,Matches,4806ec67
