,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,,Matches,65d62814
2,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,25.0,43,1.72,99,56,58.6,7,5,13,5,20.0,2,2,0,0,0.0,Matches,8fa8f8d2
3,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,38.0,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,Matches,7a2e46a8
4,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,13.0,17,1.31,72,56,77.8,2,2,9,1,7.7,1,1,0,0,0.0,Matches,8870154f
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,13.0,22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,0.0,Matches,8875b8c9
6,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,,Matches,011d8c56
7,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,21,1890,21.0,17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,0.0,Matches,2f965a72
8,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,36,3240,36.0,39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,0,50.0,Matches,28d596a0
9,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,32,2880,32.0,45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,1,33.3,Matches,9f0ea33f
10,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36,36,3240,36.0,51,1.42,147,96,70.1,14,7,15,11,30.6,8,7,1,0,12.5,Matches,649b01d8
11,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3,3,270,3.0,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,0,,Matches,0acda699
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33,33,2970,33.0,51,1.55,166,116,72.9,12,12,9,5,15.2,6,6,0,0,0.0,Matches,47064058
13,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24,24,2160,24.0,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0.0,Matches,7b4de647
14,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,1983,23,22,2057,22.9,38,1.66,96,57,63.5,4,6,12,4,18.2,5,3,2,0,40.0,Matches,b7e7937d
15,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,25,1993,35,35,3150,35.0,29,0.83,143,112,81.1,15,10,10,16,45.7,5,2,3,0,60.0,Matches,8a2248b4
16,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,29,1989,18,18,1620,18.0,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0.0,Matches,ee833569
17,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,21,1997,38,38,3420,38.0,58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0,Matches,28dabd43
18,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,380a15e2
19,Marcus Bettinelli,eng ENG,GK,Fulham,eng Premier League,26,1992,7,7,630,7.0,20,2.86,40,19,52.5,1,2,4,0,0.0,3,1,1,1,50.0,Matches,0d85a4e8
20,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,23,1995,25,25,2250,25.0,40,1.60,109,69,67.0,7,6,12,6,24.0,5,4,0,1,0.0,Matches,967f34d3
21,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,38,1980,12,12,1080,12.0,18,1.50,56,38,73.2,4,3,5,4,33.3,3,3,0,0,0.0,Matches,34ccf6fa
22,Zacharie Boucher,fr FRA,GK,Angers,fr Ligue 1,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,,Matches,249cdcff
23,Yassine Bounou,ma MAR,GK,Girona,es La Liga,27,1991,32,32,2862,31.8,43,1.35,166,124,77.7,8,9,14,8,25.0,6,6,0,0,0.0,Matches,f6798fc3
24,Fabian Bredlow,de GER,GK,Nürnberg,de Bundesliga,23,1995,14,12,1127,12.5,28,2.24,61,32,54.1,2,3,7,2,16.7,2,0,1,1,100.0,Matches,d28339cb
25,Gianluigi Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17,17,1530,17.0,18,1.06,65,49,73.8,13,1,3,6,35.3,2,1,1,0,50.0,Matches,e40d028b
26,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32,32,2880,32.0,40,1.25,128,88,71.9,21,7,4,10,31.3,4,4,0,0,0.0,Matches,9d12e142
27,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,35,1983,36,36,3239,36.0,48,1.33,161,113,72.0,9,14,12,11,30.6,5,3,2,0,40.0,Matches,26975a92
28,David Button,eng ENG,GK,Brighton,eng Premier League,29,1989,4,4,360,4.0,5,1.25,18,13,83.3,1,1,2,1,25.0,2,2,0,0,0.0,Matches,e608ed4c
29,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,36,1981,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,Matches,a179d516
30,Rafael Cabral,br BRA,GK,Sampdoria,it Serie A,28,1990,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,,Matches,806f7a26
31,Marc-Aurèle Caillard,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21,21,1890,21.0,34,1.62,93,58,64.5,4,7,10,6,28.6,2,1,1,0,50.0,Matches,5ee6e943
32,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,24,1994,3,3,270,3.0,6,2.00,12,6,58.3,0,1,2,0,0.0,1,1,0,0,0.0,Matches,950ff24d
33,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,26,26,2295,25.5,39,1.53,119,79,70.6,11,5,9,8,30.8,5,4,1,0,20.0,Matches,db401046
34,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,36,1982,7,7,585,6.5,9,1.38,37,28,75.7,4,0,2,1,14.3,0,0,0,0,,Matches,71672fa0
35,Leandro Chichizola,ar ARG,GK,Getafe,es La Liga,28,1990,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,Matches,8d957256
36,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,29,1989,3,3,270,3.0,4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,0.0,Matches,04ac8285
37,Joel Coleman,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches,b73e459a
38,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,31,1987,36,36,3213,35.7,56,1.57,155,98,66.5,9,15,11,12,33.3,8,4,3,1,42.9,Matches,8cabdc1e
39,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37,37,3330,37.0,42,1.14,152,109,76.3,9,11,17,9,24.3,7,6,1,0,14.3,Matches,2434f24a
40,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,26,1992,27,27,2430,27.0,36,1.33,104,67,71.2,14,3,10,8,29.6,8,6,1,1,14.3,Matches,1840e36d
41,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38,38,3420,38.0,54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,0,20.0,Matches,f554e29b
42,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,34,1984,34,34,3056,33.9,38,1.12,115,78,68.7,10,11,12,9,26.5,2,2,0,0,0.0,Matches,75751c99
43,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,6,495,5.5,4,0.73,20,16,85.0,3,2,0,2,33.3,1,1,0,0,0.0,Matches,26383ea5
44,Javier Díaz,es ESP,GK,Sevilla,es La Liga,21,1997,1,1,90,1.0,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,17a1299d
45,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21,21,1890,21.0,35,1.67,95,59,69.5,5,4,12,3,14.3,7,6,1,0,14.3,Matches,fc70e345
46,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,26,1992,24,24,2160,24.0,30,1.25,86,55,68.6,9,6,9,5,20.8,4,3,1,0,25.0,Matches,ac295d9e
47,Jaume Doménech,es ESP,GK,Valencia,es La Liga,27,1990,4,4,360,4.0,1,0.25,13,12,92.3,2,2,0,3,75.0,0,0,0,0,,Matches,c9cb972b
48,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,36,36,3092,34.3,31,0.90,126,95,77.8,17,10,7,11,30.6,4,3,1,0,25.0,Matches,08f5afaa
49,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,20,1997,3,2,225,2.5,2,0.80,8,6,75.0,0,1,1,1,50.0,0,0,0,0,,Matches,085e71a7
50,Bartłomiej Drągowski,pl POL,GK,Empoli,it Serie A,20,1997,14,14,1260,14.0,24,1.71,96,71,78.1,5,2,7,3,21.4,4,3,1,0,25.0,Matches,085e71a7
51,Jaroslav Drobný,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,,Matches,e4a30d8c
52,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,38,3420,38.0,48,1.26,140,93,70.0,12,9,17,11,28.9,6,6,0,0,0.0,Matches,3a949a25
53,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,25,1993,11,10,939,10.4,17,1.63,34,16,55.9,5,3,2,1,10.0,3,2,1,0,33.3,Matches,0e12089d
54,Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38,38,3420,38.0,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0.0,Matches,3bb7b8b4
55,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,32,2880,32.0,66,2.06,214,148,71.5,5,6,21,5,15.6,6,5,1,0,16.7,Matches,83e0eeb4
56,Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,38,3420,38.0,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9,Matches,2642bf6c
57,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,33,1985,38,38,3420,38.0,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20.0,Matches,9328b835
58,Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2,2,180,2.0,5,2.50,21,16,76.2,0,0,2,0,0.0,0,0,0,0,,Matches,af245161
59,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,17,16,1469,16.3,26,1.59,83,58,71.1,4,3,9,3,18.8,2,2,0,0,0.0,Matches,1e43fad8
60,Aitor Fernández,es ESP,GK,Levante,es La Liga,27,1991,16,16,1440,16.0,24,1.50,83,60,75.9,4,5,7,2,12.5,4,4,0,0,0.0,Matches,a01c3d54
61,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,31,1986,6,6,540,6.0,7,1.17,23,16,73.9,3,2,1,2,33.3,1,1,0,0,0.0,Matches,307fcd26
62,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches,a92ab7be
63,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,c3e39f12
64,Ben Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38,38,3420,38.0,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20.0,Matches,d0b3ceb9
65,Pierluigi Frattali,it ITA,GK,Parma,it Serie A,32,1985,1,1,90,1.0,2,2.00,8,7,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,71dac2c2
66,Alberto García,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17,17,1530,17.0,35,2.06,87,50,60.9,3,4,10,4,23.5,4,1,3,0,75.0,Matches,17d9e354
67,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,26,1992,3,3,270,3.0,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,,Matches,63d17038
68,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38,38,3420,38.0,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0.0,Matches,7ba6d84e
69,Fabian Giefer,de GER,GK,Augsburg,de Bundesliga,28,1990,4,4,360,4.0,7,1.75,19,12,63.2,1,1,2,0,0.0,0,0,0,0,,Matches,fbefefdb
70,Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,30,1988,8,7,712,7.9,12,1.52,35,23,68.6,2,3,2,3,42.9,1,1,0,0,0.0,Matches,132bb875
71,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,23,1995,20,20,1800,20.0,21,1.05,70,49,74.3,10,6,3,4,20.0,3,3,0,0,0.0,Matches,f0f7f62f
72,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,24,1993,20,19,1723,19.2,27,1.41,76,49,65.8,3,6,10,6,31.6,1,1,0,0,0.0,Matches,cecbce23
73,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,,Matches,4d3e9033
74,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,31,1987,20,20,1755,19.5,23,1.18,85,63,74.1,10,4,5,7,35.0,1,1,0,0,0.0,Matches,ab13a5aa
75,Guido Guerrieri,it ITA,GK,Lazio,it Serie A,22,1996,1,1,90,1.0,3,3.00,4,1,25.0,0,1,0,0,0.0,0,0,0,0,,Matches,77e401c7
76,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,28,1990,33,33,2925,32.5,27,0.83,117,91,80.3,18,9,5,15,45.5,5,4,0,1,0.0,Matches,bcb2ccd8
77,Angus Gunn,eng ENG,GK,Southampton,eng Premier League,22,1996,12,12,1080,12.0,18,1.50,50,31,64.0,4,4,4,3,25.0,1,0,1,0,100.0,Matches,e082af5b
78,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,31,1986,38,38,3420,38.0,52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,25.0,Matches,bc270726
79,Ben Hamer,eng ENG,GK,Huddersfield,eng Premier League,30,1987,7,7,553,6.1,21,3.42,42,22,57.1,0,0,6,0,0.0,3,3,0,0,0.0,Matches,d822a850
80,Samir Handanović,si SVN,GK,Inter,it Serie A,34,1984,38,38,3420,38.0,33,0.87,127,97,76.4,20,9,9,17,44.7,5,3,0,2,0.0,Matches,74419746
81,Joe Hart,eng ENG,GK,Burnley,eng Premier League,31,1987,19,19,1710,19.0,41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,0,50.0,Matches,cb4f24c6
82,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,32,1986,19,19,1710,19.0,27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,0.0,Matches,a6de6361
83,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,31,1987,18,17,1575,17.5,26,1.49,69,42,66.7,4,3,10,5,29.4,4,3,1,0,25.0,Matches,76eca7e2
84,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,30,1988,31,31,2790,31.0,32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,0.0,Matches,9109185e
85,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,30,1987,2,2,180,2.0,4,2.00,6,2,33.3,2,0,0,0,0.0,1,0,0,1,,Matches,2e7ff968
86,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,28,1989,32,32,2880,32.0,47,1.47,127,81,65.4,18,4,10,9,28.1,4,3,1,0,25.0,Matches,ad3389d5
87,Salvador Ichazo,uy URU,GK,Torino,it Serie A,26,1992,3,2,250,2.8,2,0.72,9,7,88.9,1,1,0,1,50.0,1,1,0,0,0.0,Matches,514f0896
88,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,37,1981,7,6,558,6.2,10,1.61,39,30,79.5,1,0,5,1,16.7,2,2,0,0,0.0,Matches,26f2473f
89,Jandrei,br BRA,GK,Genoa,it Serie A,25,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,85ea4399
90,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,33,1984,31,31,2745,30.5,48,1.57,143,96,67.8,9,10,11,8,25.8,4,2,1,1,33.3,Matches,27d2618c
91,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,28,1990,17,17,1530,17.0,34,2.00,78,43,59.0,1,5,11,4,23.5,4,2,1,1,33.3,Matches,a56bd2ee
92,Aleksandar Jovanović,rs SRB,GK,Huesca,es La Liga,25,1992,12,12,1080,12.0,19,1.58,46,28,63.0,1,4,7,0,0.0,2,2,0,0,0.0,Matches,129dd8e7
93,Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,24,1994,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches,62ba5881
94,Orestis Karnezis,gr GRE,GK,Napoli,it Serie A,33,1985,9,9,810,9.0,7,0.78,27,20,77.8,6,2,1,4,44.4,1,1,0,0,0.0,Matches,85b011bb
95,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,a4527d33
96,Gregor Kobel,ch SUI,GK,Hoffenheim,de Bundesliga,20,1997,1,1,90,1.0,1,1.00,7,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches,cd59b9df
97,Gregor Kobel,ch SUI,GK,Augsburg,de Bundesliga,20,1997,16,16,1390,15.4,42,2.72,93,51,55.9,3,2,10,3,18.8,2,1,1,0,50.0,Matches,cd59b9df
98,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,25,1992,33,32,2925,32.5,48,1.48,138,90,67.4,10,11,11,9,28.1,4,3,1,0,25.0,Matches,dc366c36
99,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,30,1988,4,3,315,3.5,9,2.57,16,7,56.3,2,0,1,1,33.3,2,2,0,0,0.0,Matches,bb25c778
100,Alban Lafont,fr FRA,GK,Fiorentina,it Serie A,19,1999,34,34,3015,33.5,40,1.19,128,90,72.7,7,15,11,8,23.5,6,5,1,0,16.7,Matches,4e7db402
101,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,27,1991,37,37,3330,37.0,42,1.14,143,102,72.7,15,13,9,11,29.7,5,3,1,1,25.0,Matches,2fa2a875
102,Bernd Leno,de GER,GK,Arsenal,eng Premier League,26,1992,32,31,2835,31.5,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0.0,Matches,2628fd2b
103,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,31,1986,33,33,2970,33.0,33,1.00,130,98,76.9,21,2,10,12,36.4,5,3,2,0,40.0,Matches,8f62b6ee
104,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,27,1990,34,34,3060,34.0,42,1.24,134,95,72.4,18,9,7,9,26.5,5,5,0,0,0.0,Matches,f00de885
105,Diego López,es ESP,GK,Espanyol,es La Liga,36,1981,38,38,3420,38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0,Matches,73683fa9
106,Pau López,es ESP,GK,Betis,es La Liga,23,1994,33,33,2970,33.0,47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,0,25.0,Matches,20b9f052
107,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,29,1989,31,30,2777,30.9,54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,0,20.0,Matches,939bc634
108,Andriy Lunin,ua UKR,GK,Leganés,es La Liga,19,1999,5,4,364,4.1,5,1.24,19,13,78.9,1,0,3,2,50.0,2,1,1,0,50.0,Matches,3061e1ec
109,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,31,1987,15,14,1310,14.6,22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,0,,Matches,7fe12375
110,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,38,38,3420,38.0,33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25.0,Matches,fcb38f57
111,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,33,1985,31,31,2736,30.4,40,1.32,113,72,69.9,14,5,10,9,29.0,7,6,1,0,14.3,Matches,1d2d5cc8
112,Federico Marchetti,it ITA,GK,Genoa,it Serie A,35,1983,4,4,360,4.0,10,2.50,18,9,44.4,2,0,2,1,25.0,0,0,0,0,,Matches,f794b426
113,Jordi Masip,es ESP,GK,Valladolid,es La Liga,29,1989,35,35,3150,35.0,45,1.29,143,96,72.0,10,9,16,9,25.7,8,5,3,0,37.5,Matches,8fae77ea
114,Christian Mathenia,de GER,GK,Nürnberg,de Bundesliga,26,1992,22,22,1933,21.5,40,1.86,118,80,67.8,1,7,13,2,9.1,2,2,0,0,0.0,Matches,4a15e95b
115,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,28,1989,25,25,2250,25.0,44,1.76,119,78,64.7,5,8,12,4,16.0,2,2,0,0,0.0,Matches,36c2ca73
116,Edouard Mendy,sn SEN,GK,Reims,fr Ligue 1,26,1992,38,38,3420,38.0,42,1.11,150,110,76.7,13,16,9,14,36.8,7,7,0,0,0.0,Matches,33887998
117,Alex Meret,it ITA,GK,Napoli,it Serie A,21,1997,14,13,1150,12.8,9,0.70,48,39,85.4,9,1,2,5,38.5,2,2,0,0,0.0,Matches,9413b19f
118,Vanja Milinković-Savić,rs SRB,GK,SPAL,it Serie A,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,9fa26bc2
119,Antonio Mirante,it ITA,GK,Roma,it Serie A,35,1983,11,11,990,11.0,6,0.55,38,31,84.2,6,4,1,6,54.5,1,0,1,0,100.0,Matches,30223b33
120,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,32,1986,1,1,90,1.0,1,1.00,5,5,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,28a65a2c
121,Florian Müller,de GER,GK,Mainz 05,de Bundesliga,20,1997,24,24,2160,24.0,43,1.79,124,81,67.7,8,3,13,5,20.8,4,3,0,1,0.0,Matches,cbac6ec9
122,Juan Musso,ar ARG,GK,Udinese,it Serie A,24,1994,29,29,2610,29.0,40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,0.0,Matches,a111cf41
123,Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,24,1994,2,1,135,1.5,2,1.33,4,2,75.0,0,0,1,1,100.0,1,1,0,0,0.0,Matches,dc29b608
124,Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,31,1986,10,10,900,10.0,8,0.80,31,23,74.2,6,2,2,4,40.0,0,0,0,0,,Matches,ecada4fc
125,Neto,br BRA,GK,Valencia,es La Liga,29,1989,34,34,3060,34.0,34,1.00,139,106,80.6,13,14,7,10,29.4,8,7,1,0,12.5,Matches,a9dc785c
