,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
249,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,17,2003,29,19,1697,18.9,1,3,1,0,0,6,1,0.05,0.16,0.21,0.05,0.21,2.5,2.5,3.2,5.8,0.13,0.17,0.31,0.13,0.31,Matches,57d88cf9
250,Andrea Belotti,it ITA,FW,Torino,it Serie A,26,1993,35,33,2888,32.1,13,6,9,4,5,4,0,0.41,0.19,0.59,0.28,0.47,13.7,9.8,7.0,16.8,0.43,0.22,0.65,0.30,0.52,Matches,d705ba44
251,Fran Beltrán,es ESP,MFFW,Celta Vigo,es La Liga,21,1999,32,13,1399,15.5,3,0,3,0,0,3,0,0.19,0.00,0.19,0.19,0.19,1.2,1.2,0.3,1.4,0.08,0.02,0.09,0.08,0.09,Matches,ed5c5fa3
252,Sami Ben Amar,ma MAR,MF,Nîmes,fr Ligue 1,22,1998,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c05d65d1
253,Hatem Ben Arfa,fr FRA,MFFW,Bordeaux,fr Ligue 1,33,1987,24,19,1703,18.9,2,4,2,0,0,2,0,0.11,0.21,0.32,0.11,0.32,2.3,2.3,3.8,6.1,0.12,0.20,0.32,0.12,0.32,Matches,74dc806c
254,Salim Ben Seghir,fr FRA,DF,Nice,fr Ligue 1,17,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1f6298f2
255,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,29,1990,37,32,2607,29.0,20,7,10,10,12,3,0,0.69,0.24,0.93,0.35,0.59,19.6,10.2,6.7,16.9,0.68,0.23,0.91,0.35,0.58,Matches,942b4f90
256,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,28,1992,18,15,1214,13.5,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,1.2,1.8,0.04,0.09,0.13,0.04,0.13,Matches,a128b07e
257,Samy Benchamma,fr FRA,DFMF,Montpellier,fr Ligue 1,20,2000,5,0,42,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,90c99c5c
258,Lars Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,14,12,936,10.4,1,2,0,1,1,2,0,0.10,0.19,0.29,0.00,0.19,1.7,0.9,0.6,1.5,0.16,0.06,0.22,0.08,0.14,Matches,c50281a0
259,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,18,14,1170,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.01,0.02,0.03,0.01,0.03,Matches,070ec0b1
260,Darío Benedetto,ar ARG,FW,Marseille,fr Ligue 1,30,1990,32,19,1579,17.5,5,3,4,1,1,3,2,0.28,0.17,0.46,0.23,0.40,7.6,6.8,1.8,8.6,0.43,0.10,0.53,0.39,0.49,Matches,bef0a7ac
