,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
587,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,30,1989,36,36,3170,35.2,0,8,0,0,0,3,0,0.00,0.23,0.23,0.00,0.23,1.0,1.0,6.5,7.5,0.03,0.18,0.21,0.03,0.21,Matches,4f974391
588,Domenico Criscito,it ITA,DF,Genoa,it Serie A,33,1986,23,20,1726,19.2,1,0,0,1,1,6,0,0.05,0.00,0.05,0.00,0.00,0.9,0.1,0.4,0.6,0.05,0.02,0.07,0.01,0.03,Matches,35dd6d80
589,Bryan Cristante,it ITA,DFMF,Roma,it Serie A,25,1995,34,22,2155,23.9,1,3,1,0,0,8,0,0.04,0.13,0.17,0.04,0.17,2.4,2.4,1.3,3.6,0.10,0.05,0.15,0.10,0.15,Matches,16657b95
590,Giovanni Crociata,it ITA,DF,Crotone,it Serie A,22,1997,2,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.46,0.46,0.00,0.46,Matches,8c964914
591,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,28,1992,26,23,1962,21.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Matches,a56da3ba
592,Juan Cuadrado,co COL,DFMF,Juventus,it Serie A,32,1988,30,26,2175,24.2,2,10,1,1,1,9,1,0.08,0.41,0.50,0.04,0.46,2.3,1.5,8.2,9.7,0.10,0.34,0.43,0.06,0.40,Matches,0ab1f153
593,Andrés Cubas,py PAR,MF,Nîmes,fr Ligue 1,24,1996,27,27,2242,24.9,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.4,0.4,0.6,1.0,0.02,0.02,0.04,0.02,0.04,Matches,9b40a6ea
594,Sergio Cubero Ezcurra,es ESP,MF,Eibar,es La Liga,20,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d858d079
595,Cucho,co COL,FWMF,Getafe,es La Liga,21,1999,23,18,1466,16.3,2,3,2,0,0,5,0,0.12,0.18,0.31,0.12,0.31,2.7,2.7,1.3,4.0,0.17,0.08,0.25,0.17,0.25,Matches,71b47ab9
596,Marc Cucurella,es ESP,MF,Getafe,es La Liga,22,1998,37,37,3244,36.0,3,2,3,0,0,8,0,0.08,0.06,0.14,0.08,0.14,1.9,1.8,3.6,5.4,0.05,0.10,0.15,0.05,0.15,Matches,1daec722
597,Mickaël Cuisance,fr FRA,MF,Marseille,fr Ligue 1,20,1999,23,11,1024,11.4,2,1,2,0,0,3,0,0.18,0.09,0.26,0.18,0.26,0.8,0.8,0.5,1.3,0.07,0.05,0.12,0.07,0.12,Matches,5722eced
598,Mickaël Cuisance,fr FRA,FW,Bayern Munich,de Bundesliga,20,1999,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5722eced
599,Matheus Cunha,br BRA,FWMF,Hertha BSC,de Bundesliga,21,1999,27,25,2149,23.9,7,4,5,2,3,9,0,0.29,0.17,0.46,0.21,0.38,8.4,6.1,4.5,10.6,0.35,0.19,0.54,0.25,0.44,Matches,dc62b55d
600,Giuseppe Cuomo,it ITA,DF,Crotone,it Serie A,22,1998,13,8,801,8.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,ae5b04fe
601,Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,22,1998,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.30,0.00,0.30,0.30,0.30,Matches,a4fe8cda
602,Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,22,1998,11,0,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,Matches,a4fe8cda
603,Patrick Cutrone,it ITA,FW,Valencia,es La Liga,22,1998,7,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.36,0.24,0.61,0.36,0.61,Matches,a4fe8cda
604,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,25,1995,13,2,410,4.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.06,0.05,0.10,0.06,0.10,Matches,3e092724
605,Rafael Czichos,de GER,DF,Köln,de Bundesliga,30,1990,28,26,2259,25.1,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,1.8,1.8,0.1,1.9,0.07,0.01,0.08,0.07,0.08,Matches,b0a0698b
606,Lennart-Marten Czyborra,de GER,DF,Genoa,it Serie A,21,1999,17,15,1173,13.0,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches,7ba1f1ef
607,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,31,1988,19,7,699,7.8,3,0,3,0,0,2,0,0.39,0.00,0.39,0.39,0.39,1.3,1.3,0.2,1.5,0.16,0.03,0.19,0.16,0.19,Matches,44eb9093
608,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,32,1988,30,30,2661,29.6,4,0,4,0,0,7,1,0.14,0.00,0.14,0.14,0.14,2.1,2.1,0.3,2.3,0.07,0.01,0.08,0.07,0.08,Matches,1ec7e1c5
609,Moanes Dabbur,il ISR,FWMF,Hoffenheim,de Bundesliga,28,1992,22,11,999,11.1,4,0,4,0,1,2,0,0.36,0.00,0.36,0.36,0.36,5.3,4.5,0.6,5.1,0.48,0.05,0.53,0.41,0.46,Matches,eac044ad
610,Bryan Dabo,bf BFA,MF,Benevento,it Serie A,28,1992,25,12,1117,12.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.1,0.06,0.03,0.09,0.06,0.09,Matches,c53083ad
611,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,21,1998,25,15,1357,15.1,1,2,1,0,0,3,0,0.07,0.13,0.20,0.07,0.20,0.7,0.7,1.0,1.7,0.05,0.07,0.11,0.05,0.11,Matches,29c02c9f
612,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,22,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dee3013b
613,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,24,1996,21,15,1258,14.0,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,0.6,0.6,1.4,2.0,0.04,0.10,0.14,0.04,0.14,Matches,db4ed67b
614,Leon Dajaku,de GER,FW,Union Berlin,de Bundesliga,19,2001,2,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,aeaf1bc1
615,Stuart Dallas,nir NIR,MFDF,Leeds United,eng Premier League,29,1991,38,38,3409,37.9,8,2,8,0,0,7,0,0.21,0.05,0.26,0.21,0.26,4.2,4.2,1.8,6.1,0.11,0.05,0.16,0.11,0.16,Matches,67ca8566
616,Diogo Dalot,pt POR,DF,Milan,it Serie A,21,1999,21,10,1090,12.1,1,1,1,0,0,5,0,0.08,0.08,0.17,0.08,0.17,0.4,0.4,0.9,1.3,0.03,0.08,0.11,0.03,0.11,Matches,d9565625
617,Mikkel Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,20,2000,35,18,1773,19.7,2,4,2,0,0,3,0,0.10,0.20,0.30,0.10,0.30,2.9,2.9,2.4,5.3,0.15,0.12,0.27,0.15,0.27,Matches,215f3907
618,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,19,2001,23,15,1477,16.4,1,0,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.4,1.0,0.04,0.02,0.06,0.04,0.06,Matches,7ef972c3
619,Danilo,br BRA,DFMF,Juventus,it Serie A,29,1991,34,32,2916,32.4,1,4,1,0,0,6,0,0.03,0.12,0.15,0.03,0.15,1.9,1.9,3.2,5.1,0.06,0.10,0.16,0.06,0.16,Matches,94b2001f
620,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,33,1987,15,15,1350,15.0,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches,52105203
621,Tiago Dantas,pt POR,MF,Bayern Munich,de Bundesliga,19,2000,2,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.15,0.15,0.00,0.15,Matches,234204f4
622,Dante,br BRA,DF,Nice,fr Ligue 1,36,1983,9,9,774,8.6,2,1,2,0,0,2,0,0.23,0.12,0.35,0.23,0.35,0.9,0.9,0.2,1.0,0.10,0.02,0.12,0.10,0.12,Matches,fd2bc67d
623,Andrea Danzi,it ITA,MFDF,Hellas Verona,it Serie A,21,1999,2,1,104,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.06,0.09,0.03,0.09,Matches,263b855a
624,Ebrima Darboe,gm GAM,MF,Roma,it Serie A,19,2001,5,4,323,3.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,cf043a33
625,Márton Dárdai,de GER,DFMF,Hertha BSC,de Bundesliga,18,2002,12,9,821,9.1,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches,41bff4fa
626,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,29,1990,27,24,1903,21.1,1,6,1,0,0,5,1,0.05,0.28,0.33,0.05,0.33,1.7,1.7,5.2,6.9,0.08,0.25,0.33,0.08,0.33,Matches,3eb0f2df
627,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,29,1990,25,25,2250,25.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cde3309f
628,Matteo Darmian,it ITA,DF,Inter,it Serie A,30,1989,26,14,1160,12.9,3,3,3,0,0,4,0,0.23,0.23,0.47,0.23,0.47,1.5,1.5,0.9,2.4,0.12,0.07,0.19,0.12,0.19,Matches,96e0490d
629,Matteo Darmian,it ITA,DF,Parma,it Serie A,30,1989,3,2,208,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,96e0490d
630,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,20,2000,37,29,2354,26.2,13,2,13,0,0,0,0,0.50,0.08,0.57,0.50,0.57,9.1,9.1,2.6,11.7,0.35,0.10,0.45,0.35,0.45,Matches,ce50fd99
631,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,19,2000,23,22,1763,19.6,1,2,1,0,0,2,1,0.05,0.10,0.15,0.05,0.15,0.2,0.2,1.9,2.1,0.01,0.10,0.11,0.01,0.11,Matches,d781d855
632,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,27,1993,20,14,1346,15.0,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.6,0.8,0.01,0.04,0.05,0.01,0.05,Matches,44781702
633,Tom Davies,eng ENG,MF,Everton,eng Premier League,22,1998,25,17,1423,15.8,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches,9228b07c
634,Keinan Davis,eng ENG,FWMF,Aston Villa,eng Premier League,22,1998,15,1,277,3.1,1,1,1,0,0,0,0,0.32,0.32,0.65,0.32,0.65,1.5,1.5,0.6,2.1,0.47,0.19,0.67,0.47,0.67,Matches,9deaf2c8
635,Leif Davis,eng ENG,DF,Leeds United,eng Premier League,20,2000,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8574c61f
636,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25,1995,30,22,1860,20.7,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,1.9,1.9,1.0,2.9,0.09,0.05,0.14,0.09,0.14,Matches,16bb656a
637,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,30,1990,22,22,1925,21.4,3,0,3,0,0,5,1,0.14,0.00,0.14,0.14,0.14,1.9,1.9,0.1,1.9,0.09,0.00,0.09,0.09,0.09,Matches,3e9e06cb
638,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,29,1991,25,23,1997,22.2,6,12,4,2,3,1,0,0.27,0.54,0.81,0.18,0.72,9.3,6.9,8.0,14.9,0.42,0.36,0.78,0.31,0.67,Matches,e46012d4
639,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,33,1987,15,9,853,9.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.04,0.00,0.04,0.04,0.04,Matches,952a03fe
640,Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,26,1994,36,36,3201,35.6,9,9,6,3,3,5,2,0.25,0.25,0.51,0.17,0.42,6.2,3.8,11.2,15.1,0.17,0.32,0.49,0.11,0.42,Matches,162efffd
641,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,27,1992,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12,Matches,ae4e2852
642,Mattia De Sciglio,it ITA,DF,Lyon,fr Ligue 1,27,1992,29,14,1467,16.3,0,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,0.1,0.1,1.0,1.1,0.01,0.06,0.07,0.01,0.07,Matches,ae4e2852
643,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,32,1988,29,25,2143,23.8,2,0,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,2.1,2.1,0.7,2.8,0.09,0.03,0.12,0.09,0.12,Matches,e74f0e59
644,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,22,1998,8,6,496,5.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.03,0.03,0.00,0.03,Matches,5fdcb075
645,Lucas Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,31,1988,25,19,1754,19.5,1,2,1,0,0,4,1,0.05,0.10,0.15,0.05,0.15,1.2,1.2,1.5,2.7,0.06,0.08,0.14,0.06,0.14,Matches,44f8c299
646,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35,1985,26,25,2103,23.4,2,1,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13,2.7,2.7,1.5,4.2,0.12,0.07,0.18,0.12,0.18,Matches,92232aad
647,Grégoire Defrel,mq MTQ,MFFW,Sassuolo,it Serie A,29,1991,28,14,1336,14.8,3,3,3,0,0,1,0,0.20,0.20,0.40,0.20,0.40,2.1,2.1,1.0,3.2,0.14,0.07,0.21,0.14,0.21,Matches,854ee61a
648,Alessandro Deiola,it ITA,MF,Spezia,it Serie A,24,1995,12,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.6,0.06,0.08,0.14,0.06,0.14,Matches,7f267d66
649,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,24,1995,12,7,615,6.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.03,0.12,0.15,0.03,0.15,Matches,7f267d66
650,Romain Del Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,24,1996,26,5,652,7.2,0,5,0,0,0,2,0,0.00,0.69,0.69,0.00,0.69,1.1,1.1,2.7,3.8,0.15,0.38,0.53,0.15,0.53,Matches,0be95d34
651,Lorenzo Del Pinto,it ITA,MF,Benevento,it Serie A,30,1990,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,081b6080
652,Thomas Delaine,fr FRA,DFFW,Metz,fr Ligue 1,28,1992,24,19,1779,19.8,3,2,3,0,0,4,0,0.15,0.10,0.25,0.15,0.25,1.7,1.7,1.1,2.8,0.09,0.06,0.14,0.09,0.14,Matches,8332db56
653,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,28,1991,20,14,1286,14.3,1,1,1,0,0,6,0,0.07,0.07,0.14,0.07,0.14,0.6,0.6,0.2,0.7,0.04,0.01,0.05,0.04,0.05,Matches,fe641c1a
654,Liam Delap,eng ENG,FW,Manchester City,eng Premier League,17,2003,1,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches,dd897ee7
655,Jonathan Delaplace,fr FRA,DF,Lorient,fr Ligue 1,34,1986,18,9,906,10.1,0,1,0,0,0,1,1,0.00,0.10,0.10,0.00,0.10,0.2,0.2,1.8,2.0,0.02,0.18,0.20,0.02,0.20,Matches,79685569
656,Sacha Delaye,fr FRA,MF,Montpellier,fr Ligue 1,18,2002,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e4448c8c
657,Cristian Dell'Orco,it ITA,DF,Spezia,it Serie A,26,1994,8,2,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,b0243215
658,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,28,1991,30,30,2482,27.6,15,9,15,0,1,4,0,0.54,0.33,0.87,0.54,0.87,12.8,12.0,6.3,18.3,0.46,0.23,0.69,0.43,0.66,Matches,d33c706e
659,Fabian Delph,eng ENG,MFDF,Everton,eng Premier League,30,1989,8,2,266,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches,111c3236
660,Moussa Dembélé,fr FRA,FW,Atlético Madrid,es La Liga,24,1996,5,0,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.92,0.02,0.94,0.92,0.94,Matches,e7986081
661,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,24,1996,16,6,677,7.5,1,0,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,5.3,5.3,1.0,6.3,0.70,0.13,0.83,0.70,0.83,Matches,e7986081
662,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,23,1997,30,19,1774,19.7,6,3,6,0,0,2,0,0.30,0.15,0.46,0.30,0.46,5.6,5.6,4.2,9.8,0.28,0.21,0.50,0.28,0.50,Matches,b19db005
663,Merih Demiral,tr TUR,DF,Juventus,it Serie A,22,1998,15,10,940,10.4,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.5,1.0,0.04,0.05,0.10,0.04,0.10,Matches,e3cceee6
664,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,27,1993,29,20,1744,19.4,4,3,4,0,0,2,0,0.21,0.15,0.36,0.21,0.36,3.5,3.5,3.7,7.1,0.18,0.19,0.37,0.18,0.37,Matches,54b4dc4e
665,Ermedin Demirović,ba BIH,FW,Freiburg,de Bundesliga,22,1998,30,19,1498,16.6,5,6,5,0,0,7,0,0.30,0.36,0.66,0.30,0.66,4.9,4.9,4.3,9.3,0.30,0.26,0.56,0.30,0.56,Matches,ed79b7d3
666,Diego Demme,de GER,MF,Napoli,it Serie A,28,1991,24,20,1590,17.7,2,3,2,0,0,6,0,0.11,0.17,0.28,0.11,0.28,1.2,1.2,1.9,3.1,0.07,0.11,0.17,0.07,0.17,Matches,dc3fa3b5
667,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,25,1995,31,31,2614,29.0,1,0,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,0.5,0.5,0.0,0.5,0.02,0.00,0.02,0.02,0.02,Matches,47af88b8
668,Leander Dendoncker,be BEL,MFDF,Wolves,eng Premier League,25,1995,33,28,2503,27.8,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,3.1,3.1,0.7,3.9,0.11,0.03,0.14,0.11,0.14,Matches,5a7301ae
669,Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,19,2000,10,6,524,5.8,1,1,1,0,0,3,0,0.17,0.17,0.34,0.17,0.34,2.1,2.1,0.6,2.7,0.36,0.10,0.46,0.36,0.46,Matches,0d3585b5
670,Emmanuel Dennis,ng NGA,FW,Köln,de Bundesliga,22,1997,9,6,474,5.3,0,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,0.6,0.6,0.2,0.8,0.12,0.03,0.15,0.12,0.15,Matches,2c44a35d
671,Stefano Denswil,nl NED,DF,Bologna,it Serie A,27,1993,5,1,115,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5832ebfe
672,Fabio Depaoli,it ITA,DF,Benevento,it Serie A,23,1997,15,14,1120,12.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.03,0.03,0.06,0.03,0.06,Matches,d97f2e8d
673,Fabio Depaoli,it ITA,MF,Sampdoria,it Serie A,23,1997,2,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.12,0.07,0.19,0.12,0.19,Matches,d97f2e8d
674,Fabio Depaoli,it ITA,DF,Atalanta,it Serie A,23,1997,5,3,191,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.07,0.07,0.00,0.07,Matches,d97f2e8d
675,Clément Depres,fr FRA,FW,Nîmes,fr Ligue 1,25,1994,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e53ab10b
676,Mike van der Hoorn,nl NED,DF,Arminia,de Bundesliga,27,1992,22,15,1356,15.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches,25f50295
677,Kastriot Dermaku,al ALB,DF,Parma,it Serie A,28,1992,2,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2990c466
678,Kiril Despodov,bg BUL,FW,Cagliari,it Serie A,23,1996,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,13c8e5f6
679,Sergiño Dest,us USA,DFFW,Barcelona,es La Liga,19,2000,30,23,1909,21.2,2,1,2,0,0,1,0,0.09,0.05,0.14,0.09,0.14,1.7,1.7,2.1,3.8,0.08,0.10,0.18,0.08,0.18,Matches,5976f83e
680,Mattia Destro,it ITA,FW,Genoa,it Serie A,29,1991,29,22,1606,17.8,11,1,11,0,0,5,0,0.62,0.06,0.67,0.62,0.67,6.2,6.2,0.5,6.7,0.35,0.03,0.38,0.35,0.38,Matches,d7d32194
681,Gerard Deulofeu,es ESP,FWMF,Udinese,it Serie A,26,1994,13,7,598,6.6,1,1,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,1.4,1.4,1.1,2.5,0.21,0.17,0.38,0.21,0.38,Matches,39583cfd
682,Deyverson,br BRA,FW,Alavés,es La Liga,29,1991,27,11,874,9.7,1,3,1,0,0,4,0,0.10,0.31,0.41,0.10,0.41,1.5,1.5,2.4,3.8,0.15,0.25,0.40,0.15,0.40,Matches,2e5e846d
683,Jacopo Dezi,it ITA,FWMF,Parma,it Serie A,28,1992,2,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.12,0.19,0.07,0.19,Matches,e921b9db
684,Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,31,1988,11,6,500,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.1,1.9,0.32,0.03,0.35,0.32,0.35,Matches,ef94dc2f
685,Samuel Di Carmine,it ITA,FW,Crotone,it Serie A,31,1988,11,6,475,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.10,0.00,0.10,0.10,0.10,Matches,ef94dc2f
686,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,26,1993,36,36,3240,36.0,3,6,3,0,0,11,0,0.08,0.17,0.25,0.08,0.25,3.8,3.8,5.7,9.5,0.11,0.16,0.26,0.11,0.26,Matches,230a2fac
687,Ángel Di María,ar ARG,FWMF,Paris S-G,fr Ligue 1,32,1988,27,23,1853,20.6,4,9,4,0,0,1,0,0.19,0.44,0.63,0.19,0.63,4.7,4.7,11.2,15.9,0.23,0.55,0.77,0.23,0.77,Matches,19cda00b
688,Alessandro Di Pardo,it ITA,FWDF,Juventus,it Serie A,21,1999,4,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.17,0.17,0.00,0.17,Matches,e0ce7038
689,Giuseppe Di Serio,it ITA,FWMF,Benevento,it Serie A,19,2001,16,1,292,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.7,0.20,0.01,0.21,0.20,0.21,Matches,5048486b
690,Boulaye Dia,sn SEN,FWMF,Reims,fr Ligue 1,23,1996,36,35,2930,32.6,14,1,9,5,5,2,0,0.43,0.03,0.46,0.28,0.31,12.5,8.6,1.8,10.4,0.39,0.06,0.44,0.26,0.32,Matches,244bc2c8
691,Abdoulay Diaby,ml MLI,DF,Getafe,es La Liga,29,1991,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,1.31,0.34,1.65,1.31,1.65,Matches,23c5db70
