,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
52,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,25,1992,36,36,3240,36.0,49,1.36,124,78,63.7,13,8,15,10,27.8,4,4,0,0,0.0,Matches,ac295d9e
53,Jaume Doménech,es ESP,GK,Valencia,es La Liga,26,1990,5,5,450,5.0,5,1.00,21,16,76.2,4,0,1,2,40.0,0,0,0,0,,Matches,c9cb972b
54,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,18,1999,38,38,3420,38.0,42,1.11,132,91,69.7,18,10,10,12,31.6,3,2,0,1,0.0,Matches,08f5afaa
55,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,19,1997,3,1,217,2.4,8,3.32,17,9,52.9,0,0,1,0,0.0,0,0,0,0,,Matches,085e71a7
56,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,28,1989,12,12,1080,12.0,11,0.92,37,25,70.3,6,1,5,4,33.3,1,0,1,0,100.0,Matches,3a949a25
57,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1,1,90,1.0,3,3.00,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,0e12089d
58,Ederson,br BRA,GK,Manchester City,eng Premier League,23,1993,36,36,3194,35.5,26,0.73,80,54,67.5,29,4,2,16,44.4,2,0,2,0,100.0,Matches,3bb7b8b4
59,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16,16,1440,16.0,21,1.31,64,43,68.8,5,2,9,3,18.8,2,1,1,0,50.0,Matches,b1b25949
60,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3,3,270,3.0,9,3.00,20,11,55.0,1,0,2,0,0.0,1,0,0,1,,Matches,83e0eeb4
61,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38,38,3420,38.0,56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,0,50.0,Matches,9328b835
62,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,34,34,3015,33.5,37,1.10,127,89,73.2,17,9,7,12,35.3,6,3,2,1,40.0,Matches,1e43fad8
63,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,3,3,225,2.5,6,2.40,16,10,68.8,0,1,1,0,0.0,1,1,0,0,0.0,Matches,307fcd26
64,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11,11,990,11.0,15,1.36,53,38,71.7,2,6,3,3,27.3,0,0,0,0,,Matches,6fb59070
65,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20,20,1800,20.0,30,1.50,97,66,69.1,4,7,9,4,20.0,1,0,1,0,100.0,Matches,c3e39f12
66,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37,37,3330,37.0,55,1.49,151,98,64.2,6,12,19,10,27.0,1,1,0,0,0.0,Matches,d0b3ceb9
67,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,25,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,63d17038
68,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,26,1990,37,37,3330,37.0,28,0.76,140,114,80.7,24,6,7,18,48.6,1,1,0,0,0.0,Matches,7ba6d84e
69,Rafał Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,29,1987,2,1,154,1.7,3,1.75,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Matches,17376543
70,Dani Giménez,es ESP,GK,Betis,es La Liga,34,1983,4,4,309,3.4,0,0.00,8,8,100.0,3,0,0,3,75.0,0,0,0,0,,Matches,7c218bf9
71,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,22,1995,7,7,622,6.9,4,0.58,17,13,76.5,3,2,1,3,42.9,0,0,0,0,,Matches,f0f7f62f
72,Heurelho Gomes,br BRA,GK,Watford,eng Premier League,36,1981,24,24,2128,23.6,40,1.69,100,61,63.0,7,5,11,5,20.8,3,3,0,0,0.0,Matches,d596e193
73,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,23,1993,26,25,2261,25.1,43,1.71,140,98,73.6,5,7,12,3,12.0,7,6,1,0,14.3,Matches,cecbce23
74,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,26,1990,4,4,360,4.0,6,1.50,13,7,53.8,2,1,1,1,25.0,0,0,0,0,,Matches,4d3e9033
75,Lee Grant,eng ENG,GK,Stoke City,eng Premier League,34,1983,3,3,270,3.0,7,2.33,15,8,53.3,0,1,2,0,0.0,0,0,0,0,,Matches,9dab6e3b
76,Vicente Guaita,es ESP,GK,Getafe,es La Liga,30,1987,33,33,2970,33.0,26,0.79,111,84,77.5,13,9,11,12,36.4,3,1,1,1,50.0,Matches,ab13a5aa
77,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,27,1990,33,33,2970,33.0,52,1.58,147,95,68.0,15,8,10,6,18.2,5,5,0,0,0.0,Matches,bcb2ccd8
78,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,30,1986,37,37,3330,37.0,41,1.11,171,130,78.4,12,9,16,11,29.7,4,4,0,0,0.0,Matches,bc270726
79,Ben Hamer,eng ENG,GK,Leicester City,eng Premier League,29,1987,4,3,275,3.1,7,2.29,13,6,53.8,0,1,2,1,33.3,1,1,0,0,0.0,Matches,d822a850
80,Samir Handanović,si SVN,GK,Inter,it Serie A,33,1984,38,38,3420,38.0,30,0.79,117,91,76.1,20,12,6,17,44.7,2,2,0,0,0.0,Matches,74419746
81,Joe Hart,eng ENG,GK,West Ham,eng Premier League,30,1987,19,19,1710,19.0,39,2.05,91,51,61.5,3,6,10,4,21.1,5,4,1,0,20.0,Matches,cb4f24c6
82,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,31,1986,4,4,305,3.4,4,1.18,12,8,66.7,1,1,1,0,0.0,0,0,0,0,,Matches,a6de6361
83,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,30,1987,27,27,2430,27.0,41,1.52,127,88,68.5,8,6,13,7,25.9,1,1,0,0,0.0,Matches,76eca7e2
84,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,29,1988,8,8,720,8.0,6,0.75,30,23,86.7,3,4,1,4,50.0,3,2,1,0,33.3,Matches,9109185e
85,Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,29,1987,32,32,2880,32.0,42,1.31,159,116,74.2,10,10,12,9,28.1,2,1,1,0,50.0,Matches,2e7ff968
86,Timo Horn,de GER,GK,Köln,de Bundesliga,24,1993,34,34,3060,34.0,70,2.06,201,130,69.2,5,7,22,5,14.7,9,8,1,0,11.1,Matches,3cd9e95a
87,Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,27,1989,34,34,3060,34.0,45,1.32,133,90,67.7,14,7,13,7,20.6,3,2,0,1,0.0,Matches,ad3389d5
88,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,36,1981,9,8,765,8.5,13,1.53,36,25,63.9,1,3,4,2,25.0,0,0,0,0,,Matches,26f2473f
89,Eldin Jakupović,ch SUI,GK,Leicester City,eng Premier League,32,1984,2,2,180,2.0,6,3.00,13,8,53.8,1,0,1,0,0.0,0,0,0,0,,Matches,1148323a
90,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,32,1984,31,31,2790,31.0,44,1.42,140,97,72.1,10,10,11,7,22.6,6,5,0,1,0.0,Matches,27d2618c
91,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,27,1990,38,38,3420,38.0,59,1.55,171,111,68.4,12,11,15,11,28.9,7,5,2,0,28.6,Matches,a56bd2ee
92,Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,20,1996,19,19,1692,18.8,32,1.70,86,54,65.1,3,6,9,2,10.5,2,2,0,0,0.0,Matches,3814120d
93,Loris Karius,de GER,GK,Liverpool,eng Premier League,24,1993,19,19,1710,19.0,14,0.74,45,30,73.3,11,5,3,10,52.6,3,2,1,0,33.3,Matches,32e7ce92
94,Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,32,1985,15,14,1292,14.4,24,1.67,56,32,62.5,4,3,7,4,28.6,3,3,0,0,0.0,Matches,85b011bb
95,Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,34,1983,29,29,2569,28.5,60,2.10,167,106,64.1,5,7,16,2,6.9,2,0,2,0,100.0,Matches,a4527d33
96,Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,20,1996,4,4,360,4.0,11,2.75,20,10,50.0,0,1,3,0,0.0,1,1,0,0,0.0,Matches,faf873a7
97,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,24,1992,34,34,3060,34.0,36,1.06,127,91,73.2,16,8,10,10,29.4,5,2,2,1,50.0,Matches,dc366c36
98,Maksym Koval,ua UKR,GK,La Coruña,es La Liga,24,1992,2,2,121,1.3,3,2.23,5,2,40.0,,,,,,,,,,,Matches,60713cb3
99,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3,3,270,3.0,2,0.67,14,12,92.9,0,3,0,1,33.3,1,1,0,0,0.0,Matches,bb25c778
100,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38,38,3420,38.0,54,1.42,158,106,69.6,9,10,19,12,31.6,6,6,0,0,0.0,Matches,4e7db402
101,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,349601c3
102,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,26,1991,38,38,3420,38.0,33,0.87,117,84,76.1,11,18,9,14,36.8,6,5,0,1,0.0,Matches,2fa2a875
103,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,25,1992,33,33,2970,33.0,40,1.21,110,70,68.2,15,10,8,10,30.3,5,5,0,0,0.0,Matches,2628fd2b
104,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,26,1990,13,13,1170,13.0,17,1.31,44,28,65.9,2,7,4,1,7.7,2,2,0,0,0.0,Matches,96fcd380
105,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,26,1991,11,11,990,11.0,27,2.45,66,39,62.1,1,2,8,1,9.1,2,2,0,0,0.0,Matches,f69e9eee
106,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,30,1986,36,36,3240,36.0,35,0.97,117,82,71.8,22,7,7,15,41.7,3,2,0,1,0.0,Matches,8f62b6ee
107,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,26,1990,34,34,3060,34.0,37,1.09,137,101,76.6,21,8,5,14,41.2,8,5,2,1,28.6,Matches,f00de885
108,Diego López,es ESP,GK,Espanyol,es La Liga,35,1981,10,10,854,9.5,11,1.16,40,30,75.0,3,4,2,3,30.0,2,1,1,0,50.0,Matches,73683fa9
109,Pau López,es ESP,GK,Espanyol,es La Liga,22,1994,29,28,2566,28.5,31,1.09,124,92,77.4,9,8,11,9,32.1,4,3,1,0,25.0,Matches,20b9f052
110,Pedro López,es ESP,GK,Betis,es La Liga,22,1995,5,4,411,4.6,8,1.75,16,8,50.0,1,1,2,1,25.0,0,0,0,0,,Matches,bfa29677
111,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,28,1989,38,38,3420,38.0,58,1.53,158,99,65.8,9,10,19,10,26.3,6,4,2,0,33.3,Matches,939bc634
112,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,30,1987,2,2,180,2.0,4,2.00,7,3,57.1,0,1,1,0,0.0,1,1,0,0,0.0,Matches,7fe12375
113,Raïs M'Bolhi,dz ALG,GK,Rennes,fr Ligue 1,31,1986,1,1,90,1.0,3,3.00,6,3,83.3,0,0,1,0,0.0,2,2,0,0,0.0,Matches,c121a641
114,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,22,1995,34,34,3032,33.7,53,1.57,160,107,68.8,10,7,16,5,14.7,5,3,2,0,40.0,Matches,fcb38f57
115,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,32,1985,31,31,2706,30.0,37,1.23,114,77,70.2,17,7,4,11,35.5,5,3,1,1,25.0,Matches,1d2d5cc8
116,Gabriele Marchegiani,it ITA,GK,SPAL,it Serie A,21,1996,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,8cf63012
117,Emiliano Martínez,ar ARG,GK,Getafe,es La Liga,24,1992,5,5,450,5.0,7,1.40,19,12,68.4,2,1,2,2,40.0,1,1,0,0,0.0,Matches,7956236f
118,Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,25,1992,24,24,2160,24.0,38,1.58,95,58,63.2,4,6,14,6,25.0,4,3,0,1,0.0,Matches,4a15e95b
119,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,27,1989,18,18,1620,18.0,26,1.44,68,42,63.2,3,8,7,4,22.2,1,1,0,0,0.0,Matches,36c2ca73
120,Brais Méndez,es ESP,MFFW,Celta Vigo,es La Liga,20,1997,1,0,,10.5,,,,,,,,,,,,,,,,Matches,c9e39d91
121,Alex Meret,it ITA,GK,SPAL,it Serie A,20,1997,13,13,1158,12.9,16,1.24,60,44,78.3,2,7,3,4,30.8,5,3,2,0,40.0,Matches,9413b19f
122,Mathieu Michel,fr FRA,GK,Angers,fr Ligue 1,25,1991,7,6,597,6.6,13,1.96,26,14,57.7,1,2,3,1,16.7,2,2,0,0,0.0,Matches,e39f8724
123,Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,29,1988,19,19,1710,19.0,24,1.26,59,34,62.7,10,7,2,7,36.8,3,2,1,0,33.3,Matches,d436eb94
124,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,20,1997,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches,9fa26bc2
125,Antonio Mirante,it ITA,GK,Bologna,it Serie A,34,1983,33,33,2970,33.0,46,1.39,144,101,69.4,10,5,18,7,21.2,3,2,0,1,0.0,Matches,30223b33
126,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,31,1986,4,3,304,3.4,6,1.78,29,23,82.8,1,0,2,1,33.3,1,1,0,0,0.0,Matches,28a65a2c
127,Florian Müller,de GER,GK,Mainz 05,de Bundesliga,19,1997,5,5,450,5.0,7,1.40,21,13,66.7,1,1,3,1,20.0,1,0,1,0,100.0,Matches,cbac6ec9
128,Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,23,1994,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,dc29b608
129,Boaz Myhill,wls WAL,GK,West Brom,eng Premier League,34,1982,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches,7ca2d989
130,Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,30,1986,27,27,2430,27.0,31,1.15,111,79,73.9,16,7,4,7,25.9,4,2,2,0,50.0,Matches,ecada4fc
131,Neto,br BRA,GK,Valencia,es La Liga,28,1989,33,33,2970,33.0,33,1.00,143,108,79.0,18,7,8,10,30.3,5,3,2,0,40.0,Matches,a9dc785c
132,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,31,1986,3,3,270,3.0,2,0.67,7,5,71.4,2,0,1,2,66.7,0,0,0,0,,Matches,8778c910
133,Alexander Nübel,de GER,GK,Schalke 04,de Bundesliga,20,1996,1,0,45,0.5,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,,Matches,afb0c500
134,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,24,1993,37,37,3330,37.0,22,0.59,126,102,83.3,22,10,5,22,59.5,4,1,3,0,75.0,Matches,ee8508c0
135,Oier Olazábal,es ESP,GK,Levante,es La Liga,27,1989,26,26,2340,26.0,39,1.50,121,85,71.9,9,7,10,7,26.9,6,5,0,1,0.0,Matches,b5bdf144
136,David Ospina,co COL,GK,Arsenal,eng Premier League,28,1988,5,4,381,4.2,3,0.71,12,9,75.0,3,0,1,2,50.0,0,0,0,0,,Matches,82b1198a
137,Alexandre Oukidja,dz ALG,GK,Strasbourg,fr Ligue 1,29,1988,17,16,1457,16.2,29,1.79,71,41,64.8,3,5,7,2,12.5,5,4,1,0,20.0,Matches,ae7d0ecd
138,Ramazan Özcan,at AUT,GK,Leverkusen,de Bundesliga,33,1984,1,1,90,1.0,4,4.00,8,3,50.0,0,0,1,0,0.0,1,0,1,0,100.0,Matches,a165a577
139,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,25,1992,38,37,3357,37.3,50,1.34,171,121,74.9,15,2,20,12,32.4,10,7,2,1,22.2,Matches,97852360
140,Costel Pantilimon,ro ROU,GK,La Coruña,es La Liga,30,1987,6,6,540,6.0,9,1.50,26,18,69.2,3,0,3,1,16.7,1,1,0,0,0.0,Matches,d24e154c
141,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,25,1992,34,34,3060,34.0,40,1.18,162,123,76.5,10,12,12,8,23.5,4,2,1,1,33.3,Matches,0a1cb833
142,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,36,1981,2,1,104,1.2,1,0.87,6,6,83.3,0,0,1,0,0.0,0,0,0,0,,Matches,f058ed1f
