,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,23,20,1805,20.1,1,0,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,0.3,0.3,1.6,1.9,0.01,0.08,0.09,0.01,0.09,Matches,073b1b37
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,31,23,2099,23.3,1,1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,0.8,0.8,0.7,1.5,0.03,0.03,0.07,0.03,0.07,Matches,355c883a
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,3,0,68,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.11,0.11,0.00,0.11,Matches,8bc8829a
24,Kevin Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,3,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.26,0.14,0.40,0.26,0.40,Matches,46fa7204
25,Kevin Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,10,7,666,7.4,1,1,1,0,0,5,1,0.14,0.14,0.27,0.14,0.27,1.2,1.2,1.6,2.8,0.17,0.21,0.38,0.17,0.38,Matches,46fa7204
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,11,11,957,10.6,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches,288e1e13
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,24,18,1452,16.1,16,3,14,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14.5,12.1,2.3,14.4,0.90,0.14,1.04,0.75,0.89,Matches,4d034881
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,19,11,1072,11.9,0,2,0,0,0,2,2,0.00,0.17,0.17,0.00,0.17,0.2,0.2,1.8,2.0,0.02,0.15,0.17,0.02,0.17,Matches,3dd738a1
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,10,2,230,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,fe0b8f0e
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,11,8,630,7.0,1,1,1,0,0,3,1,0.14,0.14,0.29,0.14,0.29,0.7,0.7,0.5,1.2,0.10,0.08,0.17,0.10,0.17,Matches,48b28bfd
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,32,27,2502,27.8,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,1.0,1.0,0.7,1.8,0.04,0.03,0.06,0.04,0.06,Matches,18abe173
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,32,20,2079,23.1,0,2,0,0,0,8,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,2.5,2.9,0.02,0.11,0.13,0.02,0.13,Matches,246d153b
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,12,6,536,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches,c46fa34c
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,17,16,1282,14.2,0,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,0.7,0.8,0.01,0.05,0.06,0.01,0.06,Matches,9b398aea
35,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1997,9,0,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.11,0.05,0.16,0.11,0.16,Matches,2b1c4abd
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,26,24,2058,22.9,8,4,7,1,1,3,0,0.35,0.17,0.52,0.31,0.48,7.2,6.4,2.8,9.2,0.31,0.12,0.43,0.28,0.40,Matches,462475ed
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,29,25,2309,25.7,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,0.4,0.9,0.02,0.02,0.03,0.02,0.03,Matches,89ac64a6
38,Marley Aké,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,9,0,99,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.00,0.12,0.12,0.12,Matches,414e1f69
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,29,29,2503,27.8,2,2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,3.0,3.0,2.2,5.1,0.11,0.08,0.18,0.11,0.18,Matches,eaeca114
40,Chadrac Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,15,5,544,6.0,2,1,2,0,0,1,0,0.33,0.17,0.50,0.33,0.50,1.1,1.1,1.3,2.5,0.19,0.22,0.41,0.19,0.41,Matches,debc2f28
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,18,12,1142,12.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,6ec6fde0
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,28,27,2498,27.8,1,1,1,0,0,0,0,0.04,0.04,0.07,0.04,0.07,1.0,1.0,2.4,3.3,0.03,0.08,0.12,0.03,0.12,Matches,05439de2
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,17,17,1400,15.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.4,1.4,0.06,0.03,0.09,0.06,0.09,Matches,5314e067
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,24,11,1174,13.0,7,1,6,1,1,6,0,0.54,0.08,0.61,0.46,0.54,7.3,6.5,1.6,8.1,0.56,0.12,0.68,0.50,0.62,Matches,834d0be5
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,27,25,2187,24.3,2,5,2,0,0,7,0,0.08,0.21,0.29,0.08,0.29,1.4,1.4,4.3,5.7,0.06,0.18,0.23,0.06,0.23,Matches,4601e194
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,36,36,3113,34.6,6,15,5,1,1,5,0,0.17,0.43,0.61,0.14,0.58,6.6,5.8,11.4,17.2,0.19,0.33,0.52,0.17,0.50,Matches,5294a83f
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,36,3237,36.0,1,0,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,2.3,2.3,0.3,2.5,0.06,0.01,0.07,0.06,0.07,Matches,4bd414c1
48,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,20,9,867,9.6,0,3,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.4,0.4,2.2,2.6,0.04,0.22,0.27,0.04,0.27,Matches,b827d5b3
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,13,11,924,10.3,4,1,4,0,0,1,0,0.39,0.10,0.49,0.39,0.49,3.7,3.7,1.4,5.2,0.36,0.14,0.50,0.36,0.50,Matches,a7a9d95a
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,11,6,530,5.9,5,1,5,0,0,0,0,0.85,0.17,1.02,0.85,1.02,3.9,3.9,0.9,4.8,0.67,0.14,0.81,0.67,0.81,Matches,a7a9d95a
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,24,20,1771,19.7,3,0,3,0,0,7,0,0.15,0.00,0.15,0.15,0.15,2.4,2.4,0.9,3.3,0.12,0.05,0.17,0.12,0.17,Matches,77e84962
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,27,20,1927,21.4,2,2,2,0,0,10,0,0.09,0.09,0.19,0.09,0.19,1.9,1.9,1.0,2.9,0.09,0.05,0.13,0.09,0.13,Matches,036bba5f
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,33,33,2957,32.9,2,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,0.7,0.7,1.3,2.1,0.02,0.04,0.06,0.02,0.06,Matches,f7d50789
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,22,21,1916,21.3,1,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,0.4,0.4,1.2,1.6,0.02,0.06,0.07,0.02,0.07,Matches,4085f08e
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,6,0,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,46166b49
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,4,2,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches,6c811eb7
57,Carles Aleñá,es ESP,MFFW,Betis,es La Liga,21,1998,17,7,735,8.2,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.4,1.4,0.1,1.5,0.17,0.01,0.19,0.17,0.19,Matches,6c811eb7
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,901,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8fa8f8d2
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,38,35,3175,35.3,4,13,4,0,0,5,0,0.11,0.37,0.48,0.11,0.48,2.8,2.8,10.9,13.7,0.08,0.31,0.39,0.08,0.39,Matches,cd1acf9d
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,4,4,279,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,95adf1e1
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,28,17,1563,17.4,6,1,6,0,0,1,0,0.35,0.06,0.40,0.35,0.40,5.2,5.2,1.3,6.5,0.30,0.07,0.37,0.30,0.37,Matches,bdedd861
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,29,29,2543,28.3,0,1,0,0,0,0,1,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matches,7a2e46a8
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,23,16,1280,14.2,2,1,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,0.5,0.5,1.1,1.6,0.04,0.08,0.11,0.04,0.11,Matches,cc700722
64,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,25,21,1847,20.5,8,4,7,1,1,2,0,0.39,0.19,0.58,0.34,0.54,8.1,7.3,3.5,10.8,0.40,0.17,0.56,0.36,0.53,Matches,cea4ee8f
65,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,36,35,3021,33.6,4,2,4,0,0,5,0,0.12,0.06,0.18,0.12,0.18,6.7,6.7,3.0,9.7,0.20,0.09,0.29,0.20,0.29,Matches,862a1c15
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,18,15,1430,15.9,4,2,4,0,0,4,0,0.25,0.13,0.38,0.25,0.38,2.6,2.6,2.6,5.2,0.16,0.17,0.33,0.16,0.33,Matches,f4290206
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,17,15,1378,15.3,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.7,0.9,0.01,0.05,0.06,0.01,0.06,Matches,0a63446f
68,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,18,14,1147,12.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,88d91621
69,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,2,180,2.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8875b8c9
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,32,32,2810,31.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.8,2.1,0.04,0.03,0.07,0.04,0.07,Matches,3ecc11d8
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,33,31,2671,29.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,1.8,0.04,0.02,0.06,0.04,0.06,Matches,585a73a8
72,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,19,12,1188,13.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.7,2.0,0.09,0.06,0.15,0.09,0.15,Matches,ad1f61f3
73,Ibrahim Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,11,8,759,8.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.09,0.00,0.10,0.09,0.10,Matches,9260926b
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,10,9,770,8.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.8,0.08,0.01,0.09,0.08,0.09,Matches,9260926b
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,26,18,1695,18.8,1,1,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,1.2,1.7,0.02,0.07,0.09,0.02,0.09,Matches,d7bf3d19
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,7,0,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f3b1d9a2
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,26,24,2164,24.0,1,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,0.7,0.7,1.0,1.7,0.03,0.04,0.07,0.03,0.07,Matches,22721b88
78,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,1997,18,4,548,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.5,1.7,0.19,0.09,0.27,0.19,0.27,Matches,2945f4b7
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,20,17,1633,18.1,0,2,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,0.6,1.0,0.02,0.03,0.05,0.02,0.05,Matches,bcc81786
80,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,30,22,1857,20.6,1,2,1,0,0,3,0,0.05,0.10,0.15,0.05,0.15,2.2,2.2,6.3,8.4,0.10,0.30,0.41,0.10,0.41,Matches,555d5edd
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,3,0,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.11,0.00,0.11,0.11,0.11,Matches,10b9fa99
82,Opoku Ampomah,gh GHA,FWMF,Düsseldorf,de Bundesliga,23,1996,12,5,500,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.13,0.06,0.19,0.13,0.19,Matches,e7199efb
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,34,33,2919,32.4,1,1,0,1,1,10,2,0.03,0.03,0.06,0.00,0.03,2.0,1.3,2.4,3.6,0.06,0.07,0.14,0.04,0.11,Matches,5a2cb25d
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,18,17,1531,17.0,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.2,1.1,0.06,0.01,0.07,0.06,0.07,Matches,e34fc66d
85,Djavan Anderson,nl NED,FWDF,Lazio,it Serie A,24,1995,6,2,167,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,ca241ad3
86,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,25,20,1497,16.6,1,4,1,0,0,1,0,0.06,0.24,0.30,0.06,0.30,2.5,2.5,3.1,5.6,0.15,0.18,0.34,0.15,0.34,Matches,9f1893b9
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,33,31,2682,29.8,12,1,11,1,2,5,0,0.40,0.03,0.44,0.37,0.40,11.9,10.3,1.9,12.2,0.40,0.06,0.46,0.35,0.41,Matches,b4cf5806
88,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,3,1,73,0.8,1,0,1,0,0,0,1,1.23,0.00,1.23,1.23,1.23,0.4,0.4,0.1,0.4,0.45,0.06,0.51,0.45,0.51,Matches,dc008610
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,26,23,2054,22.8,2,1,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,0.9,0.9,0.9,1.8,0.04,0.04,0.08,0.04,0.08,Matches,ef9c1c95
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,6,5,531,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fe471a89
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,30,30,2572,28.6,1,2,1,0,0,13,1,0.03,0.07,0.10,0.03,0.10,2.6,2.6,2.1,4.7,0.09,0.07,0.16,0.09,0.16,Matches,e0b113a7
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,20,11,1029,11.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,d8992b84
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,13,9,790,8.8,1,0,1,0,1,0,0,0.11,0.00,0.11,0.11,0.11,2.6,1.8,0.6,2.4,0.30,0.07,0.37,0.21,0.28,Matches,b35db3f6
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,28,27,2360,26.2,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,0.8,0.8,2.8,3.6,0.03,0.11,0.14,0.03,0.14,Matches,3024e383
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,011d8c56
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,6,4,423,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.5,1.7,0.05,0.32,0.36,0.05,0.36,Matches,30941e96
97,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,22,1997,13,12,1095,12.2,1,2,1,0,0,2,0,0.08,0.16,0.25,0.08,0.25,0.9,0.9,2.0,2.9,0.07,0.16,0.24,0.07,0.24,Matches,30941e96
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches,b105919e
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,19,11,1063,11.8,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.6,1.0,0.04,0.05,0.08,0.04,0.08,Matches,df525574
100,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,27,21,1768,19.6,4,4,4,0,0,9,0,0.20,0.20,0.41,0.20,0.41,1.9,1.9,3.3,5.2,0.09,0.17,0.26,0.09,0.26,Matches,bbafc0c4
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.37,0.00,0.37,0.37,0.37,Matches,38d9ce53
102,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,29,1990,24,19,1768,19.6,10,3,9,1,1,3,0,0.51,0.15,0.66,0.46,0.61,12.9,12.1,3.7,15.9,0.66,0.19,0.85,0.62,0.81,Matches,ac05f970
103,Antoñito,es ESP,DFMF,Valladolid,es La Liga,31,1987,15,11,1029,11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.9,1.0,0.01,0.08,0.09,0.01,0.09,Matches,dbe519cf
104,Mirko Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,2,0,82,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.21,0.04,0.25,0.21,0.25,Matches,91976866
