,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
177,Antonio Sivera,es ESP,GK,Alavés,es La Liga,22,1996,3,3,270,3.0,3,1.00,5,2,60.0,1,1,1,1,33.3,1,1,0,0,0.0,Matches,9970da54
178,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,28,1991,37,37,3330,37.0,64,1.73,187,123,69.0,12,10,15,2,5.4,8,6,1,1,14.3,Matches,ab4449d6
179,Dennis Smarsch,de GER,GK,Hertha BSC,de Bundesliga,20,1999,2,1,151,1.7,4,2.38,11,7,63.6,0,0,1,0,0.0,0,0,0,0,,Matches,45f6f52b
180,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,30,1988,34,34,3060,34.0,40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,0,50.0,Matches,420c18a1
181,David Soria,es ESP,GK,Getafe,es La Liga,26,1993,38,38,3420,38.0,37,0.97,109,73,70.6,14,12,12,15,39.5,6,5,1,0,16.7,Matches,8f8c6934
182,Juan Soriano,es ESP,GK,Leganés,es La Liga,21,1997,11,11,990,11.0,18,1.64,39,22,66.7,1,3,7,1,9.1,5,5,0,0,0.0,Matches,5512b1a9
183,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,27,1992,6,5,525,5.8,5,0.86,18,13,72.2,3,0,1,2,40.0,0,0,0,0,,Matches,ac4003af
184,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,26,1992,1,1,7,0.1,,,,,,,,,,,,,,,,Matches,a8a3d139
185,Zack Steffen,us USA,GK,Düsseldorf,de Bundesliga,24,1995,17,17,1530,17.0,36,2.12,99,63,64.6,4,3,10,2,11.8,2,1,1,0,50.0,Matches,42130443
186,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,24,1995,38,38,3420,38.0,42,1.11,154,112,77.3,24,6,8,11,28.9,9,7,1,1,12.5,Matches,339fe0e8
187,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,29,1990,29,29,2591,28.8,33,1.15,129,95,80.6,19,4,5,11,37.9,10,8,1,1,11.1,Matches,01b8a2b2
188,Ciprian Tătărușanu,ro ROU,GK,Lyon,fr Ligue 1,33,1986,2,2,180,2.0,2,1.00,11,9,81.8,1,0,1,1,50.0,0,0,0,0,,Matches,b056e3da
189,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,27,1992,36,36,3240,36.0,36,1.00,116,79,74.1,24,6,6,14,38.9,7,6,1,0,14.3,Matches,6f51e382
190,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,29,1990,7,7,624,6.9,5,0.72,23,18,91.3,4,1,1,2,28.6,3,3,0,0,0.0,Matches,e1b0a70d
191,Demba Thiam,sn SEN,GK,SPAL,it Serie A,21,1998,2,2,180,2.0,4,2.00,16,12,81.3,0,1,1,0,0.0,1,1,0,0,0.0,Matches,0f47717b
192,Niclas Thiede,de GER,GK,Freiburg,de Bundesliga,20,1999,1,0,69,0.8,1,1.30,4,3,75.0,0,0,0,0,,0,0,0,0,,Matches,cac55e10
193,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,29,1990,22,22,1980,22.0,38,1.73,105,69,64.8,11,3,8,4,18.2,1,1,0,0,0.0,Matches,ce17b5eb
194,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,20,1999,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,fe558029
195,Stefano Turati,it ITA,GK,Sassuolo,it Serie A,17,2001,2,2,180,2.0,4,2.00,12,8,75.0,0,2,0,0,0.0,1,1,0,0,0.0,Matches,bf168004
196,Samir Ujkani,xk KVX,GK,Torino,it Serie A,31,1988,1,1,90,1.0,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches,96640846
197,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,30,1988,2,2,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,7d3e7da6
198,Tomáš Vaclík,cz CZE,GK,Sevilla,es La Liga,30,1989,33,33,2925,32.5,31,0.95,96,65,69.8,13,12,6,12,36.4,3,2,1,0,33.3,Matches,7b456af7
199,Koke Vegas,es ESP,GK,Levante,es La Liga,23,1995,2,2,180,2.0,2,1.00,10,8,80.0,2,0,0,1,50.0,1,0,0,1,,Matches,bfb15d99
200,Mauro Vigorito,it ITA,GK,Lecce,it Serie A,29,1990,5,4,423,4.7,9,1.91,29,20,72.4,3,0,1,1,25.0,1,1,0,0,0.0,Matches,582a251c
201,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,22,1997,4,3,280,3.1,5,1.61,11,6,54.5,0,1,2,1,33.3,0,0,0,0,,Matches,cde52ef5
202,Felix Wiedwald,de GER,GK,Eint Frankfurt,de Bundesliga,29,1990,3,3,270,3.0,8,2.67,20,12,60.0,0,0,3,0,0.0,0,0,0,0,,Matches,e2d34771
203,Yoel,es ESP,GK,Eibar,es La Liga,30,1988,4,4,270,3.0,5,1.67,16,10,68.8,2,0,1,1,25.0,1,0,1,0,100.0,Matches,61bb7498
204,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,24,1994,22,22,1935,21.5,40,1.86,115,75,66.1,8,1,12,3,13.6,2,1,1,0,50.0,Matches,5c4bf6ba
205,Leopold Zingerle,de GER,GK,Paderborn 07,de Bundesliga,25,1994,28,28,2520,28.0,57,2.04,152,96,64.5,4,7,17,5,17.9,4,3,1,0,25.0,Matches,bf9d9070
