,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
98,Diego López,es ESP,GK,Espanyol,es La Liga,37,1981,36,36,3232,35.9,58,1.62,160,103,67.5,4,9,22,4,11.1,7,6,1,0,14.3,Matches,73683fa9
99,Pau López,es ESP,GK,Roma,it Serie A,24,1994,32,32,2880,32.0,45,1.41,132,86,72.0,18,6,8,5,15.6,9,8,1,0,11.1,Matches,20b9f052
100,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10,10,900,10.0,12,1.20,33,22,63.6,3,3,4,3,30.0,0,0,0,0,,Matches,7fe12375
101,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,24,1995,28,28,2520,28.0,27,0.96,83,58,72.3,15,4,9,12,42.9,6,4,1,1,20.0,Matches,fcb38f57
102,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,34,1985,27,27,2371,26.3,27,1.02,92,67,75.0,15,7,4,11,40.7,4,4,0,0,0.0,Matches,1d2d5cc8
103,Daniel Martín,es ESP,GK,Betis,es La Liga,21,1998,6,5,531,5.9,12,2.03,24,12,50.0,1,0,4,1,20.0,0,0,0,0,,Matches,4df0dff8
104,David Martin,eng ENG,GK,West Ham,eng Premier League,33,1986,5,4,436,4.8,6,1.24,21,15,71.4,2,0,2,2,50.0,0,0,0,0,,Matches,07666c20
105,Emiliano Martínez,ar ARG,GK,Arsenal,eng Premier League,26,1992,9,8,771,8.6,9,1.05,42,33,81.0,5,1,2,3,37.5,1,1,0,0,0.0,Matches,7956236f
106,Jordi Masip,es ESP,GK,Valladolid,es La Liga,30,1989,35,35,3150,35.0,39,1.11,125,85,73.6,8,15,12,11,31.4,7,6,1,0,14.3,Matches,8fae77ea
107,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,29,1989,28,28,2520,28.0,35,1.25,113,78,69.9,13,5,10,7,25.0,2,1,1,0,50.0,Matches,36c2ca73
108,Michael McGovern,nir NIR,GK,Norwich City,eng Premier League,35,1984,2,1,159,1.8,6,3.40,13,6,53.8,0,0,1,0,0.0,1,0,1,0,100.0,Matches,51a19d04
109,Edouard Mendy,sn SEN,GK,Rennes,fr Ligue 1,27,1992,24,24,2160,24.0,19,0.79,79,60,79.7,13,5,6,9,37.5,4,3,1,0,25.0,Matches,33887998
110,Alex Meret,it ITA,GK,Napoli,it Serie A,22,1997,22,21,1951,21.7,33,1.52,84,51,66.7,9,5,7,3,14.3,6,5,1,0,16.7,Matches,9413b19f
111,Antonio Mirante,it ITA,GK,Roma,it Serie A,36,1983,5,5,450,5.0,5,1.00,24,19,83.3,2,1,2,2,40.0,1,1,0,0,0.0,Matches,30223b33
112,Simon Moore,eng ENG,GK,Sheffield Utd,eng Premier League,29,1990,2,2,180,2.0,6,3.00,11,5,45.5,0,1,1,0,0.0,0,0,0,0,,Matches,e7434f04
113,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,33,1986,5,5,450,5.0,4,0.80,23,19,91.3,2,2,1,2,40.0,2,2,0,0,0.0,Matches,28a65a2c
114,Florian Müller,de GER,GK,Mainz 05,de Bundesliga,21,1997,13,12,1125,12.5,25,2.00,66,40,65.2,3,2,7,2,16.7,3,2,1,0,33.3,Matches,cbac6ec9
115,Juan Musso,ar ARG,GK,Udinese,it Serie A,25,1994,38,38,3420,38.0,51,1.34,194,141,77.8,12,9,17,14,36.8,10,8,2,0,20.0,Matches,a111cf41
116,Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,25,1994,2,2,180,2.0,3,1.50,5,2,40.0,2,0,0,0,0.0,0,0,0,0,,Matches,dc29b608
117,Keylor Navas,cr CRC,GK,Paris S-G,fr Ligue 1,32,1986,21,21,1890,21.0,18,0.86,66,49,72.7,17,2,2,11,52.4,0,0,0,0,,Matches,ecada4fc
118,Neto,br BRA,GK,Barcelona,es La Liga,30,1989,2,2,180,2.0,2,1.00,3,1,33.3,1,1,0,1,50.0,0,0,0,0,,Matches,a9dc785c
119,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,33,1986,33,33,2970,33.0,31,0.94,110,79,74.5,25,4,4,15,45.5,4,3,1,0,25.0,Matches,8778c910
120,Moritz Nicolas,de GER,GK,Union Berlin,de Bundesliga,21,1997,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,226ddf9d
121,Alexander Nübel,de GER,GK,Schalke 04,de Bundesliga,22,1996,26,26,2315,25.7,40,1.56,118,80,69.5,7,9,9,5,19.2,4,4,0,0,0.0,Matches,afb0c500
122,Ørjan Nyland,no NOR,GK,Aston Villa,eng Premier League,28,1990,7,5,539,6.0,12,2.00,27,15,55.6,0,2,3,1,20.0,0,0,0,0,,Matches,bdedffac
123,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,26,1993,38,38,3395,37.7,27,0.72,111,87,78.4,18,16,3,17,44.7,4,3,0,1,0.0,Matches,ee8508c0
124,Oier Olazábal,es ESP,GK,Espanyol,es La Liga,29,1989,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,Matches,b5bdf144
125,Robin Olsen,se SWE,GK,Cagliari,it Serie A,29,1990,17,17,1524,16.9,24,1.42,89,67,77.5,8,4,4,4,23.5,4,4,0,0,0.0,Matches,e7ee38c3
126,David Ospina,co COL,GK,Napoli,it Serie A,30,1988,17,17,1469,16.3,17,1.04,54,37,72.2,9,3,4,4,23.5,2,2,0,0,0.0,Matches,82b1198a
127,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,31,1988,27,27,2385,26.5,31,1.17,129,98,78.3,8,10,8,8,29.6,3,3,0,0,0.0,Matches,ae7d0ecd
